timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,5.458302521846183453e+01,5.458302521846182742e+01
1.350000000000000089e+00,1.031081187188743513e+02,1.031081187188743229e+02
2.025000000000000355e+00,1.469265923848642217e+02,1.469265923848641648e+02
2.700000000000000178e+00,1.870395005388373590e+02,1.870395005388372738e+02
3.374999999999999556e+00,2.242016194409302159e+02,2.242016194409302159e+02
4.049999999999999822e+00,2.589911301681586338e+02,2.589911301681585769e+02
4.724999999999999645e+00,2.918573508669139756e+02,2.918573508669139756e+02
5.399999999999999467e+00,3.231540804879295479e+02,3.231540804879295479e+02
6.074999999999999289e+00,3.531633066436361901e+02,3.531633066436360195e+02
6.749999999999998224e+00,3.821123344179096648e+02,3.821123344179097785e+02
7.424999999999998934e+00,4.101863437734411946e+02,4.101863437734411377e+02
8.099999999999999645e+00,4.375377194083752670e+02,4.375377194083754375e+02
8.775000000000000355e+00,4.642930683216304146e+02,4.642930683216306420e+02
9.450000000000001066e+00,4.905585584270965569e+02,4.905585584270965569e+02
1.012500000000000000e+01,5.164240229280349013e+02,5.164240229280350150e+02
1.080000000000000249e+01,5.419661469568177381e+02,5.419661469568177381e+02
1.147500000000000142e+01,5.672509645737444544e+02,5.672509645737444544e+02
1.215000000000000391e+01,5.923358324249101088e+02,5.923358324249103362e+02
1.282500000000000284e+01,6.172710026264794578e+02,6.172710026264795715e+02
1.350000000000000355e+01,6.421008861300754234e+02,6.421008861300756507e+02
1.417500000000000426e+01,6.668650751591352446e+02,6.668650751591349035e+02
1.485000000000000675e+01,6.915991767330830271e+02,6.915991767330835955e+02
1.552500000000000568e+01,7.163354970616734363e+02,7.163354970616737774e+02
1.620000000000000639e+01,7.411036074789421946e+02,7.411036074789428767e+02
1.687500000000000711e+01,7.659308157412749551e+02,7.659308157412746141e+02
1.755000000000000782e+01,7.908425613318136129e+02,7.908425613318136129e+02
1.822500000000000853e+01,8.158627494608922461e+02,8.158627494608922461e+02
1.890000000000000924e+01,8.410140354163584107e+02,8.410140354163585243e+02
1.957500000000000995e+01,8.663180685708396140e+02,8.663180685708404098e+02
2.025000000000000711e+01,8.917957035276878059e+02,8.917957035276879196e+02
2.092500000000001137e+01,9.174671844596632582e+02,9.174671844596639403e+02
2.160000000000001208e+01,9.433523075720896713e+02,9.433523075720902398e+02
2.227500000000001279e+01,9.694705657356979600e+02,9.694705657356983011e+02
2.295000000000000995e+01,9.958412786315341236e+02,9.958412786315344647e+02
2.362500000000001066e+01,1.022483711191044563e+03,1.022483711191044563e+03
2.430000000000001492e+01,1.049417182668494206e+03,1.049417182668493751e+03
2.497500000000001208e+01,1.076661168326759935e+03,1.076661168326759935e+03
2.565000000000001279e+01,1.104235395433155645e+03,1.104235395433155645e+03
2.632500000000001350e+01,1.132159935035353783e+03,1.132159935035354465e+03
2.700000000000001421e+01,1.160455290807771917e+03,1.160455290807771462e+03
2.767500000000001847e+01,1.189142486117397311e+03,1.189142486117398221e+03
2.835000000000001563e+01,1.218243150348547260e+03,1.218243150348547488e+03
2.902500000000001990e+01,1.247779605442992988e+03,1.247779605442992761e+03
2.970000000000002061e+01,1.277774953551675708e+03,1.277774953551676390e+03
3.037500000000001776e+01,1.308253166653366407e+03,1.308253166653366407e+03
3.105000000000001492e+01,1.339239178972097989e+03,1.339239178972098216e+03
3.172500000000001563e+01,1.370758983017172113e+03,1.370758983017172113e+03
3.240000000000001990e+01,1.402839730075742182e+03,1.402839730075742182e+03
3.307500000000001705e+01,1.435509836007794320e+03,1.435509836007794547e+03
3.375000000000001421e+01,1.468799093226227342e+03,1.468799093226227569e+03
3.442500000000001137e+01,1.502738789790732426e+03,1.502738789790733108e+03
3.510000000000000853e+01,1.537361836603509801e+03,1.537361836603510028e+03
3.577500000000000568e+01,1.572702903768061560e+03,1.572702903768061105e+03
3.645000000000000284e+01,1.608798567260343134e+03,1.608798567260342224e+03
3.712500000000000000e+01,1.645687467165472981e+03,1.645687467165474118e+03
3.779999999999999716e+01,1.683410478854613075e+03,1.683410478854612847e+03
3.847499999999999432e+01,1.722010898617262683e+03,1.722010898617262228e+03
3.914999999999999147e+01,1.761534645426509542e+03,1.761534645426508860e+03
3.982499999999998863e+01,1.802030480701032502e+03,1.802030480701033184e+03
4.049999999999997868e+01,1.843550248141473048e+03,1.843550248141473048e+03
4.117499999999997584e+01,1.886149135963439221e+03,1.886149135963438994e+03
4.184999999999998010e+01,1.929885964129527792e+03,1.929885964129528247e+03
4.252499999999997726e+01,1.974823499503190760e+03,1.974823499503190078e+03
4.319999999999997442e+01,2.021028802214028701e+03,2.021028802214027564e+03
4.387499999999997158e+01,2.068573606944001313e+03,2.068573606943999948e+03
4.454999999999996874e+01,2.117534743325026739e+03,2.117534743325027193e+03
4.522499999999996589e+01,2.167994600189906123e+03,2.167994600189907032e+03
4.589999999999995595e+01,2.220041639051002676e+03,2.220041639051003131e+03
4.657499999999995310e+01,2.273770962907478406e+03,2.273770962907477951e+03
4.724999999999995026e+01,2.329284947316265516e+03,2.329284947316264606e+03
4.792499999999994742e+01,2.386693941621447266e+03,2.386693941621447266e+03
4.859999999999995168e+01,2.446117049340548874e+03,2.446117049340550238e+03
4.927499999999994174e+01,2.507682997976894967e+03,2.507682997976894967e+03
4.994999999999993889e+01,2.571531109990291952e+03,2.571531109990292862e+03
5.062499999999993605e+01,2.637812388343329985e+03,2.637812388343329530e+03
5.129999999999993321e+01,2.706690731980796500e+03,2.706690731980796500e+03
5.197499999999993037e+01,2.778344298832976619e+03,2.778344298832975710e+03
5.264999999999992752e+01,2.852967036501622715e+03,2.852967036501619077e+03
5.332499999999992468e+01,2.930770403736431035e+03,2.930770403736429216e+03
5.399999999999992184e+01,3.011985309189436066e+03,3.011985309189434702e+03
5.467499999999992610e+01,3.096864297796106257e+03,3.096864297796104893e+03
5.534999999999992326e+01,3.185684019526626798e+03,3.185684019526626798e+03
5.602499999999991331e+01,3.278748020224591528e+03,3.278748020224591528e+03
5.669999999999991047e+01,3.376389899838277870e+03,3.376389899838276506e+03
5.737499999999990763e+01,3.478976889564321937e+03,3.478976889564316934e+03
5.804999999999991189e+01,3.586913906239796233e+03,3.586913906239790322e+03
5.872499999999990905e+01,3.700648149649088282e+03,3.700648149649085099e+03
5.939999999999990621e+01,3.820674316072496822e+03,3.820674316072495913e+03
6.007499999999990337e+01,3.947540509062018828e+03,3.947540509062017009e+03
6.074999999999990052e+01,4.081854935532309355e+03,4.081854935532306627e+03
6.142499999999988347e+01,4.224293480922307936e+03,4.224293480922304298e+03
6.209999999999988773e+01,4.375608260064133901e+03,4.375608260064129354e+03
6.277499999999988489e+01,4.536637238467511452e+03,4.536637238467502357e+03
