timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.253332335643043138e-01,2.683652007071918533e+01,2.695435316022877714e+01
2.486898871648548226e-01,5.361403260759283285e+01,5.396779527253520570e+01
3.681245526846780858e-01,8.041070664420912806e+01,8.089895760823529258e+01
4.817536741017154345e-01,1.070583079213455733e+02,1.074505602634055776e+02
5.877852522924732481e-01,1.331468531637835611e+02,1.331755394893237963e+02
6.845471059286888371e-01,1.580871314825647005e+02,1.575173519902988062e+02
7.705132427757892533e-01,1.811929032500971744e+02,1.798631364954393916e+02
8.443279255020151863e-01,2.017576812018326393e+02,1.995966617821646025e+02
9.048270524660196878e-01,2.191158943242710677e+02,2.161446590342272032e+02
9.510565162951538642e-01,2.326871206641299921e+02,2.290134454007187514e+02
9.822872507286887211e-01,2.420071191653100868e+02,2.378149516999299067e+02
9.980267284282716700e-01,2.467509844408531592e+02,2.422831669919238493e+02
9.980267284282716700e-01,2.467509844408531023e+02,2.422831669919237640e+02
9.822872507286887211e-01,2.420071191653099447e+02,2.378149516999299635e+02
9.510565162951538642e-01,2.326871206641297078e+02,2.290134454007186946e+02
9.048270524660196878e-01,2.191158943242708972e+02,2.161446590342270895e+02
8.443279255020151863e-01,2.017576812018325825e+02,1.995966617821646025e+02
7.705132427757890312e-01,1.811929032500973165e+02,1.798631364954393064e+02
6.845471059286883930e-01,1.580871314825645868e+02,1.575173519902986641e+02
5.877852522924729151e-01,1.331468531637838169e+02,1.331755394893237678e+02
4.817536741017149349e-01,1.070583079213452180e+02,1.074505602634055066e+02
3.681245526846774196e-01,8.041070664420905700e+01,8.089895760823512205e+01
2.486898871648539899e-01,5.361403260759275469e+01,5.396779527253502806e+01
1.253332335643032591e-01,2.683652007071897216e+01,2.695435316022853911e+01
-1.209802949635452898e-15,-2.581444259433651356e-13,-2.586116335658143826e-13
-1.253332335643052298e-01,-2.713606960876564500e+01,-2.686363701354704148e+01
-2.486898871648559051e-01,-5.480782348782610569e+01,-5.362430378367085382e+01
-3.681245526846792515e-01,-8.305691679650907133e+01,-8.019341099458273447e+01
-4.817536741017166557e-01,-1.116065273951342363e+02,-1.063444962479533444e+02
-5.877852522924745804e-01,-1.398569582898044246e+02,-1.316982211805360521e+02
-6.845471059286901694e-01,-1.669821611335081286e+02,-1.557449632848355350e+02
-7.705132427757905855e-01,-1.920705310735119724e+02,-1.778909779845336061e+02
-8.443279255020164076e-01,-2.142573221092841607e+02,-1.975144833471005654e+02
-9.048270524660206870e-01,-2.328132525721688353e+02,-2.140206755063827586e+02
-9.510565162951546414e-01,-2.471790099749891567e+02,-2.268884080049764407e+02
-9.822872507286891652e-01,-2.569608533498119414e+02,-2.357044138666544484e+02
-9.980267284282717810e-01,-2.619112713341898484e+02,-2.401845185359148331e+02
-9.980267284282715590e-01,-2.619112713341897347e+02,-2.401845185359147479e+02
-9.822872507286883881e-01,-2.569608533498117140e+02,-2.357044138666542494e+02
-9.510565162951530871e-01,-2.471790099749889862e+02,-2.268884080049760428e+02
-9.048270524660190217e-01,-2.328132525721686363e+02,-2.140206755063823039e+02
-8.443279255020147422e-01,-2.142573221092838764e+02,-1.975144833471000823e+02
-7.705132427757891422e-01,-1.920705310735112903e+02,-1.778909779845332650e+02
-6.845471059286885041e-01,-1.669821611335079297e+02,-1.557449632848351655e+02
-5.877852522924734702e-01,-1.398569582898042540e+02,-1.316982211805357963e+02
-4.817536741017162116e-01,-1.116065273951339947e+02,-1.063444962479532734e+02
-3.681245526846788074e-01,-8.305691679650898607e+01,-8.019341099458262079e+01
-2.486898871648562381e-01,-5.480782348782619806e+01,-5.362430378367093908e+01
-1.253332335643064788e-01,-2.713606960876590435e+01,-2.686363701354730438e+01
-2.909464618929847177e-15,-6.206971813919004099e-13,-6.208872173076828725e-13
1.253332335643015938e-01,2.683652007071864887e+01,2.695435316022817318e+01
2.486898871648514642e-01,5.361403260759215073e+01,5.396779527253448805e+01
3.681245526846742000e-01,8.041070664420814751e+01,8.089895760823438309e+01
4.817536741017118818e-01,1.070583079213446496e+02,1.074505602634047818e+02
5.877852522924694734e-01,1.331468531637824810e+02,1.331755394893228868e+02
6.845471059286849513e-01,1.580871314825637057e+02,1.575173519902978683e+02
7.705132427757860336e-01,1.811929032500968901e+02,1.798631364954385958e+02
8.443279255020120777e-01,2.017576812018323267e+02,1.995966617821636930e+02
9.048270524660169123e-01,2.191158943242699024e+02,2.161446590342262652e+02
9.510565162951516438e-01,2.326871206641294236e+02,2.290134454007181546e+02
9.822872507286873889e-01,2.420071191653097742e+02,2.378149516999295088e+02
9.980267284282712259e-01,2.467509844408531308e+02,2.422831669919236219e+02
9.980267284282722251e-01,2.467509844408534718e+02,2.422831669919239630e+02
9.822872507286903865e-01,2.420071191653105132e+02,2.378149516999303330e+02
9.510565162951567508e-01,2.326871206641310721e+02,2.290134454007196041e+02
9.048270524660240177e-01,2.191158943242723183e+02,2.161446590342284821e+02
8.443279255020209595e-01,2.017576812018345436e+02,1.995966617821662510e+02
7.705132427757965807e-01,1.811929032500991070e+02,1.798631364954413812e+02
6.845471059286963866e-01,1.580871314825666900e+02,1.575173519903007957e+02
5.877852522924821299e-01,1.331468531637860337e+02,1.331755394893260132e+02
4.817536741017256485e-01,1.070583079213480318e+02,1.074505602634080077e+02
3.681245526846896321e-01,8.041070664421194181e+01,8.089895760823793580e+01
2.486898871648675624e-01,5.361403260759582423e+01,5.396779527253804787e+01
1.253332335643180528e-01,2.683652007072216605e+01,2.695435316023174721e+01
1.457824875494621232e-14,3.123610429152650339e-12,3.119088560892927585e-12
-1.253332335642908801e-01,-2.713606960876246887e+01,-2.686363701354394351e+01
-2.486898871648410281e-01,-5.480782348782256719e+01,-5.362430378366760664e+01
-3.681245526846641525e-01,-8.305691679650534809e+01,-8.019341099457932387e+01
-4.817536741017016677e-01,-1.116065273951300867e+02,-1.063444962479498770e+02
-5.877852522924600365e-01,-1.398569582898004171e+02,-1.316982211805324710e+02
-6.845471059286764026e-01,-1.669821611335042348e+02,-1.557449632848320675e+02
-7.705132427757791502e-01,-1.920705310735085618e+02,-1.778909779845305366e+02
-8.443279255020063045e-01,-2.142573221092812332e+02,-1.975144833470978938e+02
-9.048270524660123604e-01,-2.328132525721665047e+02,-2.140206755063804849e+02
-9.510565162951483131e-01,-2.471790099749872809e+02,-2.268884080049747070e+02
-9.822872507286852795e-01,-2.569608533498112592e+02,-2.357044138666534252e+02
-9.980267284282704487e-01,-2.619112713341892800e+02,-2.401845185359144352e+02
-9.980267284282730023e-01,-2.619112713341904168e+02,-2.401845185359151174e+02
-9.822872507286923849e-01,-2.569608533498129077e+02,-2.357044138666554147e+02
-9.510565162951600815e-01,-2.471790099749908620e+02,-2.268884080049780323e+02
-9.048270524660285696e-01,-2.328132525721711090e+02,-2.140206755063849755e+02
-8.443279255020267327e-01,-2.142573221092874860e+02,-1.975144833471032939e+02
-7.705132427758034641e-01,-1.920705310735155251e+02,-1.778909779845369030e+02
-6.845471059287056015e-01,-1.669821611335128750e+02,-1.557449632848395424e+02
