timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,5.703114916342670767e+04,-1.401123448035530998e+02,-5.720973493913776474e+04,1.406834495860072991e+02
2.500000000000000000e-01,1.140734001587522653e+05,-5.603452195539973673e+02,-1.144271566503378854e+05,5.627787996755686208e+02
3.750000000000000000e-01,1.711381925373191189e+05,-1.260868639018418662e+03,-1.716599617803340370e+05,1.266401986416881300e+03
5.000000000000000000e-01,2.282369783969301498e+05,-2.241968141994005691e+03,-2.289158633678805490e+05,2.251746446061976258e+03
6.250000000000000000e-01,2.853812291082912125e+05,-3.504045236127923090e+03,-2.862025991459707730e+05,3.519083340699151449e+03
7.500000000000000000e-01,3.425824425463214284e+05,-5.047618086517911252e+03,-3.435279398612228106e+05,5.068761879292651429e+03
8.750000000000000000e-01,3.998521509379509371e+05,-6.873322446540653800e+03,-4.008996976165419910e+05,6.901209737777796363e+03
1.000000000000000000e+00,4.572019294109062175e+05,-8.981912827220861800e+03,-4.583257342445073882e+05,9.016933582398487488e+03
1.125000000000000000e+00,5.146434052917383378e+05,-1.137426389954607475e+04,-5.158139697205008124e+05,1.141651970058953520e+04
1.250000000000000000e+00,5.721882681591390865e+05,-1.405137212202428418e+04,-5.733723906264159596e+05,1.410063474353634592e+04
1.375000000000000000e+00,6.298482806153291604e+05,-1.701435758329572127e+04,-6.310090586778214201e+05,1.707002658415698534e+04
1.500000000000000000e+00,6.876352896999045042e+05,-2.026446604692554320e+04,-6.887321193296218989e+05,2.032552529373293146e+04
1.625000000000000000e+00,7.455612388423655648e+05,-2.380307118308099234e+04,-7.465498104774437379e+05,2.386804423985323956e+04
1.750000000000000000e+00,8.036381802355700638e+05,-2.763167697021028653e+04,-8.044704712740048999e+05,2.769858130780843203e+04
1.875000000000000000e+00,8.618782875137425726e+05,-3.175192024956410387e+04,-8.625025510815139860e+05,3.181822024713373685e+04
2.000000000000000000e+00,9.202938686347685289e+05,-3.616557341666045249e+04,-9.206546185825652210e+05,3.622813214468906517e+04
2.125000000000000000e+00,9.788973788939052029e+05,-4.087454723654482950e+04,-9.789353710730609018e+05,4.092957702548957604e+04
2.250000000000000000e+00,1.037701434030852630e+06,-4.588089377365024120e+04,-1.037353643961397000e+06,4.592390558246229193e+04
2.375000000000000000e+00,1.096718823429465527e+06,-5.118680943182043848e+04,-1.095918420498588122e+06,5.121256103638609056e+04
2.500000000000000000e+00,1.155962523445106111e+06,-5.679463810516874946e+04,-1.154638841764237732e+06,5.679708112745347171e+04
