timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,1.514668803841946385e+02,1.516753986986658163e+02
6.000000000000000888e-01,2.981231643829427753e+02,2.985653547007979114e+02
9.000000000000001332e-01,4.401945903644049167e+02,4.408784124619592149e+02
1.200000000000000178e+00,5.779112518223682855e+02,5.788345672369559907e+02
1.500000000000000666e+00,7.115026380664874068e+02,7.126576455314269651e+02
1.800000000000000488e+00,8.411941527596267179e+02,8.425701227005433793e+02
2.100000000000000533e+00,9.672046918561077291e+02,9.687896317058817885e+02
2.400000000000000355e+00,1.089745014161215295e+03,1.091526665039855743e+03
2.700000000000000622e+00,1.209016708350133058e+03,1.210983124225010670e+03
3.000000000000000888e+00,1.325211606239018238e+03,1.327351472883028464e+03
3.300000000000001155e+00,1.438511526436658187e+03,1.440814319058711590e+03
3.600000000000000533e+00,1.549088259264100543e+03,1.551544301211713218e+03
3.900000000000000355e+00,1.657103724802666648e+03,1.659704186842385752e+03
4.200000000000000178e+00,1.762710252280929353e+03,1.765447117489392667e+03
4.500000000000000888e+00,1.866050941666647759e+03,1.868916951751196393e+03
4.800000000000000711e+00,1.967260078064311529e+03,1.970248671031529057e+03
5.100000000000002309e+00,2.066463576972722876e+03,2.069568822269164684e+03
5.400000000000002132e+00,2.163779444145850903e+03,2.166995978951879351e+03
5.700000000000003730e+00,2.259318238132911574e+03,2.262641206919643082e+03
6.000000000000003553e+00,2.353183526868426270e+03,2.356608525323864342e+03
6.300000000000004263e+00,2.445472332185858249e+03,2.448995355981953708e+03
6.600000000000004086e+00,2.536275558026757153e+03,2.539892956506515020e+03
6.900000000000003908e+00,2.625678399554582484e+03,2.629386834183193059e+03
7.200000000000003730e+00,2.713760731467158621e+03,2.717557138758414112e+03
7.500000000000003553e+00,2.800597474616532963e+03,2.804479033178968621e+03
7.800000000000003375e+00,2.886258940652728597e+03,2.890223041974912576e+03
8.100000000000003197e+00,2.970811154856461599e+03,2.974855377451542608e+03
8.400000000000003908e+00,3.054316157651540379e+03,3.058438244197350286e+03
8.700000000000004619e+00,3.136832285519001744e+03,3.141030122654537536e+03
9.000000000000005329e+00,3.218414432193236280e+03,3.222686032660928959e+03
9.300000000000004263e+00,3.299114291122544728e+03,3.303457777975627323e+03
9.600000000000004974e+00,3.378980580235770503e+03,3.383394172859304035e+03
9.900000000000007461e+00,3.458059250082889321e+03,3.462541251804932926e+03
1.020000000000000817e+01,3.536393676419144867e+03,3.540942463514235897e+03
1.050000000000000711e+01,3.614024838285353326e+03,3.618638850196010935e+03
1.080000000000000782e+01,3.690991482606691534e+03,3.695669213229755314e+03
1.110000000000001030e+01,3.767330276292393592e+03,3.772070266195855311e+03
1.140000000000001101e+01,3.843075946772267798e+03,3.847876776224997229e+03
1.170000000000000995e+01,3.918261411855552524e+03,3.923121694567081704e+03
1.200000000000001066e+01,3.992917899744816168e+03,3.997836277225223057e+03
1.230000000000001137e+01,4.067075059984073960e+03,4.072050196445450638e+03
1.260000000000001208e+01,4.140761066067203501e+03,4.145791643798040241e+03
1.290000000000001101e+01,4.214002710380459575e+03,4.219087425533020905e+03
1.320000000000001172e+01,4.286825492102836506e+03,4.291963050841031873e+03
1.350000000000001243e+01,4.359253698639561662e+03,4.364442813601585840e+03
1.380000000000001137e+01,4.431310481118486678e+03,4.436549868153992975e+03
1.410000000000001030e+01,4.503017924436087924e+03,4.508306299582790416e+03
1.440000000000001101e+01,4.574397112299119726e+03,4.579733188968089053e+03
1.470000000000001172e+01,4.645468187670760926e+03,4.650850674013303433e+03
1.500000000000001066e+01,4.716250408994844292e+03,4.721678005427178505e+03
1.530000000000001137e+01,4.786762202539589452e+03,4.792233599404528832e+03
1.560000000000001030e+01,4.857021211172601397e+03,4.862535086519689685e+03
1.590000000000001101e+01,4.927044339851530822e+03,4.932599357319435512e+03
1.620000000000000995e+01,4.996847798089725984e+03,5.002442604876477162e+03
1.650000000000001066e+01,5.066447139633561164e+03,5.072080364541839117e+03
1.680000000000001137e+01,5.135857299567078371e+03,5.141527551113318623e+03
1.710000000000001208e+01,5.205092629040797874e+03,5.210798493617917302e+03
1.740000000000001279e+01,5.274166927804304578e+03,5.279906967889095540e+03
1.770000000000001350e+01,5.343093474706515735e+03,5.348866227103648271e+03
1.800000000000001421e+01,5.411885056313500172e+03,5.417689030428840852e+03
1.830000000000001492e+01,5.480553993780781639e+03,5.486387669917599851e+03
1.860000000000001208e+01,5.549112168105575620e+03,5.554973995777614618e+03
1.890000000000001279e+01,5.617571043873805138e+03,5.623459440129972791e+03
1.920000000000001350e+01,5.685941691607248686e+03,5.691855039363035758e+03
1.950000000000001776e+01,5.754234808807710579e+03,5.760171455178826363e+03
1.980000000000001847e+01,5.822460739787080456e+03,5.828418994421250318e+03
2.010000000000001918e+01,5.890629494365291066e+03,5.896607627768547900e+03
2.040000000000001990e+01,5.958750765511790632e+03,5.964747007365519494e+03
2.070000000000001705e+01,6.026833946000088872e+03,6.032846483465827987e+03
2.100000000000001776e+01,6.094888144139938049e+03,6.100915120148767528e+03
2.130000000000001847e+01,6.162922198646805555e+03,6.168961710170456172e+03
2.160000000000001918e+01,6.230944692703633336e+03,6.236994789004709673e+03
2.190000000000002345e+01,6.298963967266357031e+03,6.305022648124995612e+03
2.220000000000002416e+01,6.366988133660341191e+03,6.373053347574987129e+03
2.250000000000002487e+01,6.435025085512017540e+03,6.441094727871869509e+03
2.280000000000002558e+01,6.503082510056513456e+03,6.509154421283483316e+03
2.310000000000002629e+01,6.571167898859199340e+03,6.577239862517144502e+03
2.340000000000002345e+01,6.639288557986575142e+03,6.645358298855760040e+03
2.370000000000002416e+01,6.707451617659145086e+03,6.713516799773805360e+03
2.400000000000002487e+01,6.775664041416700456e+03,6.781722266063816278e+03
2.430000000000002558e+01,6.843932634824325760e+03,6.849981438501442426e+03
2.460000000000002629e+01,6.912264053745219826e+03,6.918300906075611238e+03
2.490000000000002700e+01,6.980664812204749069e+03,6.986687113807809510e+03
2.520000000000002771e+01,7.049141289868171953e+03,7.055146370183220824e+03
2.550000000000002487e+01,7.117699739152972143e+03,7.123684854214609004e+03
2.580000000000002558e+01,7.186346291995142565e+03,7.192308622158220714e+03
2.610000000000002629e+01,7.255086966287295581e+03,7.261023613899684278e+03
2.640000000000002700e+01,7.323927672005265777e+03,7.329835659026514804e+03
2.670000000000002771e+01,7.392874217038440293e+03,7.398750482602498778e+03
2.700000000000002842e+01,7.461932312738143082e+03,7.467773710658211712e+03
2.730000000000002558e+01,7.531107579197037921e+03,7.536910875410784683e+03
2.760000000000002629e+01,7.600405550271763786e+03,7.606167420224903253e+03
2.790000000000002700e+01,7.669831678359897523e+03,7.675548704326399275e+03
2.820000000000002416e+01,7.739391338941609320e+03,7.745060007278482772e+03
2.850000000000002487e+01,7.809089834895400600e+03,7.814706533230236346e+03
2.880000000000002558e+01,7.878932400596773732e+03,7.884493414946257872e+03
2.910000000000002629e+01,7.948924205808109946e+03,7.954425717625425023e+03
2.940000000000002700e+01,8.019070359367654419e+03,8.024508442516844298e+03
2.970000000000002771e+01,8.089375912685554795e+03,8.094746530341187281e+03
3.000000000000002842e+01,8.159845863055792506e+03,8.165144864525619596e+03
