timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.000000000000000000e-01,5.057057891979779146e-02
2.000000000000000111e-01,1.000000000000000000e+00,1.023119727679117075e-01
3.000000000000000444e-01,1.500000000000000222e+00,1.552743133251780205e-01
4.000000000000000222e-01,2.000000000000000000e+00,2.095107202279631320e-01
5.000000000000000000e-01,2.500000000000000000e+00,2.650777015786460744e-01
5.999999999999999778e-01,3.000000000000000000e+00,3.220354535662513507e-01
6.999999999999999556e-01,3.500000000000000000e+00,3.804481825803416317e-01
7.999999999999999334e-01,4.000000000000000000e+00,4.403844608553436069e-01
8.999999999999999112e-01,4.499999999999999112e+00,5.019176213698044453e-01
9.999999999999998890e-01,4.999999999999999112e+00,5.651261976041890289e-01
1.099999999999999867e+00,5.499999999999999112e+00,6.300944144325210106e-01
1.199999999999999956e+00,6.000000000000000000e+00,6.969127373847303630e-01
1.300000000000000044e+00,6.500000000000000000e+00,7.656784887034304710e-01
1.400000000000000133e+00,7.000000000000000000e+00,8.364965400486339409e-01
1.500000000000000222e+00,7.500000000000001776e+00,9.094800934213537191e-01
1.600000000000000311e+00,8.000000000000001776e+00,9.847515639440279633e-01
1.700000000000000400e+00,8.500000000000001776e+00,1.062443580632252305e+00
1.800000000000000488e+00,9.000000000000003553e+00,1.142700124319911525e+00
1.900000000000000577e+00,9.500000000000003553e+00,1.225677825587550007e+00
2.000000000000000444e+00,1.000000000000000355e+01,1.311547450056573139e+00
2.100000000000000533e+00,1.050000000000000355e+01,1.400495603960954405e+00
2.200000000000000622e+00,1.100000000000000355e+01,1.492726699766400822e+00
2.300000000000000711e+00,1.150000000000000355e+01,1.588465230128537131e+00
2.400000000000000799e+00,1.200000000000000355e+01,1.687958409129346027e+00
2.500000000000000888e+00,1.250000000000000355e+01,1.791479253113610559e+00
2.600000000000000977e+00,1.300000000000000533e+01,1.899330190370654980e+00
2.700000000000001066e+00,1.350000000000000533e+01,2.011847310447433923e+00
2.800000000000001155e+00,1.400000000000000533e+01,2.129405391483945476e+00
2.900000000000001243e+00,1.450000000000000533e+01,2.252423879592774458e+00
3.000000000000001332e+00,1.500000000000000533e+01,2.381374040643606804e+00
3.100000000000001421e+00,1.550000000000000533e+01,2.516787565560397066e+00
3.200000000000001510e+00,1.600000000000000711e+01,2.659266990544633558e+00
3.300000000000001599e+00,1.650000000000000711e+01,2.809498400743605906e+00
3.400000000000001688e+00,1.700000000000000711e+01,2.968267030070498969e+00
3.500000000000001776e+00,1.750000000000000711e+01,3.136476565908346004e+00
3.600000000000001865e+00,1.800000000000000711e+01,3.315173236697136705e+00
3.700000000000001954e+00,1.850000000000000711e+01,3.505576134309039471e+00
3.800000000000002043e+00,1.900000000000001066e+01,3.709115748236822885e+00
3.900000000000002132e+00,1.950000000000001066e+01,3.927483434825313147e+00
4.000000000000001776e+00,2.000000000000000711e+01,4.162695618014963017e+00
4.100000000000001421e+00,2.050000000000000711e+01,4.417178080566186438e+00
4.200000000000001066e+00,2.100000000000000711e+01,4.693878006784935053e+00
4.300000000000000711e+00,2.150000000000000355e+01,4.996414866947403333e+00
4.400000000000000355e+00,2.200000000000000355e+01,5.329286387758355836e+00
4.500000000000000000e+00,2.250000000000000000e+01,5.698153637309548714e+00
4.599999999999999645e+00,2.299999999999999645e+01,6.110240968616393431e+00
4.699999999999999289e+00,2.349999999999999645e+01,6.574903840096570917e+00
4.799999999999998934e+00,2.399999999999999289e+01,7.104441522208203352e+00
4.899999999999998579e+00,2.449999999999999289e+01,7.715259673186130485e+00
4.999999999999998224e+00,2.499999999999999289e+01,8.429500989165743974e+00
5.099999999999997868e+00,2.549999999999998934e+01,9.277187176687688108e+00
5.199999999999997513e+00,2.599999999999998934e+01,1.029851476923032116e+01
5.299999999999997158e+00,2.649999999999998934e+01,1.154458810249869494e+01
5.399999999999996803e+00,2.699999999999998224e+01,1.307150109419661277e+01
5.499999999999996447e+00,2.749999999999998224e+01,1.491844636831002369e+01
5.599999999999996092e+00,2.799999999999998224e+01,1.706806293268933317e+01
5.699999999999995737e+00,2.849999999999997868e+01,1.942267867483098343e+01
5.799999999999995381e+00,2.899999999999997868e+01,2.184142550344030198e+01
5.899999999999995026e+00,2.949999999999997868e+01,2.420628760873744767e+01
5.999999999999994671e+00,2.999999999999997158e+01,2.645060112986153555e+01
6.099999999999994316e+00,3.049999999999997158e+01,2.854901492281159747e+01
6.199999999999993960e+00,3.099999999999997158e+01,3.049919801893383209e+01
6.299999999999993605e+00,3.149999999999996447e+01,3.230915723895126490e+01
6.399999999999993250e+00,3.199999999999996447e+01,3.399057710862836501e+01
6.499999999999992895e+00,3.249999999999996447e+01,3.555575374393017540e+01
6.599999999999992539e+00,3.299999999999995737e+01,3.701632113603490382e+01
6.699999999999992184e+00,3.349999999999995737e+01,3.838280507611735004e+01
6.799999999999991829e+00,3.399999999999995737e+01,3.966454045432688247e+01
6.899999999999991473e+00,3.449999999999995737e+01,4.086973789196343887e+01
6.999999999999991118e+00,3.499999999999995737e+01,4.200560371471106436e+01
7.099999999999990763e+00,3.549999999999995737e+01,4.307847241698146235e+01
7.199999999999990408e+00,3.599999999999995737e+01,4.409393804296237818e+01
7.299999999999990052e+00,3.649999999999995026e+01,4.505699064150364563e+01
7.399999999999989697e+00,3.699999999999995026e+01,4.597220725278113918e+01
7.499999999999989342e+00,3.749999999999995026e+01,4.684431202391124316e+01
