timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.499999999999999778e-01,1.226354964935692446e-02
2.000000000000000111e-01,6.999999999999999556e-01,2.464361326470204672e-02
3.000000000000000444e-01,1.050000000000000266e+00,3.714239828875117583e-02
4.000000000000000222e-01,1.399999999999999911e+00,4.976217908083731961e-02
5.000000000000000000e-01,1.750000000000000000e+00,6.250529933805228089e-02
5.999999999999999778e-01,2.100000000000000089e+00,7.537417467305826402e-02
6.999999999999999556e-01,2.450000000000000178e+00,8.837129535303900330e-02
7.999999999999999334e-01,2.799999999999999822e+00,1.014992292055079542e-01
8.999999999999999112e-01,3.149999999999999467e+00,1.147606246978677413e-01
9.999999999999998890e-01,3.499999999999999112e+00,1.281582141987532841e-01
1.099999999999999867e+00,3.849999999999999201e+00,1.416948174303045427e-01
1.199999999999999956e+00,4.200000000000000178e+00,1.553733451216493533e-01
1.300000000000000044e+00,4.549999999999999822e+00,1.691968028750188702e-01
1.400000000000000133e+00,4.900000000000000355e+00,1.831682952571177525e-01
1.500000000000000222e+00,5.250000000000000888e+00,1.972910301296181002e-01
1.600000000000000311e+00,5.600000000000001421e+00,2.115683232339772568e-01
1.700000000000000400e+00,5.950000000000001066e+00,2.260036030471893331e-01
1.800000000000000488e+00,6.300000000000001599e+00,2.406004159266076359e-01
1.900000000000000577e+00,6.650000000000001243e+00,2.553624315636112696e-01
2.000000000000000444e+00,7.000000000000001776e+00,2.702934487676794117e-01
2.100000000000000533e+00,7.350000000000001421e+00,2.853974016043707707e-01
2.200000000000000622e+00,7.700000000000002842e+00,3.006783659128294817e-01
2.300000000000000711e+00,8.050000000000002487e+00,3.161405662307620323e-01
2.400000000000000799e+00,8.400000000000002132e+00,3.317883831573740228e-01
2.500000000000000888e+00,8.750000000000003553e+00,3.476263611875646253e-01
2.600000000000000977e+00,9.100000000000003197e+00,3.636592170537656932e-01
2.700000000000001066e+00,9.450000000000004619e+00,3.798918486152286778e-01
2.800000000000001155e+00,9.800000000000004263e+00,3.963293443383383852e-01
2.900000000000001243e+00,1.015000000000000391e+01,4.129769934157165867e-01
3.000000000000001332e+00,1.050000000000000355e+01,4.298402965765342199e-01
3.100000000000001421e+00,1.085000000000000497e+01,4.469249776456041268e-01
3.200000000000001510e+00,1.120000000000000639e+01,4.642369959146001035e-01
3.300000000000001599e+00,1.155000000000000604e+01,4.817825593951439722e-01
3.400000000000001688e+00,1.190000000000000568e+01,4.995681390307080694e-01
3.500000000000001776e+00,1.225000000000000533e+01,5.176004839522820866e-01
3.600000000000001865e+00,1.260000000000000675e+01,5.358866378717815904e-01
3.700000000000001954e+00,1.295000000000000639e+01,5.544339567172837935e-01
3.800000000000002043e+00,1.330000000000000782e+01,5.732501276255651534e-01
3.900000000000002132e+00,1.365000000000000924e+01,5.923431894202579873e-01
4.000000000000001776e+00,1.400000000000000533e+01,6.117215547184403635e-01
4.100000000000001421e+00,1.435000000000000497e+01,6.313940338249064421e-01
4.200000000000001066e+00,1.470000000000000284e+01,6.513698605919719942e-01
4.300000000000000711e+00,1.505000000000000249e+01,6.716587204438567715e-01
4.400000000000000355e+00,1.540000000000000036e+01,6.922707807887914511e-01
4.500000000000000000e+00,1.575000000000000000e+01,7.132167240695367338e-01
4.599999999999999645e+00,1.610000000000000142e+01,7.345077837345170835e-01
4.699999999999999289e+00,1.644999999999999574e+01,7.561557834479155638e-01
4.799999999999998934e+00,1.679999999999999716e+01,7.781731798986757376e-01
4.899999999999998579e+00,1.714999999999999503e+01,8.005731096162617133e-01
4.999999999999998224e+00,1.749999999999999289e+01,8.233694402565104875e-01
5.099999999999997868e+00,1.784999999999999076e+01,8.465768268851359135e-01
5.199999999999997513e+00,1.819999999999999218e+01,8.702107738612192556e-01
5.299999999999997158e+00,1.854999999999999005e+01,8.942877030101735736e-01
5.399999999999996803e+00,1.889999999999998792e+01,9.188250288776839136e-01
5.499999999999996447e+00,1.924999999999998934e+01,9.438412419758677174e-01
5.599999999999996092e+00,1.959999999999998721e+01,9.693560010739570298e-01
5.699999999999995737e+00,1.994999999999998508e+01,9.953902357525742373e-01
5.799999999999995381e+00,2.029999999999998295e+01,1.021966260638570212e+00
5.899999999999995026e+00,2.064999999999998437e+01,1.049107902973146933e+00
5.999999999999994671e+00,2.099999999999997868e+01,1.076840645448031264e+00
6.099999999999994316e+00,2.134999999999998010e+01,1.105191786583325841e+00
6.199999999999993960e+00,2.169999999999998153e+01,1.134190621329560722e+00
6.299999999999993605e+00,2.204999999999997584e+01,1.163868645072459573e+00
6.399999999999993250e+00,2.239999999999997726e+01,1.194259784823232806e+00
6.499999999999992895e+00,2.274999999999997513e+01,1.225400662117757777e+00
6.599999999999992539e+00,2.309999999999997300e+01,1.257330893060300214e+00
6.699999999999992184e+00,2.344999999999997087e+01,1.290093432078058600e+00
6.799999999999991829e+00,2.379999999999997229e+01,1.323734967362850901e+00
6.899999999999991473e+00,2.414999999999997016e+01,1.358306377746307358e+00
6.999999999999991118e+00,2.449999999999996803e+01,1.393863262992697916e+00
7.099999999999990763e+00,2.484999999999996945e+01,1.430466562343751136e+00
7.199999999999990408e+00,2.519999999999996732e+01,1.468183279809371911e+00
7.299999999999990052e+00,2.554999999999996518e+01,1.507087339436974593e+00
7.399999999999989697e+00,2.589999999999996660e+01,1.547260599985056828e+00
7.499999999999989342e+00,2.624999999999996092e+01,1.588794066599674926e+00
7.599999999999988987e+00,2.659999999999995879e+01,1.631789347993708228e+00
7.699999999999988631e+00,2.694999999999996021e+01,1.676360422336114819e+00
7.799999999999988276e+00,2.729999999999996163e+01,1.722635795148506510e+00
7.899999999999987921e+00,2.764999999999995950e+01,1.770761160322108285e+00
7.999999999999987566e+00,2.799999999999995381e+01,1.820902714452180327e+00
8.099999999999987210e+00,2.834999999999995524e+01,1.873251330498831635e+00
8.199999999999986855e+00,2.869999999999995310e+01,1.928027877913906618e+00
8.299999999999986500e+00,2.904999999999995453e+01,1.985490096657627879e+00
8.399999999999986144e+00,2.939999999999994884e+01,2.045941614820284915e+00
8.499999999999985789e+00,2.974999999999995026e+01,2.109743982714777921e+00
8.599999999999985434e+00,3.009999999999994813e+01,2.177333048516710168e+00
8.699999999999985079e+00,3.044999999999994955e+01,2.249241745971679585e+00
8.799999999999984723e+00,3.079999999999994742e+01,2.326132639069323993e+00
8.899999999999984368e+00,3.114999999999994174e+01,2.408845841454590353e+00
8.999999999999984013e+00,3.149999999999994316e+01,2.498472189591986137e+00
9.099999999999983658e+00,3.184999999999994458e+01,2.596470030672532125e+00
9.199999999999983302e+00,3.219999999999994600e+01,2.704862153072474129e+00
9.299999999999982947e+00,3.254999999999994031e+01,2.826592051597153876e+00
9.399999999999982592e+00,3.289999999999993463e+01,2.966231699323846449e+00
9.499999999999982236e+00,3.324999999999993605e+01,3.131585828949789985e+00
9.599999999999981881e+00,3.359999999999993747e+01,3.338147779533754189e+00
9.699999999999981526e+00,3.394999999999993889e+01,3.627085303912269687e+00
