timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,1.500000000000000000e+01,-5.707895011935828489e-01
5.999999999999999778e-01,3.000000000000000000e+01,-1.142744356179812737e+00
8.999999999999999112e-01,4.499999999999999289e+01,-1.715755511865952210e+00
1.199999999999999956e+00,6.000000000000000000e+01,-2.289705296674577450e+00
1.500000000000000000e+00,7.500000000000000000e+01,-2.864467446204718382e+00
1.800000000000000044e+00,9.000000000000000000e+01,-3.439907118200194791e+00
2.100000000000000089e+00,1.050000000000000000e+02,-4.015880889571112000e+00
2.399999999999999911e+00,1.200000000000000000e+02,-4.592236734250128016e+00
2.699999999999999734e+00,1.349999999999999716e+02,-5.168813986933222360e+00
2.999999999999999556e+00,1.499999999999999716e+02,-5.745443303392498535e+00
3.299999999999999378e+00,1.649999999999999716e+02,-6.321946632359465745e+00
3.599999999999999201e+00,1.799999999999999716e+02,-6.898137216528391846e+00
3.899999999999999023e+00,1.949999999999999432e+02,-7.473819640882784832e+00
4.199999999999999289e+00,2.099999999999999716e+02,-8.048789945433631132e+00
4.499999999999999112e+00,2.249999999999999716e+02,-8.622835816906881945e+00
4.799999999999998934e+00,2.399999999999999432e+02,-9.195736870376691741e+00
5.099999999999998757e+00,2.549999999999999432e+02,-9.767265027788900156e+00
5.399999999999998579e+00,2.699999999999999432e+02,-1.033718499619913800e+01
5.699999999999998401e+00,2.849999999999999432e+02,-1.090525484471911533e+01
5.999999999999998224e+00,2.999999999999999432e+02,-1.147122667587133193e+01
6.299999999999998046e+00,3.149999999999998863e+02,-1.203484738443044932e+01
6.599999999999997868e+00,3.299999999999998863e+02,-1.259585949490874945e+01
6.899999999999997691e+00,3.449999999999998863e+02,-1.315400206757263213e+01
7.199999999999997513e+00,3.599999999999998863e+02,-1.370901166215206324e+01
7.499999999999997335e+00,3.749999999999998863e+02,-1.426062334809496512e+01
7.799999999999997158e+00,3.899999999999998863e+02,-1.480857175019233729e+01
8.099999999999997868e+00,4.049999999999998863e+02,-1.535259211854409145e+01
8.399999999999998579e+00,4.199999999999999432e+02,-1.589242141206481129e+01
8.699999999999999289e+00,4.349999999999999432e+02,-1.642779938499178627e+01
9.000000000000000000e+00,4.500000000000000000e+02,-1.695846966613245499e+01
9.300000000000000711e+00,4.650000000000000568e+02,-1.748418082087839309e+01
9.600000000000001421e+00,4.800000000000000568e+02,-1.800468738633711041e+01
9.900000000000002132e+00,4.950000000000001137e+02,-1.851975087031685163e+01
1.020000000000000284e+01,5.100000000000001137e+02,-1.902914070537049795e+01
1.050000000000000355e+01,5.250000000000002274e+02,-1.953263514968164216e+01
1.080000000000000426e+01,5.400000000000002274e+02,-2.003002212727007958e+01
1.110000000000000497e+01,5.550000000000002274e+02,-2.052110000080685737e+01
1.140000000000000568e+01,5.700000000000002274e+02,-2.100567827124907438e+01
1.170000000000000639e+01,5.850000000000003411e+02,-2.148357819951565517e+01
1.200000000000000711e+01,6.000000000000003411e+02,-2.195463334650131770e+01
1.230000000000000782e+01,6.150000000000003411e+02,-2.241869002883959894e+01
1.260000000000000853e+01,6.300000000000004547e+02,-2.287560768894792318e+01
1.290000000000000924e+01,6.450000000000004547e+02,-2.332525917898830414e+01
1.320000000000000995e+01,6.600000000000004547e+02,-2.376753095943157135e+01
1.350000000000001066e+01,6.750000000000004547e+02,-2.420232321389763186e+01
1.380000000000001137e+01,6.900000000000005684e+02,-2.462954988284018754e+01
1.410000000000001208e+01,7.050000000000005684e+02,-2.504913861943943232e+01
1.440000000000001279e+01,7.200000000000005684e+02,-2.546103067174978563e+01
1.470000000000001350e+01,7.350000000000006821e+02,-2.586518069571834033e+01
1.500000000000001421e+01,7.500000000000006821e+02,-2.626155650414141718e+01
1.530000000000001492e+01,7.650000000000006821e+02,-2.665013875696626044e+01
1.560000000000001563e+01,7.800000000000006821e+02,-2.703092059857474183e+01
1.590000000000001634e+01,7.950000000000007958e+02,-2.740390724781767418e+01
1.620000000000001705e+01,8.100000000000007958e+02,-2.776911554660700432e+01
1.650000000000001776e+01,8.250000000000007958e+02,-2.812657347283275300e+01
1.680000000000001847e+01,8.400000000000010232e+02,-2.847631962325943178e+01
1.710000000000001918e+01,8.550000000000010232e+02,-2.881840267188598759e+01
1.740000000000001990e+01,8.700000000000010232e+02,-2.915288080903306778e+01
1.770000000000002061e+01,8.850000000000010232e+02,-2.947982116616146797e+01
1.800000000000002132e+01,9.000000000000011369e+02,-2.979929923113579093e+01
1.830000000000002203e+01,9.150000000000011369e+02,-3.011139825833487293e+01
1.860000000000002274e+01,9.300000000000011369e+02,-3.041620867768357783e+01
1.890000000000002345e+01,9.450000000000012506e+02,-3.071382750634452563e+01
1.920000000000002416e+01,9.600000000000012506e+02,-3.100435776646939701e+01
1.950000000000002487e+01,9.750000000000012506e+02,-3.128790791207239508e+01
1.980000000000002558e+01,9.900000000000013642e+02,-3.156459126775554580e+01
2.010000000000002629e+01,1.005000000000001364e+03,-3.183452548169255181e+01
2.040000000000002700e+01,1.020000000000001364e+03,-3.209783199496462913e+01
2.070000000000002771e+01,1.035000000000001364e+03,-3.235463552904179352e+01
2.100000000000002842e+01,1.050000000000001364e+03,-3.260506359291805012e+01
2.130000000000002913e+01,1.065000000000001364e+03,-3.284924601113803533e+01
2.160000000000002984e+01,1.080000000000001364e+03,-3.308731447369994072e+01
2.190000000000003055e+01,1.095000000000001364e+03,-3.331940210858111584e+01
2.220000000000003126e+01,1.110000000000001364e+03,-3.354564307741416229e+01
2.250000000000003197e+01,1.125000000000001592e+03,-3.376617219463651764e+01
2.280000000000003268e+01,1.140000000000001592e+03,-3.398112457025154498e+01
2.310000000000003340e+01,1.155000000000001592e+03,-3.419063527616880549e+01
2.340000000000003411e+01,1.170000000000001592e+03,-3.439483903593792036e+01
2.370000000000003482e+01,1.185000000000001592e+03,-3.459386993755330053e+01
2.400000000000003553e+01,1.200000000000001592e+03,-3.478786116888466040e+01
2.430000000000003624e+01,1.215000000000001592e+03,-3.497694477518113843e+01
2.460000000000003695e+01,1.230000000000002046e+03,-3.516125143800475428e+01
2.490000000000003766e+01,1.245000000000002046e+03,-3.534091027486897474e+01
2.520000000000003837e+01,1.260000000000002046e+03,-3.551604865879327377e+01
2.550000000000003908e+01,1.275000000000002046e+03,-3.568679205693070600e+01
2.580000000000003979e+01,1.290000000000002046e+03,-3.585326388738435810e+01
2.610000000000004050e+01,1.305000000000002046e+03,-3.601558539329785447e+01
2.640000000000004121e+01,1.320000000000002046e+03,-3.617387553328538985e+01
2.670000000000004192e+01,1.335000000000002274e+03,-3.632825088725595464e+01
2.700000000000004263e+01,1.350000000000002274e+03,-3.647882557668513215e+01
2.730000000000004334e+01,1.365000000000002274e+03,-3.662571119839360279e+01
2.760000000000004405e+01,1.380000000000002274e+03,-3.676901677090533127e+01
2.790000000000004476e+01,1.395000000000002274e+03,-3.690884869247800992e+01
2.820000000000004547e+01,1.410000000000002274e+03,-3.704531070992283048e+01
2.850000000000004619e+01,1.425000000000002501e+03,-3.717850389736145900e+01
2.880000000000004690e+01,1.440000000000002501e+03,-3.730852664409975716e+01
2.910000000000004761e+01,1.455000000000002501e+03,-3.743547465083620551e+01
2.940000000000004832e+01,1.470000000000002501e+03,-3.755944093345956958e+01
2.970000000000004903e+01,1.485000000000002501e+03,-3.768051583373160440e+01
3.000000000000004974e+01,1.500000000000002501e+03,-3.779878703619112201e+01
