timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.500000000000000139e-02,-1.015611318916294303e+00,-1.089849383746508416e+00
2.000000000000000042e-02,-5.000000000000000278e-02,-2.033464137551939999e+00,-2.182373509772424391e+00
2.999999999999999889e-02,-7.499999999999999722e-02,-3.053627257258677119e+00,-3.277492189850996773e+00
4.000000000000000083e-02,-1.000000000000000056e-01,-4.076196627134420325e+00,-4.374913567963096384e+00
5.000000000000000278e-02,-1.250000000000000000e-01,-5.101063956204662020e+00,-5.473142512331795828e+00
6.000000000000000472e-02,-1.500000000000000222e-01,-6.118278228351583081e+00,-6.551887682448793271e+00
7.000000000000000666e-02,-1.750000000000000167e-01,-6.701442847299897032e+00,-7.093328131641247758e+00
8.000000000000000167e-02,-2.000000000000000111e-01,-6.827025593431844896e+00,-7.159260165358971584e+00
8.999999999999999667e-02,-2.249999999999999778e-01,-6.895523148915023270e+00,-7.184762269576372873e+00
9.999999999999999167e-02,-2.499999999999999722e-01,-6.945789489551719598e+00,-7.200626763731735380e+00
1.099999999999999867e-01,-2.749999999999999667e-01,-6.986768930550404377e+00,-7.212523534807071535e+00
1.199999999999999817e-01,-2.999999999999999334e-01,-7.021989303005582883e+00,-7.222348652385021772e+00
1.299999999999999767e-01,-3.249999999999999556e-01,-7.053228412548906867e+00,-7.230935811152697568e+00
1.399999999999999856e-01,-3.499999999999999778e-01,-7.081519206436987623e+00,-7.238715615621533317e+00
1.499999999999999944e-01,-3.750000000000000000e-01,-7.107520665091572099e+00,-7.245935614545965464e+00
1.600000000000000033e-01,-4.000000000000000222e-01,-7.131681959270161464e+00,-7.252749470953731681e+00
1.700000000000000122e-01,-4.250000000000000444e-01,-7.154324731884259769e+00,-7.259258247645240303e+00
1.800000000000000211e-01,-4.500000000000000666e-01,-7.175688268441373197e+00,-7.265531486147652984e+00
1.900000000000000300e-01,-4.750000000000000888e-01,-7.195956081886850875e+00,-7.271618808937438949e+00
2.000000000000000389e-01,-5.000000000000001110e-01,-7.215272444607200519e+00,-7.277556698426860926e+00
2.100000000000000477e-01,-5.250000000000001332e-01,-7.233753138710488528e+00,-7.283372655295301534e+00
2.200000000000000566e-01,-5.500000000000001554e-01,-7.251492710078077053e+00,-7.289087854572670722e+00
2.300000000000000655e-01,-5.750000000000001776e-01,-7.268569518086790637e+00,-7.294718901183029125e+00
2.400000000000000744e-01,-6.000000000000001998e-01,-7.285049345549333033e+00,-7.300279024760373936e+00
2.500000000000000555e-01,-6.250000000000001110e-01,-7.300988039317429568e+00,-7.305778913739382041e+00
2.600000000000000644e-01,-6.500000000000001332e-01,-7.316433480909858567e+00,-7.311227310704875748e+00
2.700000000000000733e-01,-6.750000000000001554e-01,-7.331427083298531322e+00,-7.316631445749526286e+00
2.800000000000000822e-01,-7.000000000000001776e-01,-7.346004945699284860e+00,-7.321997357465326317e+00
2.900000000000000910e-01,-7.250000000000001998e-01,-7.360198757026684468e+00,-7.327330134446151888e+00
3.000000000000000999e-01,-7.500000000000002220e-01,-7.374036511631399726e+00,-7.332634099557342466e+00
3.100000000000001088e-01,-7.750000000000002442e-01,-7.387543082777810355e+00,-7.337912952337958927e+00
3.200000000000001177e-01,-8.000000000000002665e-01,-7.400740686884475394e+00,-7.343169880329257992e+00
3.300000000000001266e-01,-8.250000000000002887e-01,-7.413649262867965994e+00,-7.348407647035446466e+00
3.400000000000001354e-01,-8.500000000000003109e-01,-7.426286784791101603e+00,-7.353628662100616609e+00
3.500000000000001443e-01,-8.750000000000003331e-01,-7.438669521572183641e+00,-7.358835037798236556e+00
3.600000000000001532e-01,-9.000000000000003553e-01,-7.450812254297153991e+00,-7.364028634880594559e+00
3.700000000000001621e-01,-9.250000000000003775e-01,-7.462728459277582438e+00,-7.369211100077754928e+00
3.800000000000001710e-01,-9.500000000000003997e-01,-7.474430463222155652e+00,-7.374383896984983089e+00
3.900000000000001799e-01,-9.750000000000004219e-01,-7.485929575527793034e+00,-7.379548331674125272e+00
4.000000000000001887e-01,-1.000000000000000444e+00,-7.497236201681154455e+00,-7.384705574061119826e+00
4.100000000000001976e-01,-1.025000000000000577e+00,-7.508359940956078837e+00,-7.389856675836329991e+00
4.200000000000002065e-01,-1.050000000000000488e+00,-7.519309670981740190e+00,-7.395002585593158706e+00
4.300000000000002154e-01,-1.075000000000000622e+00,-7.530093621272808235e+00,-7.400144161656720954e+00
4.400000000000002243e-01,-1.100000000000000533e+00,-7.540719437427697791e+00,-7.405282183016050901e+00
4.500000000000002331e-01,-1.125000000000000666e+00,-7.551194237400568277e+00,-7.410417358681376854e+00
4.600000000000002420e-01,-1.150000000000000577e+00,-7.561524661011414850e+00,-7.415550335727702169e+00
4.700000000000002509e-01,-1.175000000000000711e+00,-7.571716913655886394e+00,-7.420681706238691611e+00
4.800000000000002598e-01,-1.200000000000000622e+00,-7.581776805026761323e+00,-7.425812013321856142e+00
4.900000000000002687e-01,-1.225000000000000755e+00,-7.591709783522134103e+00,-7.430941756340372351e+00
5.000000000000002220e-01,-1.250000000000000444e+00,-7.601520966911666122e+00,-7.436071395478392354e+00
5.100000000000002309e-01,-1.275000000000000577e+00,-7.611215169747997500e+00,-7.441201355737555367e+00
5.200000000000002398e-01,-1.300000000000000711e+00,-7.620796927935311160e+00,-7.446332030447869954e+00
5.300000000000002487e-01,-1.325000000000000622e+00,-7.630270520802326040e+00,-7.451463784359368958e+00
5.400000000000002576e-01,-1.350000000000000533e+00,-7.639639990988049689e+00,-7.456596956374345275e+00
5.500000000000002665e-01,-1.375000000000000666e+00,-7.648909162394859074e+00,-7.461731861967125568e+00
5.600000000000002753e-01,-1.400000000000000799e+00,-7.658081656434101880e+00,-7.466868795333422959e+00
5.700000000000002842e-01,-1.425000000000000711e+00,-7.667160906759086458e+00,-7.472008031303524866e+00
5.800000000000002931e-01,-1.450000000000000622e+00,-7.676150172656380555e+00,-7.477149827051174924e+00
5.900000000000003020e-01,-1.475000000000000755e+00,-7.685052551233274798e+00,-7.482294423620921009e+00
6.000000000000003109e-01,-1.500000000000000888e+00,-7.693870988539997846e+00,-7.487442047298113579e+00
6.100000000000003197e-01,-1.525000000000000799e+00,-7.702608289733649194e+00,-7.492592910839904086e+00
6.200000000000003286e-01,-1.550000000000000711e+00,-7.711267128382931269e+00,-7.497747214583561082e+00
6.300000000000003375e-01,-1.575000000000000844e+00,-7.719850055001111322e+00,-7.502905147445445344e+00
6.400000000000003464e-01,-1.600000000000000977e+00,-7.728359504884717346e+00,-7.508066887825398439e+00
6.500000000000003553e-01,-1.625000000000000888e+00,-7.736797805324168387e+00,-7.513232604424250560e+00
