timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000389e-01,1.912366799523333682e+01,1.912727556272300333e+01
4.000000000000000777e-01,3.750881080573653747e+01,3.751669532801826534e+01
6.000000000000001998e-01,5.521474991255528408e+01,5.522722246164337889e+01
8.000000000000000444e-01,7.229498885870845015e+01,7.231209423326025387e+01
1.000000000000000000e+00,8.879788102375458436e+01,8.881946939664194929e+01
1.200000000000000178e+00,1.047672114166296069e+02,1.047929942078144308e+02
1.400000000000000355e+00,1.202427049050586731e+02,1.202722983531044179e+02
1.599999999999999867e+00,1.352604712305750922e+02,1.352934302993871540e+02
1.799999999999999822e+00,1.498533954906629049e+02,1.498892401328873802e+02
1.999999999999999556e+00,1.640514814163384187e+02,1.640897167590839558e+02
2.200000000000000622e+00,1.778821536673571870e+02,1.779222853453876212e+02
2.400000000000000355e+00,1.913705244563648193e+02,1.914120700610798735e+02
2.599999999999999645e+00,2.045396290575661453e+02,2.045821264743217114e+02
2.800000000000000711e+00,2.174106341237232130e+02,2.174536473790984701e+02
3.000000000000000444e+00,2.300030222033250880e+02,2.300461453261134750e+02
3.200000000000000622e+00,2.423347553987635195e+02,2.423776147053024772e+02
3.400000000000000799e+00,2.544224207215413003e+02,2.544646758614415774e+02
3.600000000000000533e+00,2.662813593704487971e+02,2.663227034084039246e+02
3.800000000000001599e+00,2.779257818741388633e+02,2.779659406341011163e+02
4.000000000000001776e+00,2.893688707933887940e+02,2.894076016506540441e+02
4.200000000000001066e+00,3.006228724647846775e+02,3.006599627376942863e+02
4.400000000000002132e+00,3.116991790818947834e+02,3.117344441466385092e+02
4.600000000000002309e+00,3.226084022483427134e+02,3.226416834767439923e+02
4.800000000000001599e+00,3.333604389963279573e+02,3.333916015967451472e+02
5.000000000000002665e+00,3.439645311413910349e+02,3.439934619663297326e+02
5.200000000000001954e+00,3.544293187371680460e+02,3.544559241074164788e+02
5.400000000000001243e+00,3.647628883006296405e+02,3.647870918842424999e+02
5.600000000000003197e+00,3.749728163970244168e+02,3.749945571719400164e+02
5.800000000000002487e+00,3.850662091028864893e+02,3.850854394241409295e+02
6.000000000000002665e+00,3.950497378038285206e+02,3.950664215898445946e+02
6.200000000000002842e+00,4.049296717300007344e+02,4.049437827772115384e+02
6.400000000000003020e+00,4.147119075852630772e+02,4.147234280160571416e+02
6.600000000000002309e+00,4.244019965851553593e+02,4.244109154307495828e+02
6.800000000000002487e+00,4.340051691830240088e+02,4.340114811001562316e+02
7.000000000000001776e+00,4.435263577323191839e+02,4.435300618505602870e+02
7.200000000000004619e+00,4.529702173055997605e+02,4.529713162004627520e+02
7.400000000000003908e+00,4.623411448665364105e+02,4.623396436523559601e+02
7.600000000000004974e+00,4.716432969697575572e+02,4.716392025054303758e+02
7.800000000000002487e+00,4.808806061442558075e+02,4.808739263443328582e+02
8.000000000000005329e+00,4.900567960988934715e+02,4.900475393421477861e+02
8.200000000000002842e+00,4.991753958730215004e+02,4.991635705004068768e+02
8.400000000000002132e+00,5.082397530409549518e+02,5.082253669348462495e+02
8.600000000000003197e+00,5.172530460659179425e+02,5.172361063025809926e+02
8.800000000000002487e+00,5.262182958867231264e+02,5.261988084541683293e+02
8.999999999999998224e+00,5.351383768089108344e+02,5.351163463825126883e+02
9.200000000000001066e+00,5.440160267610385745e+02,5.439914565296566025e+02
9.400000000000000355e+00,5.528538569664486886e+02,5.528267485021495986e+02
9.599999999999997868e+00,5.616543610710302801e+02,5.616247142359385407e+02
9.799999999999997158e+00,5.704199237583750346e+02,5.703877366426504523e+02
9.999999999999998224e+00,5.791528288754838059e+02,5.791180977608986495e+02
