timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.256637061435917357e-01,1.714732735431593103e+00,1.727272801252673767e-02
2.513274122871834715e-01,3.430611760100730212e+00,6.926184350016686975e-02
3.769911184307751517e-01,5.148767059599888896e+00,1.564767417925593262e-01
5.026548245743669430e-01,6.870296513988540354e+00,2.797552219015531083e-01
6.283185307179586232e-01,8.596251071962560886e+00,4.402471663208952224e-01
7.539822368615504145e-01,1.032762132285313861e+01,6.393925990506637014e-01
8.796459430051422057e-01,1.206532581509394397e+01,8.788949548766159525e-01
1.005309649148733886e+00,1.381020138204927861e+01,1.160690534753252567e+00
1.130973355292325566e+00,1.556299564054517326e+01,1.486915205313830368e+00
1.256637061435917246e+00,1.732436173096554910e+01,1.859869424599498444e+00
1.382300767579508705e+00,1.909485527662915771e+01,2.281982645314362568e+00
1.507964473723100385e+00,2.087493345947281398e+01,2.755778069257697638e+00
1.633628179866692065e+00,2.266495604249339380e+01,3.283838612528128031e+00
1.759291886010283967e+00,2.446518811902754464e+01,3.868774802266907731e+00
1.884955592153875870e+00,2.627580433535525017e+01,4.513195173680076167e+00
2.010619298297467772e+00,2.809689431559635864e+01,5.219679581384875533e+00
2.136283004441059674e+00,2.992846901473968302e+01,5.990755690580765958e+00
2.261946710584651132e+00,3.177046773456757478e+01,6.828878777879443085e+00
2.387610416728243035e+00,3.362276555555566659e+01,7.736414853406236247e+00
2.513274122871834937e+00,3.548518096283013534e+01,8.715627017533437382e+00
2.638937829015426839e+00,3.735748347341395004e+01,9.768664888105291766e+00
2.764601535159018741e+00,3.923940110305937878e+01,1.089755687665348205e+01
2.890265241302610644e+00,4.113062754211239280e+01,1.210420505327108032e+01
3.015928947446202546e+00,4.303082893966956135e+01,1.339038231725940342e+01
3.141592653589794004e+00,4.493965022276016441e+01,1.475773158180637701e+01
3.267256359733385462e+00,4.685672090177418880e+01,1.620776668313762059e+01
3.392920065876977365e+00,4.878166033452160377e+01,1.774187473524921899e+01
3.518583772020569267e+00,5.071408243906417823e+01,1.936131966815838723e+01
3.644247478164161169e+00,5.265359985989975655e+01,2.106724670856242909e+01
3.769911184307753071e+00,5.459982760342511909e+01,2.286068758518208455e+01
3.895574890451344974e+00,5.655238616716055589e+01,2.474256626550221938e+01
4.021238596594936432e+00,5.851090419333406345e+01,2.671370505504764381e+01
4.146902302738528334e+00,6.047502068145497134e+01,2.877483091394617531e+01
4.272566008882120236e+00,6.244438679680714444e+01,3.092658186777937246e+01
4.398229715025712139e+00,6.441866731268987678e+01,3.316951341023591482e+01
4.523893421169304041e+00,6.639754172402683707e+01,3.550410481365430826e+01
4.649557127312895943e+00,6.838070506891273226e+01,3.793076528008732851e+01
4.775220833456487846e+00,7.036786849299565461e+01,4.044983988003774300e+01
4.900884539600079748e+00,7.235875958949279152e+01,4.306161523857902296e+01
5.026548245743671650e+00,7.435312254525635467e+01,4.576632493929064083e+01
5.152211951887263552e+00,7.635071812077677578e+01,4.856415462545396622e+01
5.277875658030855455e+00,7.835132348942025260e+01,5.145524678541647035e+01
5.403539364174446469e+00,8.035473195862846296e+01,5.443970521510258465e+01
5.529203070318038371e+00,8.236075259330776532e+01,5.751759915548223034e+01
5.654866776461630273e+00,8.436920975924543598e+01,6.068896710654442472e+01
5.780530482605222176e+00,8.637994260213277187e+01,6.395382032210414991e+01
5.906194188748814078e+00,8.839280447566406451e+01,6.731214599170525048e+01
6.031857894892405980e+00,9.040766233022046094e+01,7.076391011708179235e+01
6.157521601035997882e+00,9.242439607183581529e+01,7.430906009118095312e+01
6.283185307179588897e+00,9.444289789947029590e+01,7.794752698770470545e+01
