timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
0.000000000000000000e+00,2.980000000000000000e+02,2.980000000000000000e+02,2.980000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,3.004385287749643680e+02,2.979989700132153416e+02,2.980000008699578302e+02,1.660604825108768784e-07
2.000000000000000000e+00,3.027581290982020619e+02,2.979980561343149930e+02,2.980000015855839592e+02,3.090638778760624318e-07
3.000000000000000000e+00,3.049646011787471593e+02,2.979983843096208034e+02,2.980000002458270387e+02,7.530724613037292196e-08
4.000000000000000000e+00,3.070634623461009483e+02,2.980001878762462866e+02,2.979999965810097251e+02,-6.044563067761900708e-07
5.000000000000000000e+00,3.090599608464298171e+02,2.980029541978546490e+02,2.979999926589266011e+02,-1.356293001542813399e-06
6.000000000000000000e+00,3.109590889659141908e+02,2.980058391090624923e+02,2.979999915470917244e+02,-1.596870392681240724e-06
7.000000000000000000e+00,3.127655955140643869e+02,2.980080064673035736e+02,2.979999953849227268e+02,-9.000440000492274465e-07
8.000000000000000000e+00,3.144839976982181042e+02,2.980088193314113028e+02,2.980000041554856693e+02,7.554558938859058245e-07
9.000000000000000000e+00,3.161185924189114189e+02,2.980079106258991146e+02,2.980000155975147891e+02,2.954493011653570197e-06
1.000000000000000000e+01,3.176734670143683275e+02,2.980051798932364022e+02,2.980000260196754311e+02,4.993316005166950665e-06
1.100000000000000000e+01,3.191525094809756524e+02,2.980007535888310599e+02,2.980000315085973739e+02,6.111177171510637539e-06
1.200000000000000000e+01,3.205594181952987469e+02,2.979949327301367816e+02,2.980000290621294994e+02,5.713456346403058354e-06
1.300000000000000000e+01,3.218977111619492462e+02,2.979881408924115362e+02,2.980000173573589564e+02,3.526765894993288858e-06
1.400000000000000000e+01,3.231707348104295647e+02,2.979808785620024310e+02,2.979999970520048009e+02,-3.365412977938704739e-07
1.500000000000000000e+01,3.243816723629493026e+02,2.979736858715836547e+02,2.979999706567672320e+02,-5.398950751092923821e-06
1.600000000000000000e+01,3.255335517941389867e+02,2.979671136970098928e+02,2.979999420918906026e+02,-1.090209389849978319e-05
1.700000000000000000e+01,3.266292534025637337e+02,2.979617021842533973e+02,2.979999160646166843e+02,-1.592803978012172594e-05
1.800000000000000000e+01,3.276715170129701278e+02,2.979579654740007868e+02,2.979998973936994275e+02,-1.953242619144250123e-05
1.900000000000000000e+01,3.286629488272749882e+02,2.979563813921220685e+02,2.979998903795484466e+02,-2.086951580315525318e-05
2.000000000000000000e+01,3.296060279414279535e+02,2.979573850058955031e+02,2.979998982859858074e+02,-1.929567047695019544e-05
2.100000000000000000e+01,3.305031125444422742e+02,2.979613651200251070e+02,2.979999229692940048e+02,-1.444379117034961247e-05
2.200000000000000000e+01,3.313564458150960945e+02,2.979686629604460109e+02,2.979999646656992809e+02,-6.266233339422680615e-06
2.300000000000000000e+01,3.321681615310474172e+02,2.979795724494813953e+02,2.980000219306432427e+02,4.952655031218991118e-06
2.400000000000000000e+01,3.329402894043899437e+02,2.979943416073147091e+02,2.980000917117284303e+02,1.861086775123784557e-05
2.500000000000000000e+01,3.336747601569905441e+02,2.980131747220676743e+02,2.980001695309792353e+02,3.382512337179010821e-05
2.600000000000000000e+01,3.343734103482994442e+02,2.980362350166020633e+02,2.980002497497766285e+02,4.948397636800098921e-05
2.700000000000000000e+01,3.350379869677054785e+02,2.980636476078136070e+02,2.980003258903021788e+02,6.431240230681658035e-05
2.800000000000000000e+01,3.356701518029197473e+02,2.980955026069669884e+02,2.980003909895652328e+02,7.694302991543086221e-05
2.900000000000000000e+01,3.362714855953101960e+02,2.981318582504683832e+02,2.980004379653069577e+02,8.598983461077047512e-05
3.000000000000000000e+01,3.368434919925785493e+02,2.981727439818685639e+02,2.980004599767060540e+02,9.012082918559414005e-05
3.100000000000000000e+01,3.373876013086629087e+02,2.982181634298675021e+02,2.980004507664712605e+02,8.812702700017834337e-05
3.200000000000000000e+01,3.379051741002672884e+02,2.982680972452806714e+02,2.980004049743371297e+02,7.898564403268329328e-05
3.300000000000000000e+01,3.383975045689623471e+02,2.983225057736196391e+02,2.980003184150529023e+02,6.191612899879857625e-05
3.400000000000000000e+01,3.388658237973633049e+02,2.983813315501556076e+02,2.980001883165913341e+02,3.642814628309473185e-05
3.500000000000000000e+01,3.393113028274777889e+02,2.984445016118692706e+02,2.980000135164960398e+02,2.361080455345509477e-06
3.600000000000000000e+01,3.397350555889207158e+02,2.985119296261664203e+02,2.979997946160489732e+02,-4.008500683443408738e-05
3.700000000000000000e+01,3.401381416843186685e+02,2.985835178401384837e+02,2.979995340933073180e+02,-9.032676043324675561e-05
3.800000000000000000e+01,3.405215690388682788e+02,2.986591588568486486e+02,2.979992363770820134e+02,-1.473828386860487165e-04
3.900000000000000000e+01,3.408862964206743982e+02,2.987387372469151501e+02,2.979989078846537041e+02,-2.098665766473699226e-04
4.000000000000000000e+01,3.412332358381694348e+02,2.988221310047724160e+02,2.979985570264992134e+02,-2.759853437067668995e-04
