timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,6.999999999999997335e-01,1.774500202710472877e+04,2.981626821374811129e+02,2.824204787789415150e+03
2.000000000000000000e+00,1.399999999999999467e+00,3.347761053964836901e+04,2.983075583322276429e+02,5.328127200290358815e+03
3.000000000000000000e+00,2.099999999999999645e+00,4.765888574703154882e+04,2.984378009107629737e+02,7.585147248891927120e+03
4.000000000000000000e+00,2.799999999999998934e+00,6.062743367251910968e+04,2.985558966661355385e+02,9.649155755957406654e+03
5.000000000000000000e+00,3.499999999999999556e+00,7.263661961513593269e+04,2.986638227733293434e+02,1.156047706123454373e+04
6.000000000000000000e+00,4.199999999999999289e+00,8.387923061958966719e+04,2.987631711865237207e+02,1.334979417585270858e+04
7.000000000000000000e+00,4.899999999999999467e+00,9.450420219953516789e+04,2.988552383030917667e+02,1.504081092301195713e+04
8.000000000000000000e+00,5.599999999999997868e+00,1.046281994314473704e+05,2.989410907068332790e+02,1.665209512631941834e+04
9.000000000000000000e+00,6.299999999999998934e+00,1.143437855310825835e+05,2.990216141196593185e+02,1.819837867911121066e+04
1.000000000000000000e+01,6.999999999999999112e+00,1.237252809363598208e+05,2.990975503616712672e+02,1.969149004645500827e+04
1.100000000000000000e+01,7.700000000000000178e+00,1.328330304570736480e+05,2.991695256129186191e+02,2.114103340311946158e+04
1.200000000000000000e+01,8.399999999999998579e+00,1.417165546556049085e+05,2.992380722754531917e+02,2.255489019139218726e+04
1.300000000000000000e+01,9.099999999999999645e+00,1.504169072025052446e+05,2.993036460653235054e+02,2.393959430587353927e+04
1.400000000000000000e+01,9.799999999999998934e+00,1.589684592362034891e+05,2.993666395065352503e+02,2.530061608314417026e+04
1.500000000000000000e+01,1.049999999999999822e+01,1.674002648931441654e+05,2.994273926810566877e+02,2.664257963263638158e+04
1.600000000000000000e+01,1.119999999999999574e+01,1.757371170554329292e+05,2.994862018648580602e+02,2.796943086409104217e+04
1.700000000000000000e+01,1.189999999999999858e+01,1.840003714550333680e+05,2.995433265199342827e+02,2.928456864781322656e+04
1.800000000000000000e+01,1.259999999999999787e+01,1.922085958037587698e+05,2.995989949965504024e+02,3.059094812692010964e+04
1.900000000000000000e+01,1.329999999999999893e+01,2.003780855108028918e+05,2.996534092153391953e+02,3.189116279633458544e+04
2.000000000000000000e+01,1.399999999999999822e+01,2.085232767903086205e+05,2.997067485363468222e+02,3.318751025089690665e+04
2.100000000000000000e+01,1.469999999999999574e+01,2.166570802126784693e+05,2.997591729754446987e+02,3.448204527170492656e+04
2.200000000000000000e+01,1.540000000000000036e+01,2.247911521138837852e+05,2.998108258933645516e+02,3.577662302224654559e+04
2.300000000000000000e+01,1.609999999999999787e+01,2.329361171322950395e+05,2.998618362558917170e+02,3.707293446623736236e+04
2.400000000000000000e+01,1.679999999999999716e+01,2.411017520683163893e+05,2.999123205432734949e+02,3.837253562978892296e+04
2.500000000000000000e+01,1.749999999999999289e+01,2.492971389620661794e+05,2.999623843710969595e+02,3.967687196447970200e+04
2.600000000000000000e+01,1.819999999999999929e+01,2.575307935497448198e+05,3.000121238725926673e+02,4.098729879182008881e+04
2.700000000000000000e+01,1.889999999999999503e+01,2.658107739410896320e+05,3.000616268826934174e+02,4.230509859980646434e+04
2.800000000000000000e+01,1.959999999999999787e+01,2.741447733514474239e+05,3.001109739565913515e+02,4.363149580168996908e+04
2.900000000000000000e+01,2.030000000000000071e+01,2.825401999449377763e+05,3.001602392495153708e+02,4.496766944340894406e+04
3.000000000000000000e+01,2.099999999999999645e+01,2.910042462427669670e+05,3.002094912796544577e+02,4.631476425026709330e+04
3.100000000000000000e+01,2.169999999999999574e+01,2.995439500814442290e+05,3.002587935922984457e+02,4.767390032873344899e+04
3.200000000000000000e+01,2.239999999999999147e+01,3.081662487380309030e+05,3.003082053401647045e+02,4.904618178074391471e+04
3.300000000000000000e+01,2.310000000000000142e+01,3.168780275504234014e+05,3.003577817923621751e+02,5.043270444185937231e+04
3.400000000000000000e+01,2.379999999999999716e+01,3.256861641325311502e+05,3.004075747823950451e+02,5.183456291833020077e+04
3.500000000000000000e+01,2.449999999999999645e+01,3.345975691036740318e+05,3.004576331039313573e+02,5.325285706938151998e+04
3.600000000000000000e+01,2.519999999999999574e+01,3.436192241085626883e+05,3.005080028616852132e+02,5.468869805827899108e+04
3.700000000000000000e+01,2.589999999999999503e+01,3.527582177909757011e+05,3.005587277836227145e+02,5.614321407772100065e+04
3.800000000000000000e+01,2.659999999999999787e+01,3.620217802949792240e+05,3.006098494997619355e+02,5.761755584087370516e+04
3.900000000000000000e+01,2.730000000000000071e+01,3.714173167972533847e+05,3.006614077920514205e+02,5.911290191821088956e+04
4.000000000000000000e+01,2.799999999999999645e+01,3.809524405197978485e+05,3.007134408191614057e+02,6.063046399164666946e+04
4.100000000000000000e+01,2.869999999999999574e+01,3.906350056306691258e+05,3.007659853194676884e+02,6.217149209085103939e+04
4.200000000000000000e+01,2.939999999999999147e+01,4.004731404098121566e+05,3.008190767950530926e+02,6.373727987175594899e+04
4.300000000000000000e+01,3.010000000000000142e+01,4.104752810355540714e+05,3.008727496791584599e+02,6.532916999384287919e+04
4.400000000000000000e+01,3.080000000000000071e+01,4.206502063338948647e+05,3.009270374891854658e+02,6.694855965066456702e+04
4.500000000000000000e+01,3.149999999999999645e+01,4.310070738263474777e+05,3.009819729670745119e+02,6.859690630703620263e+04
4.600000000000000000e+01,3.219999999999999574e+01,4.415554574120513862e+05,3.010375882086395336e+02,7.027573369633051334e+04
4.700000000000000000e+01,3.289999999999998437e+01,4.523053870260080439e+05,3.010939147832357321e+02,7.198663813228136860e+04
4.800000000000000000e+01,3.359999999999999432e+01,4.632673906269364525e+05,3.011509838449603649e+02,7.373129519156034803e+04
4.900000000000000000e+01,3.429999999999999005e+01,4.744525388858024380e+05,3.012088262364296156e+02,7.551146682617437909e+04
5.000000000000000000e+01,3.499999999999998579e+01,4.858724929689992568e+05,3.012674725860440503e+02,7.732900896839768393e+04
5.100000000000000000e+01,3.569999999999998863e+01,4.975395558394310065e+05,3.013269533995304528e+02,7.918587969559099292e+04
5.200000000000000000e+01,3.639999999999999858e+01,5.094667275338871987e+05,3.013872991464487541e+02,8.108414802786945074e+04
5.300000000000000000e+01,3.709999999999999432e+01,5.216677649171832018e+05,3.014485403422513627e+02,8.302600343827034521e+04
5.400000000000000000e+01,3.779999999999999005e+01,5.341572464630148606e+05,3.015107076263957424e+02,8.501376616294389532e+04
5.500000000000000000e+01,3.849999999999999289e+01,5.469506426689408254e+05,3.015738318369317881e+02,8.704989840805022686e+04
5.600000000000000000e+01,3.919999999999999574e+01,5.600643927796570351e+05,3.016379440819015940e+02,8.913701656064276176e+04
5.700000000000000000e+01,3.989999999999999858e+01,5.735159885695601115e+05,3.017030758078163899e+02,9.127790452307926898e+04
5.800000000000000000e+01,4.060000000000000142e+01,5.873240660241300939e+05,3.017692588653937378e+02,9.347552830457012169e+04
5.900000000000000000e+01,4.129999999999999005e+01,6.015085058614449808e+05,3.018365255726607188e+02,9.573305201966865570e+04
6.000000000000000000e+01,4.199999999999999289e+01,6.160905439518070780e+05,3.019049087754391394e+02,9.805385546210363100e+04
6.100000000000000000e+01,4.270000000000000284e+01,6.310928928276463412e+05,3.019744419051370414e+02,1.004415534436828020e+05
6.200000000000000000e+01,4.339999999999999147e+01,6.465398756298710359e+05,3.020451590336666072e+02,1.029000171125121706e+05
6.300000000000000000e+01,4.409999999999999432e+01,6.624575740134808002e+05,3.021170949251869047e+02,1.054333974929101678e+05
6.400000000000000000e+01,4.479999999999998295e+01,6.788739917386873858e+05,3.021902850842338353e+02,1.080461515217378765e+05
6.500000000000000000e+01,4.549999999999999289e+01,6.958192359072534600e+05,3.022647657996411681e+02,1.107430708930646360e+05
6.600000000000000000e+01,4.620000000000000284e+01,7.133257180728360545e+05,3.023405741834619107e+02,1.135293140658667253e+05
6.700000000000000000e+01,4.689999999999999147e+01,7.314283777634751750e+05,3.024177482038801941e+02,1.164104418387427431e+05
6.800000000000000000e+01,4.759999999999999432e+01,7.501649313113352982e+05,3.024963267108270770e+02,1.193924569523896207e+05
6.900000000000000000e+01,4.829999999999999716e+01,7.695761492956841830e+05,3.025763494526956947e+02,1.224818482460338273e+05
7.000000000000000000e+01,4.899999999999999289e+01,7.897061663797267247e+05,3.026578570821550898e+02,1.256856399694838183e+05
7.100000000000000000e+01,4.969999999999999574e+01,8.106028278684952529e+05,3.027408911485892418e+02,1.290114469395386986e+05
7.200000000000000000e+01,5.039999999999999147e+01,8.323180779464018997e+05,3.028254940741131236e+02,1.324675363299135352e+05
7.300000000000000000e+01,5.109999999999999432e+01,8.549083952806271845e+05,3.029117091094158241e+02,1.360628969996699307e+05
7.400000000000000000e+01,5.179999999999999005e+01,8.784352825151244178e+05,3.029995802648298877e+02,1.398073173986072943e+05
7.500000000000000000e+01,5.249999999999999289e+01,9.029658171455195406e+05,3.030891522109862422e+02,1.437114732417203195e+05
7.600000000000000000e+01,5.319999999999999574e+01,9.285732723741877126e+05,3.031804701421406207e+02,1.477870263213673607e+05
