timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02
2.000000000000000000e+00,1.018887879686550146e+00,2.513281033822687459e+04,2.980000000000000000e+02
4.000000000000000000e+00,2.234998621778814254e+00,5.026541271074272663e+04,2.980000000000000000e+02
6.000000000000000000e+00,3.664239142194477772e+00,7.539793943901410967e+04,2.980000000000000000e+02
8.000000000000000000e+00,5.303966786561029600e+00,1.005304742931901128e+05,2.980000000000000000e+02
1.000000000000000000e+01,7.130364055051507499e+00,1.256631120185497421e+05,2.980000000000000000e+02
1.200000000000000000e+01,9.103700998853385684e+00,1.507959269189425395e+05,2.980000000000000000e+02
1.400000000000000000e+01,1.117810118942635711e+01,1.759289477114423644e+05,2.980000000000000000e+02
1.600000000000000000e+01,1.331008574984714166e+01,2.010621615640066739e+05,2.980000000000000000e+02
1.800000000000000000e+01,1.546307718799747200e+01,2.261955336777381599e+05,2.980000000000000000e+02
2.000000000000000000e+01,1.760843633139276676e+01,2.513290237883587251e+05,2.980000000000000000e+02
2.200000000000000000e+01,1.972469401689973267e+01,2.764625943163949414e+05,2.980000000000000000e+02
2.400000000000000000e+01,2.179622084479987620e+01,3.015962128721833578e+05,2.980000000000000000e+02
2.600000000000000000e+01,2.381193215509835426e+01,3.267298523742265534e+05,2.980000000000000000e+02
2.800000000000000000e+01,2.576422000774627463e+01,3.518634905067114742e+05,2.980000000000000000e+02
3.000000000000000000e+01,2.764812621030007733e+01,3.769971091299406253e+05,2.980000000000000000e+02
3.200000000000000000e+01,2.946071459632421252e+01,4.021306937765484327e+05,2.980000000000000000e+02
3.400000000000000000e+01,3.120059428181764005e+01,4.272642332209052402e+05,2.980000000000000000e+02
3.600000000000000000e+01,3.286755415484786624e+01,4.523977190890461789e+05,2.980000000000000000e+02
3.800000000000000000e+01,3.446227931172102643e+01,4.775311454893759801e+05,2.980000000000000000e+02
4.000000000000000000e+01,3.598612869626808930e+01,5.026645086588855484e+05,2.980000000000000000e+02
