timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02
6.000000000000000000e+01,1.667839337468455918e+00,2.988333333333332575e+02
1.200000000000000000e+02,3.353973883478780671e+00,2.996666666666666288e+02
1.800000000000000000e+02,5.038917576606049664e+00,3.004999999999999432e+02
2.400000000000000000e+02,6.721376448399833059e+00,3.013333333333332575e+02
3.000000000000000000e+02,8.400387229537837896e+00,3.021666666666666288e+02
3.600000000000000000e+02,1.007499526727427330e+01,3.029999999999999432e+02
4.200000000000000000e+02,1.174424922923231129e+01,3.038333333333332575e+02
4.800000000000000000e+02,1.340720171253569681e+01,3.046666666666666288e+02
5.400000000000000000e+02,1.506290996014621619e+01,3.054999999999999432e+02
6.000000000000000000e+02,1.671043657542075422e+01,3.063333333333332575e+02
6.600000000000000000e+02,1.834885023222979683e+01,3.071666666666666288e+02
7.200000000000000000e+02,1.997722638001748052e+01,3.079999999999999432e+02
7.800000000000000000e+02,2.159464794317655389e+01,3.088333333333332575e+02
8.400000000000000000e+02,2.320020601416088368e+01,3.096666666666666288e+02
9.000000000000000000e+02,2.479300053973571138e+01,3.104999999999999432e+02
9.600000000000000000e+02,2.637214099977935788e+01,3.113333333333332575e+02
1.020000000000000000e+03,2.793674707806755464e+01,3.121666666666666288e+02
1.080000000000000000e+03,2.948594932445390171e+01,3.129999999999999432e+02
1.140000000000000000e+03,3.101888980790509365e+01,3.138333333333332575e+02
1.200000000000000000e+03,3.253472275982026929e+01,3.146666666666666288e+02
1.260000000000000000e+03,3.403261520707633991e+01,3.154999999999999432e+02
1.320000000000000000e+03,3.551174759430464434e+01,3.163333333333332575e+02
1.380000000000000000e+03,3.697131439482794235e+01,3.171666666666666288e+02
1.440000000000000000e+03,3.841052470976020317e+01,3.179999999999999432e+02
1.500000000000000000e+03,3.982860285476495221e+01,3.188333333333332575e+02
1.560000000000000000e+03,4.122478893397555311e+01,3.196666666666666288e+02
1.620000000000000000e+03,4.259833940058160096e+01,3.204999999999999432e+02
1.680000000000000000e+03,4.394852760361298039e+01,3.213333333333332575e+02
1.740000000000000000e+03,4.527464432051888110e+01,3.221666666666666288e+02
1.800000000000000000e+03,4.657599827496731848e+01,3.229999999999999432e+02
1.860000000000000000e+03,4.785191663957293429e+01,3.238333333333332575e+02
1.920000000000000000e+03,4.910174552306104800e+01,3.246666666666666288e+02
1.980000000000000000e+03,5.032485044142946862e+01,3.254999999999999432e+02
2.040000000000000000e+03,5.152061677284105912e+01,3.263333333333332575e+02
2.100000000000000000e+03,5.268845019569495491e+01,3.271666666666666288e+02
2.160000000000000000e+03,5.382777710970505325e+01,3.279999999999999432e+02
2.220000000000000000e+03,5.493804503948333462e+01,3.288333333333332575e+02
2.280000000000000000e+03,5.601872302037835283e+01,3.296666666666666288e+02
2.340000000000000000e+03,5.706930196625653906e+01,3.304999999999999432e+02
2.400000000000000000e+03,5.808929501887256919e+01,3.313333333333332575e+02
2.460000000000000000e+03,5.907823787862162135e+01,3.321666666666666288e+02
2.520000000000000000e+03,6.003568911637021444e+01,3.329999999999999432e+02
2.580000000000000000e+03,6.096123046607208096e+01,3.338333333333332575e+02
2.640000000000000000e+03,6.185446709805908938e+01,3.346666666666666288e+02
2.700000000000000000e+03,6.271502787268613588e+01,3.354999999999999432e+02
2.760000000000000000e+03,6.354256557414294093e+01,3.363333333333332575e+02
2.820000000000000000e+03,6.433675712436659921e+01,3.371666666666666288e+02
2.880000000000000000e+03,6.509730377671816370e+01,3.379999999999999432e+02
2.940000000000000000e+03,6.582393128944596583e+01,3.388333333333332575e+02
3.000000000000000000e+03,6.651639007873158960e+01,3.396666666666666288e+02
3.060000000000000000e+03,6.717445535118478972e+01,3.404999999999999432e+02
3.120000000000000000e+03,6.779792721580213311e+01,3.413333333333332575e+02
3.180000000000000000e+03,6.838663077522625144e+01,3.421666666666666288e+02
3.240000000000000000e+03,6.894041619629140882e+01,3.429999999999999432e+02
3.300000000000000000e+03,6.945915875983814658e+01,3.438333333333332575e+02
3.360000000000000000e+03,6.994275888976277145e+01,3.446666666666666288e+02
3.420000000000000000e+03,7.039114216131893897e+01,3.454999999999999432e+02
3.480000000000000000e+03,7.080425928869092900e+01,3.463333333333332575e+02
3.540000000000000000e+03,7.118208609187767877e+01,3.471666666666666288e+02
3.600000000000000000e+03,7.152462344296817776e+01,3.479999999999999432e+02
