timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.980000000000000000e+02
2.000000000000000111e-01,4.486795532222698224e-01,-1.170558065118641338e+02,3.062124465211241500e+02
4.000000000000000222e-01,7.142889319346275023e-01,-1.514294716361891631e+02,3.107301705212357206e+02
6.000000000000000888e-01,9.179212813804877857e-01,-1.604595693246621693e+02,3.138923380553923721e+02
8.000000000000000444e-01,1.088639440376606204e+00,-1.612566833811472975e+02,3.164498162099225738e+02
1.000000000000000000e+00,1.237550758691987163e+00,-1.590995306003272276e+02,3.186732315452402418e+02
1.199999999999999956e+00,1.370055971836467101e+00,-1.557312958895109887e+02,3.206769606129060435e+02
1.399999999999999911e+00,1.489296209622812395e+00,-1.518032331498821463e+02,3.225186555113017448e+02
1.599999999999999867e+00,1.597372227804452871e+00,-1.476047902185873113e+02,3.242321282407181684e+02
1.799999999999999822e+00,1.695836454734652721e+00,-1.432890632057051050e+02,3.258394195400636590e+02
1.999999999999999778e+00,1.785912484753694907e+00,-1.389475937447987519e+02,3.273558841876714496e+02
2.199999999999999734e+00,1.868603026721243454e+00,-1.346386781317744692e+02,3.287926875502866437e+02
2.399999999999999911e+00,1.944748932198931302e+00,-1.304002400011104328e+02,3.301582092046797925e+02
2.600000000000000089e+00,2.015065239461484303e+00,-1.262568372984266887e+02,3.314589125948164110e+02
2.800000000000000266e+00,2.080165521632221015e+00,-1.222239836641456066e+02,3.326999166221012274e+02
3.000000000000000444e+00,2.140579695537151217e+00,-1.183109979276555492e+02,3.338853836515103239e+02
3.200000000000000622e+00,2.196767783895098525e+00,-1.145229413890205450e+02,3.350187873311568865e+02
3.400000000000000799e+00,2.249130925406764181e+00,-1.108619522041863235e+02,3.361030990538396281e+02
3.600000000000000977e+00,2.298020367283537091e+00,-1.073281693608161760e+02,3.371409184129670393e+02
3.800000000000001155e+00,2.343744899601531984e+00,-1.039203739935958595e+02,3.381345648031523297e+02
