timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.228392132550938376e+00,-2.145382577324230766e+00
2.000000000000000000e+00,-1.801693950377761366e+00,-3.140775794218433781e+00
3.000000000000000000e+00,-2.206461215318178848e+00,-3.839398254615900008e+00
4.000000000000000000e+00,-2.532174062830708561e+00,-4.398923051975520693e+00
5.000000000000000000e+00,-2.810110987329614840e+00,-4.874899870167972438e+00
6.000000000000000000e+00,-3.055345653228627611e+00,-5.294143053437948332e+00
7.000000000000000000e+00,-3.276485117245761192e+00,-5.671914138155861984e+00
8.000000000000000000e+00,-3.478980236138534909e+00,-6.017829195167224476e+00
9.000000000000000000e+00,-3.666530505931265171e+00,-6.338383084316246752e+00
1.000000000000000000e+01,-3.841774450948395980e+00,-6.638191111264593047e+00
1.100000000000000000e+01,-4.006665870597120538e+00,-6.920663000593805236e+00
1.200000000000000000e+01,-4.162695056468414201e+00,-7.188396392689130110e+00
1.300000000000000000e+01,-4.311026587083842898e+00,-7.443419919927273476e+00
1.400000000000000000e+01,-4.452589148382715578e+00,-7.687350320319802144e+00
1.500000000000000000e+01,-4.588136284662194697e+00,-7.921497868402828324e+00
1.600000000000000000e+01,-4.718288774303810662e+00,-8.146939416922885258e+00
1.700000000000000000e+01,-4.843564973065528356e+00,-8.364570427423075216e+00
1.800000000000000000e+01,-4.964403034701454054e+00,-8.575142967552562112e+00
1.900000000000000000e+01,-5.081177497596285342e+00,-8.779294097564223520e+00
2.000000000000000000e+01,-5.194211865947917062e+00,-8.977567526699921530e+00
2.100000000000000000e+01,-5.303788278141960078e+00,-9.170430457965947468e+00
2.200000000000000000e+01,-5.410155013272297531e+00,-9.358286921417448667e+00
2.300000000000000000e+01,-5.513532364736980718e+00,-9.541488489067644352e+00
2.400000000000000000e+01,-5.614117263097806010e+00,-9.720342992171234542e+00
2.500000000000000000e+01,-5.712086931590880212e+00,-9.895121677886212552e+00
2.600000000000000000e+01,-5.807601789529369007e+00,-1.006606511843475360e+01
2.700000000000000000e+01,-5.900807770293706511e+00,-1.023338810295121704e+01
2.800000000000000000e+01,-5.991838184635829734e+00,-1.039728368715824658e+01
2.900000000000000000e+01,-6.080815232277605453e+00,-1.055792653952365612e+01
3.000000000000000000e+01,-6.167851242673279444e+00,-1.071547569790725518e+01
3.100000000000000000e+01,-6.253049707849874572e+00,-1.087007683322547003e+01
3.200000000000000000e+01,-6.336506155608796931e+00,-1.102186410323927213e+01
3.300000000000000000e+01,-6.418308899559545644e+00,-1.117096166834356552e+01
3.400000000000000000e+01,-6.498539693096630820e+00,-1.131748493122256427e+01
3.500000000000000000e+01,-6.577274307188833546e+00,-1.146154155302599875e+01
3.600000000000000000e+01,-6.654583046396157719e+00,-1.160323229024053404e+01
3.700000000000000000e+01,-6.730531213536679047e+00,-1.174265168873046861e+01
3.800000000000000000e+01,-6.805179530579884783e+00,-1.187988866459517823e+01
3.900000000000000000e+01,-6.878584521369419669e+00,-1.201502699558276355e+01
4.000000000000000000e+01,-6.950798860439647342e+00,-1.214814574181691853e+01
4.100000000000000000e+01,-7.021871691299258700e+00,-1.227931961048470733e+01
4.200000000000000000e+01,-7.091848916967863126e+00,-1.240861927581686253e+01
4.300000000000000000e+01,-7.160773465161233808e+00,-1.253611166306263236e+01
4.400000000000000000e+01,-7.228685530254726821e+00,-1.266186020311196003e+01
4.500000000000000000e+01,-7.295622793963403296e+00,-1.278592506284209307e+01
4.600000000000000000e+01,-7.361620626527004774e+00,-1.290836335506854660e+01
4.700000000000000000e+01,-7.426712270062512111e+00,-1.302922933108114201e+01
4.800000000000000000e+01,-7.490929005631843829e+00,-1.314857455807299047e+01
4.900000000000000000e+01,-7.554300305464041188e+00,-1.326644808327479552e+01
5.000000000000000000e+01,-7.616853971666740719e+00,-1.338289658623557088e+01
5.100000000000000000e+01,-7.678616262659967440e+00,-1.349796452042213701e+01
5.200000000000000000e+01,-7.739612008465754478e+00,-1.361169424510666737e+01
5.300000000000000000e+01,-7.799864715894785583e+00,-1.372412614836124689e+01
5.400000000000000000e+01,-7.859396664577634084e+00,-1.383529876186698715e+01
5.500000000000000000e+01,-7.918228994706342228e+00,-1.394524886815766607e+01
5.600000000000000000e+01,-7.976381787270068635e+00,-1.405401160085000178e+01
5.700000000000000000e+01,-8.033874137496125556e+00,-1.416162053836043988e+01
5.800000000000000000e+01,-8.090724222138497623e+00,-1.426810779156300946e+01
5.900000000000000000e+01,-8.146949361194005590e+00,-1.437350408580648242e+01
6.000000000000000000e+01,-8.202566074569409338e+00,-1.447783883767581337e+01
6.100000000000000000e+01,-8.257590134170024854e+00,-1.458114022685726674e+01
6.200000000000000000e+01,-8.312036611834930255e+00,-1.468343526343862315e+01
6.300000000000000000e+01,-8.365919923500181099e+00,-1.478474985095424543e+01
6.400000000000000000e+01,-8.419253869934037127e+00,-1.488510884546426105e+01
6.500000000000000000e+01,-8.472051674354036166e+00,-1.498453611093565740e+01
6.600000000000000000e+01,-8.524326017203723183e+00,-1.508305457117667103e+01
6.700000000000000000e+01,-8.576089068341698152e+00,-1.518068625855737608e+01
6.800000000000000000e+01,-8.627352516867800247e+00,-1.527745235973463167e+01
6.900000000000000000e+01,-8.678127598791130382e+00,-1.537337325858343995e+01
7.000000000000000000e+01,-8.728425122724846830e+00,-1.546846857652351304e+01
7.100000000000000000e+01,-8.778255493773007956e+00,-1.556275721041660987e+01
7.200000000000000000e+01,-8.827628735760674417e+00,-1.565625736819781011e+01
7.300000000000000000e+01,-8.876554511943661296e+00,-1.574898660239213299e+01
7.400000000000000000e+01,-8.925042144320512350e+00,-1.584096184165851717e+01
7.500000000000000000e+01,-8.973100631659209014e+00,-1.593219942049157645e+01
7.600000000000000000e+01,-9.020738666340200496e+00,-1.602271510720279935e+01
7.700000000000000000e+01,-9.067964650104572755e+00,-1.611252413029834685e+01
7.800000000000000000e+01,-9.114786708808296112e+00,-1.620164120334139213e+01
7.900000000000000000e+01,-9.161212706216243618e+00,-1.629008054843974662e+01
8.000000000000000000e+01,-9.207250256967238755e+00,-1.637785591838760624e+01
8.100000000000000000e+01,-9.252906738721026869e+00,-1.646498061759966447e+01
8.200000000000000000e+01,-9.298189303570293163e+00,-1.655146752188970893e+01
8.300000000000000000e+01,-9.343104888766772476e+00,-1.663732909717207065e+01
8.400000000000000000e+01,-9.387660226807177821e+00,-1.672257741715604240e+01
8.500000000000000000e+01,-9.431861854927419131e+00,-1.680722418009287722e+01
8.600000000000000000e+01,-9.475716124042238064e+00,-1.689128072463801189e+01
8.700000000000000000e+01,-9.519229207170658569e+00,-1.697475804488020046e+01
8.800000000000000000e+01,-9.562407107380746396e+00,-1.705766680459002771e+01
8.900000000000000000e+01,-9.605255665284486710e+00,-1.714001735073590993e+01
9.000000000000000000e+01,-9.647780566114708023e+00,-1.722181972630943392e+01
9.100000000000000000e+01,-9.689987346408234004e+00,-1.730308368250480200e+01
9.200000000000000000e+01,-9.731881400322340170e+00,-1.738381869028742699e+01
9.300000000000000000e+01,-9.773467985606751895e+00,-1.746403395138985104e+01
9.400000000000000000e+01,-9.814752229252420079e+00,-1.754373840876823110e+01
9.500000000000000000e+01,-9.855739132837424421e+00,-1.762294075654966008e+01
9.600000000000000000e+01,-9.896433577588410913e+00,-1.770164944950089492e+01
9.700000000000000000e+01,-9.936840329174021491e+00,-1.777987271204469266e+01
9.800000000000000000e+01,-9.976964042246773801e+00,-1.785761854685081218e+01
9.900000000000000000e+01,-1.001680926474809219e+01,-1.793489474302386810e+01
1.000000000000000000e+02,-1.005638044199018388e+01,-1.801170888391180824e+01
