timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+03,1.600000000000000033e-01,6.718016036719297368e+00,6.718016036719340001e+00
3.200000000000000000e+03,3.200000000000000067e-01,1.185246120928429292e+01,1.185246120928436397e+01
4.800000000000000000e+03,4.799999999999999822e-01,1.620317370276248781e+01,1.620317370276258373e+01
6.400000000000000000e+03,6.400000000000000133e-01,2.007545335180972046e+01,2.007545335180983770e+01
8.000000000000000000e+03,8.000000000000000444e-01,2.364324621554953509e+01,2.364324621554966654e+01
9.600000000000000000e+03,9.599999999999999645e-01,2.701355086005055739e+01,2.701355086005069950e+01
1.120000000000000000e+04,1.120000000000000107e+00,3.025575784490756348e+01,3.025575784490772335e+01
1.280000000000000000e+04,1.280000000000000027e+00,3.341702569413925517e+01,3.341702569413943280e+01
1.440000000000000000e+04,1.439999999999999947e+00,3.653083923982310210e+01,3.653083923982329395e+01
1.600000000000000000e+04,1.600000000000000089e+00,3.962200586922426737e+01,3.962200586922447343e+01
1.760000000000000000e+04,1.760000000000000009e+00,4.270969525722716043e+01,4.270969525722738780e+01
1.920000000000000000e+04,1.919999999999999929e+00,4.580935851097817846e+01,4.580935851097839873e+01
2.080000000000000000e+04,2.080000000000000071e+00,4.893398231283225641e+01,4.893398231283249800e+01
2.240000000000000000e+04,2.240000000000000213e+00,5.209493647958652218e+01,5.209493647958680640e+01
2.400000000000000000e+04,2.399999999999999911e+00,5.530256683184468613e+01,5.530256683184497035e+01
2.560000000000000000e+04,2.560000000000000053e+00,5.856662561007908607e+01,5.856662561007937740e+01
2.720000000000000000e+04,2.720000000000000195e+00,6.189659720685524036e+01,6.189659720685554589e+01
2.880000000000000000e+04,2.879999999999999893e+00,6.530195653638892850e+01,6.530195653638924114e+01
3.040000000000000000e+04,3.040000000000000036e+00,6.879238496910323875e+01,6.879238496910357981e+01
3.200000000000000000e+04,3.200000000000000178e+00,7.237796113589860170e+01,7.237796113589895697e+01
3.360000000000000000e+04,3.359999999999999876e+00,7.606933919692599488e+01,7.606933919692636437e+01
3.520000000000000000e+04,3.520000000000000018e+00,7.987792429919602455e+01,7.987792429919640824e+01
3.680000000000000000e+04,3.680000000000000160e+00,8.381605328691617274e+01,8.381605328691659906e+01
3.840000000000000000e+04,3.839999999999999858e+00,8.789718790838863072e+01,8.789718790838907125e+01
4.000000000000000000e+04,4.000000000000000000e+00,9.213612757180553103e+01,9.213612757180601420e+01
4.160000000000000000e+04,4.160000000000000142e+00,9.654924902846323675e+01,9.654924902846369150e+01
4.320000000000000000e+04,4.320000000000000284e+00,1.011547811644567076e+02,1.011547811644572334e+02
4.480000000000000000e+04,4.480000000000000426e+00,1.059731243730042110e+02,1.059731243730047368e+02
4.640000000000000000e+04,4.639999999999999680e+00,1.110272258186137435e+02,1.110272258186142551e+02
4.800000000000000000e+04,4.799999999999999822e+00,1.163430243990192423e+02,1.163430243990198107e+02
4.960000000000000000e+04,4.959999999999999964e+00,1.219499825241511957e+02,1.219499825241517499e+02
5.120000000000000000e+04,5.120000000000000107e+00,1.278817261951829209e+02,1.278817261951834752e+02
5.280000000000000000e+04,5.280000000000000249e+00,1.341768206023241987e+02,1.341768206023249093e+02
5.440000000000000000e+04,5.440000000000000391e+00,1.408797160089090994e+02,1.408797160089097815e+02
5.600000000000000000e+04,5.599999999999999645e+00,1.480419086553761758e+02,1.480419086553769716e+02
5.760000000000000000e+04,5.759999999999999787e+00,1.557233746257388702e+02,1.557233746257396376e+02
5.920000000000000000e+04,5.919999999999999929e+00,1.639943521993914146e+02,1.639943521993922388e+02
6.080000000000000000e+04,6.080000000000000071e+00,1.729375717020168963e+02,1.729375717020177206e+02
6.240000000000000000e+04,6.240000000000000213e+00,1.826510633622683599e+02,1.826510633622692978e+02
6.400000000000000000e+04,6.400000000000000355e+00,1.932517159930934554e+02,1.932517159930944217e+02
6.560000000000000000e+04,6.559999999999999609e+00,2.048798161840718137e+02,2.048798161840728085e+02
6.720000000000000000e+04,6.719999999999999751e+00,2.177048739315717398e+02,2.177048739315728767e+02
6.880000000000000000e+04,6.879999999999999893e+00,2.319331421489406466e+02,2.319331421489418403e+02
7.040000000000000000e+04,7.040000000000000036e+00,2.478173708152453969e+02,2.478173708152465906e+02
7.200000000000000000e+04,7.200000000000000178e+00,2.656695071994789714e+02,2.656695071994803357e+02
7.360000000000000000e+04,7.360000000000000320e+00,2.858772621420366704e+02,2.858772621420381483e+02
7.520000000000000000e+04,7.519999999999999574e+00,3.089256949420505975e+02,3.089256949420523597e+02
7.680000000000000000e+04,7.679999999999999716e+00,3.354251784043775046e+02,3.354251784043789826e+02
7.840000000000000000e+04,7.839999999999999858e+00,3.661471724168311539e+02,3.661471724168332003e+02
8.000000000000000000e+04,8.000000000000000000e+00,4.020689049437540348e+02,4.020689049437558538e+02
