timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.999999999999999889e-02,5.142080404026679652e+00,5.142080404026716955e+00
2.000000000000000000e+00,5.999999999999999778e-02,9.160917013688289146e+00,9.160917013688347765e+00
3.000000000000000000e+00,8.999999999999999667e-02,1.250382836813568233e+01,1.250382836813576759e+01
4.000000000000000000e+00,1.199999999999999956e-01,1.537178319517180469e+01,1.537178319517189351e+01
5.000000000000000000e+00,1.500000000000000222e-01,1.787060961986404806e+01,1.787060961986414398e+01
6.000000000000000000e+00,1.799999999999999933e-01,2.006762220040209854e+01,2.006762220040221933e+01
7.000000000000000000e+00,2.100000000000000200e-01,2.201236948898489132e+01,2.201236948898502988e+01
8.000000000000000000e+00,2.399999999999999911e-01,2.374439715632950154e+01,2.374439715632964365e+01
9.000000000000000000e+00,2.700000000000000178e-01,2.529639841159784552e+01,2.529639841159801961e+01
1.000000000000000000e+01,3.000000000000000444e-01,2.669573220915680167e+01,2.669573220915696865e+01
1.100000000000000000e+01,3.300000000000000155e-01,2.796535088170046990e+01,2.796535088170063332e+01
1.200000000000000000e+01,3.599999999999999867e-01,2.912449297348729971e+01,2.912449297348746313e+01
1.300000000000000000e+01,3.900000000000000133e-01,3.018925892454580051e+01,3.018925892454598170e+01
1.400000000000000000e+01,4.200000000000000400e-01,3.117310740580229123e+01,3.117310740580247952e+01
1.500000000000000000e+01,4.499999999999999556e-01,3.208728520112902771e+01,3.208728520112921956e+01
1.600000000000000000e+01,4.799999999999999822e-01,3.294119695596148745e+01,3.294119695596166508e+01
1.700000000000000000e+01,5.100000000000000089e-01,3.374272009482172763e+01,3.374272009482191237e+01
1.800000000000000000e+01,5.400000000000000355e-01,3.449847047568863445e+01,3.449847047568882630e+01
1.900000000000000000e+01,5.700000000000000622e-01,3.521402460455871619e+01,3.521402460455893646e+01
2.000000000000000000e+01,6.000000000000000888e-01,3.589410419510166150e+01,3.589410419510186045e+01
2.100000000000000000e+01,6.300000000000000044e-01,3.654272855207523918e+01,3.654272855207545234e+01
2.200000000000000000e+01,6.600000000000000311e-01,3.716333977856396587e+01,3.716333977856417903e+01
2.300000000000000000e+01,6.900000000000000577e-01,3.775890524535302717e+01,3.775890524535324744e+01
2.400000000000000000e+01,7.199999999999999734e-01,3.833200118078352148e+01,3.833200118078374885e+01
2.500000000000000000e+01,7.500000000000000000e-01,3.888488068252405583e+01,3.888488068252427610e+01
2.600000000000000000e+01,7.800000000000000266e-01,3.941952894191721413e+01,3.941952894191742729e+01
2.700000000000000000e+01,8.100000000000000533e-01,3.993770801744566512e+01,3.993770801744588539e+01
2.800000000000000000e+01,8.400000000000000799e-01,4.044099309893359617e+01,4.044099309893381644e+01
2.900000000000000000e+01,8.699999999999998845e-01,4.093080186613566696e+01,4.093080186613588012e+01
3.000000000000000000e+01,8.999999999999999112e-01,4.140841825962312583e+01,4.140841825962333900e+01
3.100000000000000000e+01,9.299999999999999378e-01,4.187501174250015623e+01,4.187501174250038360e+01
3.200000000000000000e+01,9.599999999999999645e-01,4.233165293237592408e+01,4.233165293237613724e+01
3.300000000000000000e+01,9.899999999999999911e-01,4.277932631834014643e+01,4.277932631834038091e+01
