timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.999999999999999889e-02,5.142383838987777622e+00,5.142383838987810485e+00
2.000000000000000000e+00,5.999999999999999778e-02,9.161999008078170803e+00,9.161999008078222317e+00
3.000000000000000000e+00,8.999999999999999667e-02,1.250604647218600185e+01,1.250604647218608356e+01
4.000000000000000000e+00,1.199999999999999956e-01,1.537542548226302053e+01,1.537542548226311823e+01
5.000000000000000000e+00,1.500000000000000222e-01,1.787591438733573312e+01,1.787591438733584681e+01
6.000000000000000000e+00,1.799999999999999933e-01,2.007478942782119802e+01,2.007478942782131526e+01
7.000000000000000000e+00,2.100000000000000200e-01,2.202156936435414281e+01,2.202156936435427781e+01
8.000000000000000000e+00,2.399999999999999911e-01,2.375577694906541026e+01,2.375577694906555237e+01
9.000000000000000000e+00,2.700000000000000178e-01,2.531008803333080692e+01,2.531008803333095614e+01
1.000000000000000000e+01,3.000000000000000444e-01,2.671184864006765736e+01,2.671184864006783499e+01
1.100000000000000000e+01,3.300000000000000155e-01,2.798400163028788512e+01,2.798400163028805565e+01
1.200000000000000000e+01,3.599999999999999867e-01,2.914577873820301335e+01,2.914577873820318032e+01
1.300000000000000000e+01,3.900000000000000133e-01,3.021327561467312250e+01,3.021327561467330369e+01
1.400000000000000000e+01,4.200000000000000400e-01,3.119994765951489768e+01,3.119994765951507532e+01
1.500000000000000000e+01,4.499999999999999556e-01,3.211703951629702658e+01,3.211703951629721843e+01
1.600000000000000000e+01,4.799999999999999822e-01,3.297395452750787825e+01,3.297395452750806299e+01
1.700000000000000000e+01,5.100000000000000089e-01,3.377856943301231496e+01,3.377856943301252102e+01
1.800000000000000000e+01,5.400000000000000355e-01,3.453749986327193966e+01,3.453749986327213151e+01
1.900000000000000000e+01,5.700000000000000622e-01,3.525632243716428604e+01,3.525632243716447789e+01
2.000000000000000000e+01,6.000000000000000888e-01,3.593975923848136489e+01,3.593975923848156384e+01
2.100000000000000000e+01,6.300000000000000044e-01,3.659183014124808153e+01,3.659183014124829469e+01
2.200000000000000000e+01,6.600000000000000311e-01,3.721597797730738222e+01,3.721597797730758828e+01
2.300000000000000000e+01,6.900000000000000577e-01,3.781517097940667327e+01,3.781517097940687222e+01
2.400000000000000000e+01,7.199999999999999734e-01,3.839198635427987938e+01,3.839198635428008544e+01
2.500000000000000000e+01,7.500000000000000000e-01,3.894867828426870915e+01,3.894867828426892231e+01
2.600000000000000000e+01,7.800000000000000266e-01,3.948723314599557455e+01,3.948723314599577350e+01
2.700000000000000000e+01,8.100000000000000533e-01,4.000941428106042963e+01,4.000941428106063569e+01
2.800000000000000000e+01,8.400000000000000799e-01,4.051679825924173173e+01,4.051679825924195200e+01
2.900000000000000000e+01,8.699999999999998845e-01,4.101080423704915034e+01,4.101080423704937061e+01
3.000000000000000000e+01,8.999999999999999112e-01,4.149271772898194399e+01,4.149271772898216426e+01
3.100000000000000000e+01,9.299999999999999378e-01,4.196370986965470706e+01,4.196370986965493444e+01
3.200000000000000000e+01,9.599999999999999645e-01,4.242485304598147167e+01,4.242485304598169904e+01
3.300000000000000000e+01,9.899999999999999911e-01,4.287713361402974499e+01,4.287713361402998657e+01
3.400000000000000000e+01,1.020000000000000018e+00,4.332146227964219776e+01,4.332146227964241803e+01
3.500000000000000000e+01,1.049999999999999822e+00,4.375868261076167443e+01,4.375868261076192312e+01
3.600000000000000000e+01,1.080000000000000071e+00,4.418957805850624254e+01,4.418957805850647702e+01
3.700000000000000000e+01,1.109999999999999876e+00,4.461487778993269870e+01,4.461487778993294029e+01
3.800000000000000000e+01,1.140000000000000124e+00,4.503526157517208617e+01,4.503526157517232065e+01
3.900000000000000000e+01,1.169999999999999929e+00,4.545136392274213932e+01,4.545136392274238091e+01
4.000000000000000000e+01,1.200000000000000178e+00,4.586377761730392422e+01,4.586377761730413738e+01
4.100000000000000000e+01,1.229999999999999982e+00,4.627305678222393226e+01,4.627305678222415253e+01
4.200000000000000000e+01,1.260000000000000009e+00,4.667971956363568609e+01,4.667971956363594899e+01
4.300000000000000000e+01,1.290000000000000036e+00,4.708425051210100065e+01,4.708425051210124934e+01
4.400000000000000000e+01,1.320000000000000062e+00,4.748710272151124911e+01,4.748710272151148359e+01
4.500000000000000000e+01,1.350000000000000089e+00,4.788869977175573212e+01,4.788869977175595238e+01
4.600000000000000000e+01,1.380000000000000115e+00,4.828943751128247897e+01,4.828943751128272766e+01
4.700000000000000000e+01,1.409999999999999920e+00,4.868968570746427815e+01,4.868968570746450553e+01
4.800000000000000000e+01,1.439999999999999947e+00,4.908978958623070810e+01,4.908978958623093547e+01
4.900000000000000000e+01,1.469999999999999973e+00,4.949007127739061218e+01,4.949007127739088219e+01
5.000000000000000000e+01,1.500000000000000000e+00,4.989083117815982860e+01,4.989083117816008439e+01
5.100000000000000000e+01,1.469999999999999973e+00,4.781955541307712565e+01,4.781955541307736013e+01
5.200000000000000000e+01,1.439999999999999947e+00,4.604315812408965769e+01,4.604315812408989217e+01
5.300000000000000000e+01,1.409999999999999920e+00,4.443315949583757885e+01,4.443315949583781332e+01
5.400000000000000000e+01,1.379999999999999893e+00,4.293216988334904727e+01,4.293216988334925333e+01
5.500000000000000000e+01,1.349999999999999867e+00,4.151102845392528451e+01,4.151102845392549057e+01
5.600000000000000000e+01,1.319999999999999840e+00,4.015257397551397389e+01,4.015257397551417995e+01
5.700000000000000000e+01,1.290000000000000036e+00,3.884520174797506797e+01,3.884520174797526693e+01
5.800000000000000000e+01,1.260000000000000231e+00,3.758018733981553083e+01,3.758018733981571557e+01
5.900000000000000000e+01,1.229999999999999982e+00,3.635050364506476939e+01,3.635050364506497544e+01
6.000000000000000000e+01,1.200000000000000178e+00,3.515024879246170997e+01,3.515024879246189471e+01
6.100000000000000000e+01,1.169999999999999929e+00,3.397433550110527278e+01,3.397433550110545042e+01
6.200000000000000000e+01,1.140000000000000124e+00,3.281830023180322797e+01,3.281830023180340561e+01
6.300000000000000000e+01,1.109999999999999876e+00,3.167817261716867705e+01,3.167817261716885469e+01
6.400000000000000000e+01,1.080000000000000071e+00,3.055037873462364928e+01,3.055037873462381981e+01
6.500000000000000000e+01,1.049999999999999822e+00,2.943166550105873114e+01,2.943166550105890877e+01
6.600000000000000000e+01,1.020000000000000018e+00,2.831903941665681756e+01,2.831903941665697033e+01
6.700000000000000000e+01,9.899999999999998801e-01,2.720971564258270448e+01,2.720971564258286435e+01
6.800000000000000000e+01,9.599999999999998535e-01,2.610107479073244718e+01,2.610107479073259285e+01
6.900000000000000000e+01,9.300000000000001599e-01,2.499062557954785291e+01,2.499062557954799502e+01
7.000000000000000000e+01,9.000000000000001332e-01,2.387597198285648048e+01,2.387597198285661904e+01
7.100000000000000000e+01,8.700000000000001066e-01,2.275478380844601389e+01,2.275478380844615245e+01
7.200000000000000000e+01,8.400000000000000799e-01,2.162476985597254853e+01,2.162476985597266932e+01
7.300000000000000000e+01,8.100000000000000533e-01,2.048365295406519948e+01,2.048365295406532027e+01
7.400000000000000000e+01,7.800000000000000266e-01,1.932914628335482732e+01,1.932914628335494100e+01
7.500000000000000000e+01,7.500000000000000000e-01,1.815893046724924531e+01,1.815893046724934834e+01
7.600000000000000000e+01,7.199999999999999734e-01,1.697063096299774188e+01,1.697063096299784490e+01
7.700000000000000000e+01,6.899999999999999467e-01,1.576179531675429146e+01,1.576179531675439449e+01
7.800000000000000000e+01,6.599999999999999201e-01,1.452986986107368850e+01,1.452986986107378797e+01
7.900000000000000000e+01,6.299999999999998934e-01,1.327217543345068940e+01,1.327217543345077821e+01
8.000000000000000000e+01,5.999999999999998668e-01,1.198588168108940266e+01,1.198588168108948260e+01
8.100000000000000000e+01,5.699999999999998401e-01,1.066797949024517678e+01,1.066797949024525494e+01
8.200000000000000000e+01,5.400000000000001465e-01,9.315251037685085223e+00,9.315251037685149171e+00
8.300000000000000000e+01,5.100000000000001199e-01,7.924236905859748603e+00,7.924236905859810776e+00
8.400000000000000000e+01,4.800000000000000933e-01,6.491199630342833871e+00,6.491199630342888049e+00
8.500000000000000000e+01,4.500000000000000666e-01,5.012082955245656279e+00,5.012082955245696247e+00
8.600000000000000000e+01,4.200000000000000400e-01,3.482465955989118012e+00,3.482465955989154427e+00
8.700000000000000000e+01,3.900000000000000133e-01,1.897511044194363894e+00,1.897511044194398311e+00
8.800000000000000000e+01,3.599999999999999867e-01,2.519046903002825633e-01,2.519046903003022142e-01
8.900000000000000000e+01,3.299999999999999600e-01,-1.460210522218901241e+00,-1.460210522218891693e+00
9.000000000000000000e+01,2.999999999999999334e-01,-3.245314171853520335e+00,-3.245314171853525664e+00
9.100000000000000000e+01,2.699999999999999067e-01,-5.110598605128405580e+00,-5.110598605128419791e+00
9.200000000000000000e+01,2.399999999999998801e-01,-7.064074300310417165e+00,-7.064074300310442922e+00
9.300000000000000000e+01,2.099999999999998535e-01,-9.114692946263495799e+00,-9.114692946263536655e+00
9.400000000000000000e+01,1.800000000000001599e-01,-1.127249186059350983e+01,-1.127249186059355424e+01
9.500000000000000000e+01,1.500000000000001332e-01,-1.354876421227951688e+01,-1.354876421227958794e+01
9.600000000000000000e+01,1.200000000000001066e-01,-1.595626058067652586e+01,-1.595626058067659869e+01
9.700000000000000000e+01,9.000000000000007994e-02,-1.850942874327877163e+01,-1.850942874327887111e+01
9.800000000000000000e+01,6.000000000000005329e-02,-2.122470033033941661e+01,-2.122470033033953030e+01
9.900000000000000000e+01,3.000000000000002665e-02,-2.412083523877687341e+01,-2.412083523877701552e+01
1.000000000000000000e+02,0.000000000000000000e+00,-2.721933762875139706e+01,-2.721933762875155693e+01
