timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.500000000000000000e-01,4.644757201074315134e+01,4.644757201074344977e+01
1.000000000000000056e-01,5.000000000000000000e-01,7.800176691847944710e+01,7.800176691847988764e+01
1.500000000000000222e-01,5.000000000000000000e-01,7.506106723018811522e+01,7.506106723018856997e+01
2.000000000000000111e-01,5.000000000000000000e-01,7.251479246980152027e+01,7.251479246980191817e+01
2.500000000000000000e-01,5.000000000000000000e-01,7.028441044568683083e+01,7.028441044568728557e+01
2.999999999999999889e-01,5.000000000000000000e-01,6.831141633424974202e+01,6.831141633425011150e+01
3.499999999999999778e-01,5.000000000000000000e-01,6.655127563451046058e+01,6.655127563451084427e+01
3.999999999999999667e-01,5.000000000000000000e-01,6.496944277798186818e+01,6.496944277798223766e+01
4.499999999999999556e-01,5.000000000000000000e-01,6.353867107467892339e+01,6.353867107467931419e+01
4.999999999999999445e-01,5.000000000000000000e-01,6.223715066806606444e+01,6.223715066806641971e+01
5.499999999999999334e-01,5.000000000000000000e-01,6.104719170801734407e+01,6.104719170801767802e+01
5.999999999999999778e-01,5.000000000000000000e-01,5.995427509606000172e+01,5.995427509606036409e+01
6.500000000000000222e-01,5.000000000000000000e-01,5.894635631340069892e+01,5.894635631340103288e+01
7.000000000000000666e-01,5.000000000000000000e-01,5.801334683482879484e+01,5.801334683482913590e+01
7.500000000000001110e-01,5.000000000000000000e-01,5.714672230638077366e+01,5.714672230638111472e+01
8.000000000000001554e-01,5.000000000000000000e-01,5.633922263002230579e+01,5.633922263002265396e+01
8.500000000000001998e-01,5.000000000000000000e-01,5.558461963899716096e+01,5.558461963899748071e+01
9.000000000000002442e-01,5.000000000000000000e-01,5.487753513518471493e+01,5.487753513518502757e+01
9.500000000000002887e-01,5.000000000000000000e-01,5.421329690647797861e+01,5.421329690647830546e+01
1.000000000000000222e+00,5.000000000000000000e-01,5.358782370789651850e+01,5.358782370789680982e+01
1.050000000000000266e+00,5.000000000000000000e-01,5.299753256084736108e+01,5.299753256084767372e+01
1.100000000000000311e+00,5.000000000000000000e-01,5.243926341687013348e+01,5.243926341687043902e+01
1.150000000000000355e+00,5.000000000000000000e-01,5.191021745448917102e+01,5.191021745448946945e+01
1.200000000000000400e+00,5.000000000000000000e-01,5.140790617087304781e+01,5.140790617087334624e+01
1.250000000000000444e+00,5.000000000000000000e-01,5.093010908946438775e+01,5.093010908946467907e+01
1.300000000000000488e+00,5.000000000000000000e-01,5.047483839654404392e+01,5.047483839654434234e+01
1.350000000000000533e+00,5.000000000000000000e-01,5.004030918986955356e+01,5.004030918986985910e+01
1.400000000000000577e+00,5.000000000000000000e-01,4.962491430359789746e+01,4.962491430359818168e+01
1.450000000000000622e+00,5.000000000000000000e-01,4.922720288887151696e+01,4.922720288887180118e+01
1.500000000000000666e+00,5.000000000000000000e-01,4.884586209544868041e+01,4.884586209544894331e+01
1.550000000000000711e+00,5.000000000000000000e-01,4.847970132876890403e+01,4.847970132876920246e+01
1.600000000000000755e+00,5.000000000000000000e-01,4.812763865780763695e+01,4.812763865780791406e+01
1.650000000000000799e+00,5.000000000000000000e-01,4.778868902860573087e+01,4.778868902860600087e+01
1.700000000000000844e+00,5.000000000000000000e-01,4.746195400141081677e+01,4.746195400141107257e+01
1.750000000000000888e+00,5.000000000000000000e-01,4.714661277964502517e+01,4.714661277964528097e+01
1.800000000000000933e+00,5.000000000000000000e-01,4.684191433924286230e+01,4.684191433924315362e+01
1.850000000000000977e+00,5.000000000000000000e-01,4.654717049942388485e+01,4.654717049942414775e+01
1.900000000000001021e+00,5.000000000000000000e-01,4.626174980232989498e+01,4.626174980233016498e+01
1.950000000000001066e+00,5.000000000000000000e-01,4.598507209043899735e+01,4.598507209043926736e+01
2.000000000000000888e+00,5.000000000000000000e-01,4.571660368825345699e+01,4.571660368825371989e+01
2.050000000000000711e+00,5.000000000000000000e-01,4.545585310922628253e+01,4.545585310922654543e+01
2.100000000000000533e+00,5.000000000000000000e-01,4.520236722084185033e+01,4.520236722084210612e+01
2.150000000000000355e+00,5.000000000000000000e-01,4.495572781068338486e+01,4.495572781068362644e+01
2.200000000000000178e+00,5.000000000000000000e-01,4.471554850458449692e+01,4.471554850458475272e+01
2.250000000000000000e+00,5.000000000000000000e-01,4.448147199487532788e+01,4.448147199487558368e+01
2.299999999999999822e+00,5.000000000000000000e-01,4.425316754254023266e+01,4.425316754254050977e+01
2.349999999999999645e+00,5.000000000000000000e-01,4.403032872200117964e+01,4.403032872200143544e+01
2.399999999999999467e+00,5.000000000000000000e-01,4.381267138138206008e+01,4.381267138138230166e+01
2.449999999999999289e+00,5.000000000000000000e-01,4.359993179462930613e+01,4.359993179462956903e+01
2.499999999999999112e+00,5.000000000000000000e-01,4.339186498486063925e+01,4.339186498486089505e+01
2.549999999999998934e+00,5.000000000000000000e-01,4.318824320087869495e+01,4.318824320087894364e+01
2.599999999999998757e+00,5.000000000000000000e-01,4.298885453098508691e+01,4.298885453098534271e+01
2.649999999999998579e+00,5.000000000000000000e-01,4.279350164012377888e+01,4.279350164012404178e+01
2.699999999999998401e+00,5.000000000000000000e-01,4.260200061801573668e+01,4.260200061801599247e+01
2.749999999999998224e+00,5.000000000000000000e-01,4.241417992736310083e+01,4.241417992736335663e+01
2.799999999999998046e+00,5.000000000000000000e-01,4.222987944242931491e+01,4.222987944242954939e+01
2.849999999999997868e+00,5.000000000000000000e-01,4.204894956937192774e+01,4.204894956937216222e+01
2.899999999999997691e+00,5.000000000000000000e-01,4.187125044064035961e+01,4.187125044064059409e+01
2.949999999999997513e+00,5.000000000000000000e-01,4.169665117656874997e+01,4.169665117656897735e+01
2.999999999999997335e+00,5.000000000000000000e-01,4.152502920801371999e+01,4.152502920801397579e+01
3.049999999999997158e+00,5.000000000000000000e-01,4.135626965451944415e+01,4.135626965451967152e+01
3.099999999999996980e+00,5.000000000000000000e-01,4.119026475305060586e+01,4.119026475305083324e+01
3.149999999999996803e+00,5.000000000000000000e-01,4.102691333282891151e+01,4.102691333282915309e+01
3.199999999999996625e+00,5.000000000000000000e-01,4.086612033224584195e+01,4.086612033224608354e+01
3.249999999999996447e+00,5.000000000000000000e-01,4.070779635421398979e+01,4.070779635421421716e+01
3.299999999999996270e+00,5.000000000000000000e-01,4.055185725666656538e+01,4.055185725666679275e+01
3.349999999999996092e+00,5.000000000000000000e-01,4.039822377522329333e+01,4.039822377522354202e+01
3.399999999999995914e+00,5.000000000000000000e-01,4.024682117531809666e+01,4.024682117531832404e+01
3.449999999999995737e+00,5.000000000000000000e-01,4.009757893133133422e+01,4.009757893133156159e+01
3.499999999999995559e+00,5.000000000000000000e-01,3.995043043049268050e+01,3.995043043049291498e+01
3.549999999999995381e+00,5.000000000000000000e-01,3.980531269951971751e+01,3.980531269951995199e+01
3.599999999999995204e+00,5.000000000000000000e-01,3.966216615213810570e+01,3.966216615213834018e+01
