timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.199999999999999845e-01,2.100000000000000130e-02,4.103960686960684612e+00,4.103960686960712145e+00
8.399999999999999689e-01,4.200000000000000261e-02,7.546386278547778659e+00,7.546386278547821291e+00
1.260000000000000009e+00,6.300000000000000044e-02,1.052654739790544625e+01,1.052654739790552085e+01
1.679999999999999938e+00,8.400000000000000522e-02,1.316803834705542897e+01,1.316803834705551601e+01
2.100000000000000089e+00,1.050000000000000100e-01,1.554802722708188867e+01,1.554802722708198282e+01
2.520000000000000018e+00,1.260000000000000009e-01,1.771597848573431477e+01,1.771597848573442491e+01
2.939999999999999947e+00,1.469999999999999918e-01,1.970500219973614620e+01,1.970500219973627054e+01
3.359999999999999876e+00,1.680000000000000104e-01,2.153853341704789770e+01,2.153853341704803981e+01
3.779999999999999805e+00,1.890000000000000013e-01,2.323420112806061155e+01,2.323420112806075011e+01
4.200000000000000178e+00,2.100000000000000200e-01,2.480605193193806812e+01,2.480605193193822089e+01
4.620000000000000107e+00,2.310000000000000109e-01,2.626582522747154158e+01,2.626582522747169435e+01
5.040000000000000036e+00,2.500000000000000000e-01,2.736497852645015527e+01,2.736497852645031514e+01
5.459999999999999964e+00,2.500000000000000000e-01,2.598634758102501507e+01,2.598634758102516074e+01
5.879999999999999893e+00,2.500000000000000000e-01,2.492280014944916999e+01,2.492280014944931210e+01
6.299999999999999822e+00,2.500000000000000000e-01,2.405971642722780501e+01,2.405971642722794002e+01
6.719999999999999751e+00,2.500000000000000000e-01,2.333019147339187782e+01,2.333019147339201993e+01
7.139999999999999680e+00,2.500000000000000000e-01,2.269407783496047415e+01,2.269407783496061271e+01
7.559999999999999609e+00,2.500000000000000000e-01,2.212665714438783127e+01,2.212665714438796627e+01
7.979999999999999538e+00,2.500000000000000000e-01,2.161228118216706662e+01,2.161228118216719452e+01
8.400000000000000355e+00,2.500000000000000000e-01,2.114071644227330893e+01,2.114071644227344038e+01
8.820000000000000284e+00,2.500000000000000000e-01,2.070500990791681062e+01,2.070500990791692786e+01
9.240000000000000213e+00,2.500000000000000000e-01,2.030022918108057794e+01,2.030022918108070229e+01
9.660000000000000142e+00,2.500000000000000000e-01,1.992271200551167709e+01,1.992271200551180499e+01
1.008000000000000007e+01,2.500000000000000000e-01,1.956961522978904711e+01,1.956961522978917145e+01
1.050000000000000000e+01,2.500000000000000000e-01,1.923864094660103419e+01,1.923864094660116209e+01
1.091999999999999993e+01,2.500000000000000000e-01,1.892786805165516029e+01,1.892786805165527397e+01
1.133999999999999986e+01,2.500000000000000000e-01,1.863564688504840205e+01,1.863564688504851929e+01
1.175999999999999979e+01,2.500000000000000000e-01,1.836053187510366413e+01,1.836053187510378848e+01
1.217999999999999972e+01,2.500000000000000000e-01,1.810123727389111892e+01,1.810123727389122905e+01
1.259999999999999964e+01,2.500000000000000000e-01,1.785660708532204310e+01,1.785660708532215679e+01
1.301999999999999957e+01,2.500000000000000000e-01,1.762559384972977838e+01,1.762559384972989207e+01
1.343999999999999950e+01,2.500000000000000000e-01,1.740724306579760494e+01,1.740724306579770797e+01
1.385999999999999943e+01,2.500000000000000000e-01,1.720068129192481976e+01,1.720068129192492279e+01
1.427999999999999936e+01,2.500000000000000000e-01,1.700510672311358817e+01,1.700510672311369831e+01
1.469999999999999929e+01,2.500000000000000000e-01,1.681978149224785923e+01,1.681978149224795516e+01
