timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.133330839107606458e-01,3.452945667630606295e+02,3.452945667630630169e+02
4.000000000000000083e-02,6.217247179121370149e-01,6.449716526560230250e+02,6.449716526560266630e+02
5.999999999999999778e-02,9.203113817116947981e-01,9.036796399026782183e+02,9.036796399026835616e+02
8.000000000000000167e-02,1.204384185254288253e+00,1.125194937022284876e+03,1.125194937022291469e+03
1.000000000000000056e-01,1.469463130731182954e+00,1.312556993056496594e+03,1.312556993056505235e+03
1.200000000000000094e-01,1.711367764821721815e+00,1.468221139240570892e+03,1.468221139240579305e+03
1.400000000000000133e-01,1.926283106939473022e+00,1.594196448362000638e+03,1.594196448362010187e+03
1.600000000000000033e-01,2.110819813755037799e+00,1.692155448148317873e+03,1.692155448148327878e+03
1.799999999999999933e-01,2.262067631165049164e+00,1.763513669746827418e+03,1.763513669746838559e+03
1.999999999999999833e-01,2.377641290737883661e+00,1.809482438730423610e+03,1.809482438730434296e+03
2.199999999999999734e-01,2.455718126821721636e+00,1.831100132415793723e+03,1.831100132415804637e+03
2.399999999999999634e-01,2.495066821070679008e+00,1.829246879600448892e+03,1.829246879600459351e+03
2.599999999999999534e-01,2.495066821070679008e+00,1.804646448729983149e+03,1.804646448729992926e+03
2.799999999999999711e-01,2.455718126821721636e+00,1.757857553672740323e+03,1.757857553672750100e+03
2.999999999999999889e-01,2.377641290737884106e+00,1.689255393077268309e+03,1.689255393077278313e+03
3.200000000000000067e-01,2.262067631165048720e+00,1.599003104810989953e+03,1.599003104810999275e+03
3.400000000000000244e-01,2.110819813755037355e+00,1.487012013683430041e+03,1.487012013683438227e+03
3.600000000000000422e-01,1.926283106939473022e+00,1.352889094951050993e+03,1.352889094951058951e+03
3.800000000000000600e-01,1.711367764821721149e+00,1.195870026901403435e+03,1.195870026901409801e+03
4.000000000000000777e-01,1.469463130731182066e+00,1.014736742117246877e+03,1.014736742117252788e+03
4.200000000000000955e-01,1.204384185254287143e+00,8.077198984976912470e+02,8.077198984976960219e+02
4.400000000000001132e-01,9.203113817116932438e-01,5.723898982276900824e+02,5.723898982276937204e+02
4.600000000000001310e-01,6.217247179121349054e-01,3.055461965088828720e+02,3.055461965088849183e+02
4.800000000000001488e-01,3.133330839107579813e-01,3.125544883045010991e+00,3.125544883045058508e+00
5.000000000000001110e-01,-1.914284349463474816e-15,-3.398318290006182565e+02,-3.398318290006203597e+02
5.200000000000001288e-01,-3.133330839107618115e-01,-7.290900815879049333e+02,-7.290900815879100492e+02
5.400000000000001465e-01,-6.217247179121385692e-01,-1.170889403609829969e+03,-1.170889403609837700e+03
5.600000000000001643e-01,-9.203113817116969075e-01,-1.671217340613416809e+03,-1.671217340613427950e+03
5.800000000000001821e-01,-1.204384185254290474e+00,-2.234463310908934091e+03,-2.234463310908949552e+03
6.000000000000001998e-01,-1.469463130731185396e+00,-2.861226737716767730e+03,-2.861226737716786829e+03
6.200000000000002176e-01,-1.711367764821724036e+00,-3.545152934717464632e+03,-3.545152934717491007e+03
6.400000000000002354e-01,-1.926283106939474798e+00,-4.269009536181773001e+03,-4.269009536181806652e+03
6.600000000000002531e-01,-2.110819813755039576e+00,-5.000892939804703019e+03,-5.000892939804742127e+03
6.800000000000002709e-01,-2.262067631165050496e+00,-5.692392263531965000e+03,-5.692392263532010475e+03
7.000000000000002887e-01,-2.377641290737884994e+00,-6.281232226836114933e+03,-6.281232226836168593e+03
7.200000000000003064e-01,-2.455718126821722525e+00,-6.700371773594015394e+03,-6.700371773594069964e+03
7.400000000000003242e-01,-2.495066821070679008e+00,-6.892907010218562391e+03,-6.892907010218625146e+03
7.600000000000003419e-01,-2.495066821070678564e+00,-6.828099149951674917e+03,-6.828099149951734944e+03
7.800000000000003597e-01,-2.455718126821720748e+00,-6.511301343397036362e+03,-6.511301343397090932e+03
8.000000000000003775e-01,-2.377641290737881885e+00,-5.982512451171247449e+03,-5.982512451171301109e+03
8.200000000000003952e-01,-2.262067631165046055e+00,-5.304240382971143845e+03,-5.304240382971186591e+03
8.400000000000004130e-01,-2.110819813755033802e+00,-4.544839847345551789e+03,-4.544839847345589078e+03
8.600000000000004308e-01,-1.926283106939469913e+00,-3.764466474578975976e+03,-3.764466474579004171e+03
8.800000000000004485e-01,-1.711367764821717596e+00,-3.007563525062638746e+03,-3.007563525062661483e+03
9.000000000000004663e-01,-1.469463130731177847e+00,-2.301733483338161477e+03,-2.301733483338177393e+03
9.200000000000004841e-01,-1.204384185254282480e+00,-1.660583164263491426e+03,-1.660583164263503022e+03
9.400000000000005018e-01,-9.203113817116883588e-01,-1.087964864989438865e+03,-1.087964864989446141e+03
9.600000000000005196e-01,-6.217247179121297984e-01,-5.819319436627071127e+02,-5.819319436627107507e+02
9.800000000000005373e-01,-3.133330839107528187e-01,-1.377034192129209202e+02,-1.377034192129214603e+02
1.000000000000000444e+00,6.049014748177262713e-15,2.504327860343573491e+02,2.504327860343594807e+02
1.020000000000000462e+00,3.133330839107670296e-01,5.880658482406897747e+02,5.880658482406942085e+02
1.040000000000000480e+00,6.217247179121436762e-01,8.801843316550376812e+02,8.801843316550434793e+02
1.060000000000000497e+00,9.203113817117016815e-01,1.131040882195058657e+03,1.131040882195066388e+03
1.080000000000000515e+00,1.204384185254294914e+00,1.344191930264940993e+03,1.344191930264949860e+03
1.100000000000000533e+00,1.469463130731189615e+00,1.522606595304092934e+03,1.522606595304103166e+03
1.120000000000000551e+00,1.711367764821727810e+00,1.668785683982393039e+03,1.668785683982403498e+03
1.140000000000000568e+00,1.926283106939479017e+00,1.784863131422056540e+03,1.784863131422069273e+03
1.160000000000000586e+00,2.110819813755042684e+00,1.872681258327824935e+03,1.872681258327838350e+03
1.180000000000000604e+00,2.262067631165051829e+00,1.933841166422559354e+03,1.933841166422572314e+03
1.200000000000000622e+00,2.377641290737886326e+00,1.969733516273604664e+03,1.969733516273616260e+03
1.220000000000000639e+00,2.455718126821722969e+00,1.981555299980071140e+03,1.981555299980083873e+03
1.240000000000000657e+00,2.495066821070679453e+00,1.970316866536033103e+03,1.970316866536045154e+03
1.260000000000000675e+00,2.495066821070678564e+00,1.936841582588189340e+03,1.936841582588201163e+03
1.280000000000000693e+00,2.455718126821719860e+00,1.881758782269379253e+03,1.881758782269391531e+03
1.300000000000000711e+00,2.377641290737880109e+00,1.805489349739609906e+03,1.805489349739620593e+03
1.320000000000000728e+00,2.262067631165044279e+00,1.708222421879481772e+03,1.708222421879492913e+03
1.340000000000000746e+00,2.110819813755032914e+00,1.589881229724568357e+03,1.589881229724578134e+03
1.360000000000000764e+00,1.926283106939465695e+00,1.450075952245758799e+03,1.450075952245768576e+03
1.380000000000000782e+00,1.711367764821714488e+00,1.288041651971814872e+03,1.288041651971823057e+03
1.400000000000000799e+00,1.469463130731172740e+00,1.102560063210987892e+03,1.102560063210994940e+03
1.420000000000000817e+00,1.204384185254278927e+00,8.918656003958551537e+02,8.918656003958610654e+02
1.440000000000000835e+00,9.203113817116824746e-01,6.535391718088628750e+02,6.535391718088670814e+02
1.460000000000000853e+00,6.217247179121258016e-01,3.843994359470750624e+02,3.843994359470780182e+02
1.480000000000000870e+00,3.133330839107465460e-01,8.041190332374132765e+01,8.041190332374227978e+01
1.500000000000000888e+00,-1.240419119614136330e-14,-2.633455785842203341e+02,-2.633455785842215846e+02
1.520000000000000906e+00,-3.133330839107755783e-01,-6.525937103636555321e+02,-6.525937103636596248e+02
1.540000000000000924e+00,-6.217247179121497824e-01,-1.093529906663872225e+03,-1.093529906663879501e+03
1.560000000000000941e+00,-9.203113817117096751e-01,-1.592111151756645995e+03,-1.592111151756656909e+03
1.580000000000000959e+00,-1.204384185254300466e+00,-2.152726712888006205e+03,-2.152726712888020757e+03
1.600000000000000977e+00,-1.469463130731192724e+00,-2.776032140452714430e+03,-2.776032140452734893e+03
1.620000000000000995e+00,-1.711367764821732695e+00,-3.455817551276318227e+03,-3.455817551276343693e+03
1.640000000000001013e+00,-1.926283106939481460e+00,-4.175117306412157632e+03,-4.175117306412187645e+03
1.660000000000001030e+00,-2.110819813755046237e+00,-4.902437892289530282e+03,-4.902437892289573028e+03
1.680000000000001048e+00,-2.262067631165054937e+00,-5.589911845128750429e+03,-5.589911845128796813e+03
1.700000000000001066e+00,-2.377641290737888990e+00,-6.175878855647536511e+03,-6.175878855647588352e+03
1.720000000000001084e+00,-2.455718126821724745e+00,-6.593864940424827182e+03,-6.593864940424879933e+03
1.740000000000001101e+00,-2.495066821070679897e+00,-6.787333812245199624e+03,-6.787333812245263289e+03
1.760000000000001119e+00,-2.495066821070677676e+00,-6.725590128493947304e+03,-6.725590128494003693e+03
1.780000000000001137e+00,-2.455718126821718084e+00,-6.413673059801325508e+03,-6.413673059801378258e+03
1.800000000000001155e+00,-2.377641290737878776e+00,-5.890993365726584670e+03,-5.890993365726635602e+03
1.820000000000001172e+00,-2.262067631165040726e+00,-5.219359761417922527e+03,-5.219359761417968002e+03
1.840000000000001190e+00,-2.110819813755028029e+00,-4.466485430719166288e+03,-4.466485430719202668e+03
1.860000000000001208e+00,-1.926283106939463252e+00,-3.692054914723523325e+03,-3.692054914723552429e+03
1.880000000000001226e+00,-1.711367764821708271e+00,-2.940248098876431413e+03,-2.940248098876454605e+03
1.900000000000001243e+00,-1.469463130731169631e+00,-2.238590590180005620e+03,-2.238590590180021536e+03
1.920000000000001261e+00,-1.204384185254271378e+00,-1.600749036819120874e+03,-1.600749036819132243e+03
1.940000000000001279e+00,-9.203113817116786999e-01,-1.030718237167516236e+03,-1.030718237167523057e+03
1.960000000000001297e+00,-6.217247179121174749e-01,-5.267312178453091747e+02,-5.267312178453121305e+02
1.980000000000001315e+00,-3.133330839107423826e-01,-8.419057233488472036e+01,-8.419057233488454983e+01
2.000000000000001332e+00,2.097981369335577933e-14,3.024502309121316443e+02,3.024502309121344865e+02
