timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,1.253332335643042583e-01,7.335799963537804835e+00,7.358211932792636745e+00
4.000000000000000083e-02,2.486898871648547948e-01,1.457411985972262869e+01,1.463439681868741005e+01
5.999999999999999778e-02,3.681245526846779192e-01,2.165632289354865847e+01,2.177121564075169857e+01
8.000000000000000167e-02,4.817536741017153235e-01,2.848083471141791634e+01,2.866891926216026931e+01
1.000000000000000056e-01,5.877852522924731371e-01,3.491531526804967456e+01,3.519331489741220054e+01
1.200000000000000094e-01,6.845471059286887261e-01,4.081391891441307962e+01,4.119156847800439891e+01
1.400000000000000133e-01,7.705132427757892533e-01,4.603172154637209701e+01,4.650880814494904314e+01
1.600000000000000033e-01,8.443279255020150753e-01,5.043534368221371977e+01,5.100212649065899484e+01
1.799999999999999933e-01,9.048270524660195768e-01,5.391116845484496878e+01,5.455101459594783364e+01
1.999999999999999833e-01,9.510565162951535312e-01,5.637151116788591310e+01,5.706399730951618210e+01
2.199999999999999734e-01,9.822872507286886101e-01,5.775828392836660896e+01,5.848162554741219310e+01
2.399999999999999634e-01,9.980267284282715590e-01,5.804410563630629838e+01,5.877657364137035501e+01
2.599999999999999534e-01,9.980267284282715590e-01,5.723156000350811468e+01,5.795205327784583460e+01
2.799999999999999711e-01,9.822872507286887211e-01,5.535160108387030675e+01,5.603975410201408636e+01
2.999999999999999889e-01,9.510565162951536422e-01,5.246183379890675980e+01,5.309809006414965893e+01
3.200000000000000067e-01,9.048270524660194658e-01,4.864481839801763385e+01,4.921089433886766784e+01
3.400000000000000244e-01,8.443279255020149643e-01,4.400597176875972139e+01,4.448607727937672252e+01
3.600000000000000422e-01,7.705132427757892533e-01,3.867034452300711678e+01,3.905332405217281178e+01
3.800000000000000600e-01,6.845471059286885041e-01,3.277774410902600977e+01,3.305982046349414105e+01
4.000000000000000777e-01,5.877852522924728040e-01,2.647623190635286505e+01,2.666327010015986332e+01
4.200000000000000955e-01,4.817536741017148239e-01,1.991426117180936117e+01,2.002186163596105217e+01
4.400000000000001132e-01,3.681245526846773086e-01,1.323094974780195265e+01,1.328119904462466216e+01
4.600000000000001310e-01,2.486898871648539622e-01,6.543298522743445034e+00,6.559203309365475576e+00
4.800000000000001488e-01,1.253332335643032036e-01,-6.795599883264437369e-02,-6.706944788668364743e-02
5.000000000000001110e-01,-7.657137397853898870e-16,-6.565422780412034420e+00,-6.564930976228165349e+00
5.200000000000001288e-01,-1.253332335643047302e-01,-1.294528213722710852e+01,-1.293311915456340522e+01
5.400000000000001465e-01,-2.486898871648554332e-01,-1.921239054458217055e+01,-1.917524135540626773e+01
5.600000000000001643e-01,-3.681245526846787519e-01,-2.535397947499293281e+01,-2.527289437213001833e+01
5.800000000000001821e-01,-4.817536741017161561e-01,-3.132245156496665572e+01,-3.117089678551008447e+01
6.000000000000001998e-01,-5.877852522924741363e-01,-3.702826355209693077e+01,-3.677643905376604749e+01
6.200000000000002176e-01,-6.845471059286896143e-01,-4.234313299519468643e+01,-4.196736681411351100e+01
6.400000000000002354e-01,-7.705132427757899194e-01,-4.711469672060646019e+01,-4.660565292736208676e+01
6.600000000000002531e-01,-8.443279255020157414e-01,-5.118786485167833433e+01,-5.055281286159747367e+01
6.800000000000002709e-01,-9.048270524660201319e-01,-5.442444132582092919e+01,-5.368391491612004529e+01
7.000000000000002887e-01,-9.510565162951540863e-01,-5.671582839630909234e+01,-5.589799385307618707e+01
7.200000000000003064e-01,-9.822872507286890542e-01,-5.798843287605309627e+01,-5.712417007913106914e+01
7.400000000000003242e-01,-9.980267284282716700e-01,-5.820400753635775715e+01,-5.732397454581070662e+01
7.600000000000003419e-01,-9.980267284282714479e-01,-5.735762927894464269e+01,-5.649117103505735571e+01
7.800000000000003597e-01,-9.822872507286882771e-01,-5.547537619200662817e+01,-5.465051007144602835e+01
8.000000000000003775e-01,-9.510565162951527540e-01,-5.261279311130019209e+01,-5.185636796985624386e+01
8.200000000000003952e-01,-9.048270524660183556e-01,-4.885426411802650648e+01,-4.819141914014533512e+01
8.400000000000004130e-01,-8.443279255020135210e-01,-4.431248340623895388e+01,-4.376467115277124265e+01
8.600000000000004308e-01,-7.705132427757879210e-01,-3.912632917480551953e+01,-3.870764200242623332e+01
8.800000000000004485e-01,-6.845471059286870608e-01,-3.345479160225875859e+01,-3.316744012687959042e+01
9.000000000000004663e-01,-5.877852522924711387e-01,-2.746479631606675298e+01,-2.729610538220581617e+01
9.200000000000004841e-01,-4.817536741017129920e-01,-2.131285210822954568e+01,-2.123667512693808135e+01
9.400000000000005018e-01,-3.681245526846753657e-01,-1.512475104969908379e+01,-1.510798698344712498e+01
9.600000000000005196e-01,-2.486898871648519083e-01,-8.980799518207236432e+00,-8.991598310465112931e+00
9.800000000000005373e-01,-1.253332335643011219e-01,-2.911646207694893462e+00,-2.924593536649346071e+00
1.000000000000000444e+00,2.419605899270905006e-15,3.093972196217088300e+00,3.096927387316447788e+00
1.020000000000000462e+00,1.253332335643068118e-01,9.067317515206159584e+00,9.098806037692275694e+00
1.040000000000000480e+00,2.486898871648574594e-01,1.502566328207948132e+01,1.509724275822603978e+01
1.060000000000000497e+00,3.681245526846806948e-01,2.094206947794647178e+01,2.106932705174811105e+01
1.080000000000000515e+00,4.817536741017179880e-01,2.673710773070586200e+01,2.694084773302864733e+01
1.100000000000000533e+00,5.877852522924758016e-01,3.229214225846325803e+01,3.259339640349845268e+01
1.120000000000000551e+00,6.845471059286911686e-01,3.746864858706953783e+01,3.788121537287752716e+01
