timeHist0,timeHist1,timeHist2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+00,1.250000000000000000e+02,-1.753326599687273335e+00
5.000000000000000000e+00,2.500000000000000000e+02,-3.784483470163872543e+00
7.500000000000000000e+00,3.750000000000000000e+02,-5.955494780642901276e+00
1.000000000000000000e+01,5.000000000000000000e+02,-8.199171505406230409e+00
1.250000000000000000e+01,6.250000000000000000e+02,-1.047686086185230714e+01
1.500000000000000000e+01,7.500000000000000000e+02,-1.276116739949777568e+01
1.750000000000000000e+01,8.750000000000000000e+02,-1.502891419077492685e+01
2.000000000000000000e+01,1.000000000000000000e+03,-1.725857231827407290e+01
2.250000000000000000e+01,1.125000000000000000e+03,-1.942971169387271857e+01
2.500000000000000000e+01,1.250000000000000000e+03,-2.152335499305016242e+01
2.750000000000000000e+01,1.375000000000000000e+03,-2.352266976002492171e+01
3.000000000000000000e+01,1.500000000000000000e+03,-2.541367906491291251e+01
3.250000000000000000e+01,1.375000000000000000e+03,-2.477954235631194990e+01
3.500000000000000000e+01,1.250000000000000000e+03,-2.366309916293594284e+01
3.750000000000000000e+01,1.125000000000000000e+03,-2.225008411216199278e+01
4.000000000000000000e+01,1.000000000000000114e+03,-2.062802685506548528e+01
4.250000000000000000e+01,8.749999999999998863e+02,-1.884023758066288323e+01
4.500000000000000000e+01,7.500000000000000000e+02,-1.691184913471547446e+01
4.750000000000000000e+01,6.250000000000001137e+02,-1.486184866137996607e+01
5.000000000000000000e+01,4.999999999999998863e+02,-1.270807493312401704e+01
5.250000000000000000e+01,3.750000000000000000e+02,-1.046868786333570256e+01
5.500000000000000000e+01,2.500000000000001137e+02,-8.161957634372084769e+00
5.750000000000000000e+01,1.249999999999998863e+02,-5.805425661444395757e+00
6.000000000000000000e+01,0.000000000000000000e+00,-3.415059089012355553e+00
1.000000000000000000e+02,0.000000000000000000e+00,-1.404766431440418017e+00
1.400000000000000000e+02,0.000000000000000000e+00,-9.103779934931625073e-01
1.800000000000000000e+02,0.000000000000000000e+00,-6.665013484063343485e-01
2.200000000000000000e+02,0.000000000000000000e+00,-5.072677249642844055e-01
2.600000000000000000e+02,0.000000000000000000e+00,-3.924491383352697316e-01
3.000000000000000000e+02,0.000000000000000000e+00,-3.067723464899237973e-01
3.400000000000000000e+02,0.000000000000000000e+00,-2.420175754768094378e-01
3.800000000000000000e+02,0.000000000000000000e+00,-1.927811243208654990e-01
4.200000000000000000e+02,0.000000000000000000e+00,-1.551977050325127616e-01
4.600000000000000000e+02,0.000000000000000000e+00,-1.264130915183776238e-01
