timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,4.000000000000000222e-01,2.060032855706922055e+04,2.097664670139567170e+04
1.199999999999999956e+00,8.000000000000000444e-01,3.844266449923926120e+04,3.914315661532856757e+04
1.799999999999999822e+00,1.199999999999999734e+00,5.452738366541572759e+04,5.551846178963261627e+04
2.399999999999999911e+00,1.600000000000000089e+00,6.948224847348750336e+04,7.074192183087520243e+04
3.000000000000000000e+00,2.000000000000000000e+00,8.370147301656001946e+04,8.521498080520467192e+04
3.600000000000000089e+00,2.399999999999999911e+00,9.743288271560905559e+04,9.918994497709345887e+04
4.200000000000000178e+00,2.800000000000000266e+00,1.108325997356678126e+05,1.128256843342795037e+05
4.799999999999999822e+00,3.200000000000000178e+00,1.239993316452798317e+05,1.262225597931190132e+05
5.399999999999999467e+00,3.599999999999999645e+00,1.369958509115459165e+05,1.394443035913314088e+05
5.999999999999999112e+00,3.999999999999999112e+00,1.498624389036894718e+05,1.525317146667979832e+05
6.599999999999998757e+00,4.399999999999998579e+00,1.626252945106563275e+05,1.655112247425889364e+05
7.199999999999998401e+00,4.799999999999998934e+00,1.753017901886127074e+05,1.784002530049745692e+05
7.799999999999998046e+00,5.199999999999999289e+00,1.879037556451095152e+05,1.912105516642813454e+05
8.399999999999998579e+00,5.599999999999999645e+00,2.004395282594549062e+05,2.039502953807962476e+05
8.999999999999998224e+00,5.999999999999998224e+00,2.129152327591703797e+05,2.166253857884794706e+05
9.599999999999997868e+00,6.399999999999998579e+00,2.253355794194471673e+05,2.292402658413072932e+05
1.019999999999999751e+01,6.799999999999998046e+00,2.377043616053833393e+05,2.417984282124389429e+05
1.079999999999999716e+01,7.199999999999997513e+00,2.500247656364647555e+05,2.543027328488279891e+05
1.139999999999999680e+01,7.599999999999997868e+00,2.622995635377399158e+05,2.667556055596353253e+05
1.199999999999999645e+01,7.999999999999997335e+00,2.745312327370679122e+05,2.791591625028226990e+05
1.259999999999999609e+01,8.399999999999996803e+00,2.867220302131091594e+05,2.915152885592931416e+05
1.319999999999999574e+01,8.799999999999997158e+00,2.988740382639139425e+05,3.038256870473616873e+05
1.379999999999999538e+01,9.199999999999997513e+00,3.109891926172424573e+05,3.160919116543798591e+05
1.439999999999999503e+01,9.599999999999996092e+00,3.230692995816984330e+05,3.283153873600704246e+05
1.499999999999999467e+01,9.999999999999996447e+00,3.351160464301388711e+05,3.404974245681194006e+05
1.559999999999999432e+01,9.600000000000004974e+00,3.058220935132800951e+05,3.107426816569807706e+05
1.619999999999999574e+01,9.200000000000002842e+00,2.820182131988652400e+05,2.865722495218798867e+05
1.679999999999999716e+01,8.800000000000002487e+00,2.617003875166958023e+05,2.659466458379136166e+05
1.739999999999999858e+01,8.400000000000000355e+00,2.436211400550839026e+05,2.475957961295291316e+05
1.800000000000000000e+01,8.000000000000000000e+00,2.269979168486917624e+05,2.307227713747554808e+05
1.860000000000000142e+01,7.599999999999998757e+00,2.113375764602908748e+05,2.148253537218863203e+05
1.920000000000000284e+01,7.199999999999997513e+00,1.963281782135742542e+05,1.995859370644560549e+05
1.980000000000000426e+01,6.799999999999997158e+00,1.817715551254275779e+05,1.848028753048951621e+05
2.040000000000000568e+01,6.399999999999996803e+00,1.675411002089451358e+05,1.703474755277059157e+05
