timeHist0,timeHist1,timeHist2,timeHist3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000096e-04,-2.235000000000000116e-04,-1.507647549777397233e-01,-1.488315839110002370e-01
4.000000000000000192e-04,-8.880000000000001174e-04,-2.879962922358503818e-01,-2.840955915163197454e-01
6.000000000000000559e-04,-1.984500000000000586e-03,-4.370079832895600314e-01,-4.313963431249036029e-01
8.000000000000000383e-04,-3.504000000000000604e-03,-6.151530583630953064e-01,-6.068587547611730137e-01
1.000000000000000021e-03,-5.437500000000001360e-03,-8.917764629314024472e-01,-8.802479726626090129e-01
1.200000000000000112e-03,-7.776000000000001661e-03,-1.274367968697783571e+00,-1.257282765381075418e+00
1.400000000000000203e-03,-1.051050000000000074e-02,-1.711488629069861656e+00,-1.689223769152490284e+00
1.600000000000000294e-03,-1.363200000000000522e-02,-2.100973252906903621e+00,-2.072950006955132540e+00
1.800000000000000384e-03,-1.713150000000000089e-02,-2.512732958055020838e+00,-2.479994719954562221e+00
2.000000000000000475e-03,-2.100000000000000824e-02,-3.049632409903467511e+00,-3.008972002591138839e+00
2.200000000000000566e-03,-2.522850000000001133e-02,-3.678385604299077460e+00,-3.630238609912534109e+00
2.400000000000000657e-03,-2.980800000000001504e-02,-4.250492661930937999e+00,-4.193906867528550464e+00
2.600000000000000748e-03,-3.472950000000001730e-02,-4.825303511504426268e+00,-4.762052038371545670e+00
2.800000000000000839e-03,-3.998400000000001953e-02,-5.472531349392834699e+00,-5.399652353362934143e+00
3.000000000000000930e-03,-4.556250000000003353e-02,-6.190226735019640714e+00,-6.108877351564995450e+00
3.200000000000001021e-03,-5.145600000000004337e-02,-6.942610846252854628e+00,-6.850175571318620982e+00
3.400000000000001112e-03,-5.765550000000002617e-02,-7.697685211087691215e+00,-7.596312853139752796e+00
3.600000000000001203e-03,-6.415200000000004232e-02,-8.402331091554438913e+00,-8.290422436289555108e+00
3.800000000000001293e-03,-7.093650000000004119e-02,-9.208718198395521526e+00,-9.087271734589437600e+00
4.000000000000000951e-03,-7.800000000000002764e-02,-1.010838596784806143e+01,-9.973737153465904726e+00
4.200000000000000608e-03,-8.533350000000000657e-02,-1.096263631057109400e+01,-1.081790162774485076e+01
4.400000000000000265e-03,-9.292799999999999672e-02,-1.179536198226692179e+01,-1.163828428695490835e+01
4.599999999999999922e-03,-1.007744999999999613e-01,-1.269601811918091450e+01,-1.252827015227745022e+01
4.799999999999999580e-03,-1.088639999999999886e-01,-1.361722684452247734e+01,-1.343601307825227842e+01
4.999999999999999237e-03,-1.171874999999999584e-01,-1.460668575251396462e+01,-1.441369882983532236e+01
5.199999999999998894e-03,-1.257359999999999589e-01,-1.557797729329533887e+01,-1.537083850088029280e+01
5.399999999999998551e-03,-1.345004999999999118e-01,-1.650944091824976567e+01,-1.629136545536442782e+01
5.599999999999998208e-03,-1.434719999999999329e-01,-1.749955297993024317e+01,-1.726713281258090049e+01
5.799999999999997866e-03,-1.526414999999998745e-01,-1.856818810752741555e+01,-1.832313794514769967e+01
5.999999999999997523e-03,-1.619999999999998941e-01,-1.961772495424949270e+01,-1.935763621065758500e+01
6.199999999999997180e-03,-1.715384999999998161e-01,-2.064414429377805504e+01,-2.037204635799584906e+01
6.399999999999996837e-03,-1.812479999999998537e-01,-2.167881146711138740e+01,-2.139200662749685122e+01
6.599999999999996494e-03,-1.911194999999997479e-01,-2.278296263402338440e+01,-2.248324701738216191e+01
6.799999999999996152e-03,-2.011439999999998229e-01,-2.388676479006084463e+01,-2.357164682311061554e+01
6.999999999999995809e-03,-2.113124999999997367e-01,-2.500891071760050366e+01,-2.468082629561260077e+01
7.199999999999995466e-03,-2.216159999999997299e-01,-2.609947304418506064e+01,-2.575637226942301439e+01
7.399999999999995123e-03,-2.320454999999997936e-01,-2.718443466490289140e+01,-2.682917736345836346e+01
7.599999999999994781e-03,-2.425919999999997245e-01,-2.836097602108480586e+01,-2.798987157363929512e+01
7.799999999999994438e-03,-2.532464999999997080e-01,-2.953377961512923378e+01,-2.914976471200823127e+01
7.999999999999994962e-03,-2.639999999999997349e-01,-3.063521535212572999e+01,-3.023695721725950136e+01
8.199999999999995487e-03,-2.748434999999997408e-01,-3.179178504355699886e+01,-3.138128240693687943e+01
8.399999999999996012e-03,-2.857679999999997444e-01,-3.293857413587151939e+01,-3.251400998155500588e+01
8.599999999999996536e-03,-2.967644999999998201e-01,-3.411746128063765582e+01,-3.368124343378063656e+01
8.799999999999997061e-03,-3.078239999999998200e-01,-3.529696308701398522e+01,-3.484730212636939939e+01
8.999999999999997585e-03,-3.189374999999997629e-01,-3.642908033035332238e+01,-3.596976440303980382e+01
9.199999999999998110e-03,-3.300959999999999450e-01,-3.755711925301491050e+01,-3.708660429553130200e+01
