timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e+00,2.000000000000000111e-01,-1.983857283405763561e-01,-7.230546872472465338e+02,5.286926350354028727e+02
2.399999999999999911e+00,4.000000000000000222e-01,-4.682648855562896451e-01,-1.591111179533838822e+03,1.163338430728211279e+03
3.599999999999999645e+00,5.999999999999999778e-01,-7.387513849207534289e-01,-2.363484933288717002e+03,1.728030294958090280e+03
4.799999999999999822e+00,8.000000000000000444e-01,-9.949276446278750852e-01,-3.208989034033907956e+03,2.377350095321889057e+03
6.000000000000000000e+00,1.000000000000000000e+00,-1.194839481280532079e+00,-4.478155888891526047e+03,3.452541601559680203e+03
7.200000000000000178e+00,1.199999999999999956e+00,-1.393073220401366497e+00,-5.646309194826450948e+03,4.434789032768938341e+03
8.400000000000000355e+00,1.399999999999999911e+00,-1.590494815807469431e+00,-6.760757234453878482e+03,5.368568410613308515e+03
9.599999999999999645e+00,1.600000000000000089e+00,-1.765558923294603177e+00,-7.970328821006343787e+03,6.461851949814381442e+03
1.079999999999999893e+01,1.799999999999999822e+00,-1.939248746178463767e+00,-9.144437134035832059e+03,7.519397828259250673e+03
1.199999999999999822e+01,1.999999999999999778e+00,-2.112907423172825983e+00,-1.029167617306676038e+04,8.549594720805960606e+03
1.319999999999999751e+01,2.199999999999999734e+00,-2.286611801372564479e+00,-1.142075785211325456e+04,9.562919161755486130e+03
1.439999999999999680e+01,2.399999999999999467e+00,-2.460947673055501106e+00,-1.255824785878887269e+04,1.058539271903043664e+04
1.559999999999999609e+01,2.599999999999999645e+00,-2.642679911985144514e+00,-1.397023516906092664e+04,1.186745245053491817e+04
1.679999999999999716e+01,2.799999999999999378e+00,-2.825101047052065439e+00,-1.532801745573223889e+04,1.310024914948018522e+04
1.799999999999999645e+01,2.999999999999999556e+00,-3.007891570470356601e+00,-1.665318668802980392e+04,1.430406462247144736e+04
1.919999999999999574e+01,3.199999999999998845e+00,-3.191872585781420746e+00,-1.798317124387420336e+04,1.553977700218710379e+04
2.039999999999999503e+01,3.399999999999999023e+00,-3.380105619699998343e+00,-1.940081987526836747e+04,1.696197132945458361e+04
2.159999999999999432e+01,3.599999999999999201e+00,-3.568890579350173287e+00,-2.078444992670441206e+04,1.834024170857664285e+04
2.279999999999999361e+01,3.799999999999998934e+00,-3.759538342410337020e+00,-2.220056843878126529e+04,1.974147048226172046e+04
2.399999999999999289e+01,3.999999999999999112e+00,-3.953059520944585792e+00,-2.369035518989673074e+04,2.120637509192978177e+04
2.519999999999999218e+01,4.199999999999998401e+00,-4.146635168408824512e+00,-2.515584611509761453e+04,2.264864721324354468e+04
2.639999999999999147e+01,4.399999999999997691e+00,-4.341191623304958114e+00,-2.671133291485488735e+04,2.415815490820126433e+04
2.759999999999999076e+01,4.599999999999997868e+00,-4.536479945349090492e+00,-2.832836841780074610e+04,2.571372918429529818e+04
2.879999999999999005e+01,4.799999999999998046e+00,-4.731717399264228519e+00,-2.992052178857364197e+04,2.724911687307823740e+04
2.999999999999998934e+01,4.999999999999998224e+00,-4.928942987655772434e+00,-3.153442297933105874e+04,2.884496858920589875e+04
3.119999999999998863e+01,5.199999999999998401e+00,-5.126819341249066575e+00,-3.312446459538925410e+04,3.042879350490519209e+04
3.239999999999999147e+01,5.399999999999997691e+00,-5.328025932775633855e+00,-3.477281883992251096e+04,3.210252925980256259e+04
3.359999999999999432e+01,5.599999999999998757e+00,-5.530588130592967389e+00,-3.643501191227644449e+04,3.380146480674089980e+04
3.479999999999999716e+01,5.799999999999999822e+00,-5.733097915281891055e+00,-3.808104317071750120e+04,3.548234724667284172e+04
3.600000000000000000e+01,6.000000000000000000e+00,-5.935563943629187378e+00,-3.971509028089881031e+04,3.715117382542679843e+04
3.720000000000000284e+01,6.200000000000000178e+00,-6.137996088650085724e+00,-4.133944674722556374e+04,3.881115560340615048e+04
3.840000000000000568e+01,6.400000000000001243e+00,-6.340402360781896007e+00,-4.295548825618036062e+04,4.046415066495777864e+04
3.960000000000000853e+01,6.600000000000002309e+00,-6.542788479803128610e+00,-4.456412936850454571e+04,4.211134519868018106e+04
4.080000000000001137e+01,6.800000000000001599e+00,-6.745158264457770336e+00,-4.616604165542564442e+04,4.375357982596461079e+04
4.200000000000001421e+01,7.000000000000001776e+00,-6.947514155161932159e+00,-4.776175935004087660e+04,4.539150764324588090e+04
4.320000000000001705e+01,7.200000000000002842e+00,-7.150310932709854406e+00,-4.936173780540791631e+04,4.704049521882707631e+04
4.440000000000001990e+01,7.400000000000003908e+00,-7.354423678988836421e+00,-5.098484222579807829e+04,4.872843696465618268e+04
4.560000000000002274e+01,7.600000000000004086e+00,-7.558488683900098870e+00,-5.259904003888891020e+04,5.040804475868774171e+04
4.680000000000002558e+01,7.800000000000003375e+00,-7.762495685436450188e+00,-5.421241738193809579e+04,5.208662407124889432e+04
4.800000000000002842e+01,8.000000000000005329e+00,-7.965054831500875565e+00,-5.609029840095155669e+04,5.395632435012195492e+04
4.920000000000003126e+01,8.200000000000006395e+00,-8.166378921889773324e+00,-5.798746375003722642e+04,5.587432262208226894e+04
