step,disp_z,total_Fz
0,0,0
1,0.03,45696.85548058704
2,0.06,91393.71096117407
3,0.09,137090.5664418191
4,0.12,182787.4219223481
5,0.15,228484.2774031351
6,0.18,274181.1328836383
7,0.21,319877.9883643221
8,0.24,365574.8438446963
9,0.27,411271.6993252073
10,0.3,456968.5548062703
11,0.33,502665.4102888752
12,0.36,548362.2657672765
13,0.39,594059.1212483431
14,0.42,639755.9767286442
15,0.45,685452.8322092646
16,0.48,731149.6876893926
17,0.51,776846.5431740554
18,0.54,822543.3986504147
19,0.57,868240.2541341275
20,0.6,913937.1096125406
21,0.63,959633.965092243
22,0.6599999999999999,1005330.82057775
23,0.6899999999999999,1051027.676053423
24,0.72,1096724.531534553
25,0.75,1142421.387014476
26,0.78,1188118.242496686
27,0.8099999999999999,1233815.097977904
28,0.84,1279511.953457288
29,0.87,1325208.808935363
30,0.8999999999999999,1370905.664418529
31,0.9299999999999999,1416602.519895319
32,0.96,1462299.375378785
33,0.99,1507996.230861001
34,1.02,1553693.086348111
35,1.05,1599389.941814018
36,1.08,1645086.797300829
37,1.11,1690783.652788681
38,1.14,1736480.508268255
39,1.17,1782177.3637473
40,1.2,1827874.219225081
41,1.23,1873571.074709882
42,1.26,1919267.930184486
43,1.29,1964964.785668034
44,1.32,2010661.641155501
45,1.35,2056358.496633265
46,1.38,2102055.352106845
47,1.41,2147752.207594077
48,1.44,2193449.063069106
49,1.47,2239145.918550137
50,1.5,2284842.774028953
51,1.53,2330539.62950102
52,1.56,2376236.484993373
53,1.59,2421933.340480061
54,1.62,2467630.195955807
55,1.65,2513327.051442528
56,1.68,2559023.906914577
57,1.71,2604720.762399343
58,1.74,2650417.617870725
59,1.77,2696114.473355475
60,1.8,2741811.328837059
61,1.83,2787508.184313701
62,1.86,2833205.039790638
63,1.89,2878901.895277736
64,1.92,2924598.75075757
65,1.95,2970295.606236555
66,1.98,3015992.461722001
67,2.01,3061689.317205135
68,2.04,3107386.172696222
69,2.07,3153083.028164233
70,2.1,3198779.883628036
71,2.13,3244476.739106671
72,2.16,3290173.594601659
73,2.19,3335870.450084432
74,2.22,3381567.305577361
75,2.25,3427264.161036354
76,2.28,3472961.01653651
77,2.31,3518657.872006894
78,2.34,3564354.727494601
79,2.37,3610051.582976957
80,2.4,3655748.438450162
81,2.43,3701445.293931864
82,2.46,3747142.149419764
83,2.49,3792839.004900648
84,2.52,3838535.860368972
85,2.55,3884232.715852023
86,2.58,3929929.571336067
87,2.61,3975626.426818526
88,2.64,4021323.282311002
89,2.67,4067020.137773082
90,2.7,4112716.993266529
91,2.73,4158413.848740439
92,2.76,4204110.704213691
93,2.79,4249807.559702031
94,2.82,4295504.415188154
95,2.85,4341201.270657131
96,2.88,4386898.126138212
97,2.91,4432594.981622983
98,2.94,4478291.837100275
99,2.97,4523988.692574877
100,3,4569685.548057905
