step,disp_z,total_Fz
0,0,5.057685880775257e-11
1,0.006,5488.946592733363
2,0.012,10948.004083211
3,0.018,16377.74843162578
4,0.024,21778.74333311648
5,0.03,27151.54233825743
6,0.036,32496.69243142384
7,0.042,37814.73947208932
8,0.048,43106.23586236917
9,0.054,48371.75076173391
10,0.06,53611.88312283285
11,0.066,58827.27776496736
12,0.07200000000000001,64018.64462503462
13,0.078,69186.78121782
14,0.08400000000000001,74332.59818289126
15,0.09,79457.1475759287
16,0.096,84561.65325872766
17,0.102,89647.54233770022
18,0.108,94716.47608800445
19,0.114,99770.37818933552
20,0.12,104811.4574332192
21,0.126,109842.2214247269
22,0.132,114865.4773356169
23,0.138,119884.315662011
24,0.144,124902.0734170998
25,0.15,129922.2744387564
26,0.156,134948.5465943147
27,0.162,139984.5184951266
28,0.168,145033.7015132259
29,0.174,150099.3657958893
30,0.18,155184.4208852425
31,0.186,160291.3118710183
32,0.192,165421.9404970418
33,0.198,170577.6175484965
34,0.204,175759.0488371622
35,0.21,180966.3530516243
36,0.216,186199.1064462138
37,0.222,191456.4073018027
38,0.228,196736.9524173324
39,0.234,202039.1183722302
40,0.24,207361.0415548559
41,0.246,212700.6925562611
42,0.252,218055.9421460186
43,0.258,223424.6174510446
44,0.264,228804.5480458416
45,0.27,234193.6024172619
46,0.276,239589.7157271597
47,0.282,244990.9100246142
48,0.288,250395.3081217076
49,0.294,255801.1423013546
50,0.3,261206.7589179885
51,0.306,266610.6198150566
52,0.312,272011.3013391211
53,0.318,277407.4915923431
54,0.324,282797.986440381
55,0.33,288181.6846845981
56,0.336,293557.582716138
57,0.342,298924.7688943654
58,0.348,304282.41783129
59,0.354,309629.7847152033
60,0.36,314966.1997686761
61,0.366,320291.0629065587
62,0.372,325603.8386369935
63,0.378,330904.0512313669
64,0.384,336191.2801763403
65,0.39,341465.1559117684
66,0.396,346725.3558515649
67,0.402,351971.6006798926
68,0.408,357203.6509118354
69,0.414,362421.3037057485
70,0.42,367624.3899132558
71,0.426,372812.7713523835
72,0.432,377986.3382892113
73,0.438,383145.0071136719
74,0.444,388288.7181956148
75,0.45,393417.4339078206
76,0.456,398531.1368034022
77,0.462,403629.8279357313
78,0.468,408713.5253098229
79,0.474,413782.2624548619
80,0.48,418836.0871082802
81,0.486,423875.0600025487
82,0.492,428899.2537464817
83,0.498,433908.7517935114
84,0.504,438903.6474899895
85,0.51,443884.0431971321
86,0.516,448850.0494807299
87,0.522,453801.7843632373
88,0.528,458739.3726332893
89,0.534,463662.9452081143
90,0.54,468572.6385446526
91,0.546,473468.5940955858
92,0.552,478350.9578068486
93,0.5580000000000001,483219.8796527753
94,0.5640000000000001,488075.5132075567
95,0.5700000000000001,492918.0152480651
96,0.5760000000000001,497747.5453872657
97,0.582,502564.2657352337
98,0.588,507368.3405857731
99,0.594,512159.9361267309
100,0.6,516939.2201722038
101,0.606,521706.3619150241
102,0.612,526461.5316980052
103,0.618,531204.9008025656
104,0.624,535936.6412534649
105,0.63,540656.9256384561
106,0.636,545365.9269417957
107,0.642,550063.818390584
108,0.648,554750.7733130394
109,0.654,559426.9650078326
110,0.66,564092.56662372
111,0.666,568747.751048711
112,0.672,573392.6908081364
113,0.678,578027.5579709712
114,0.6840000000000001,582652.5240638424
115,0.6900000000000001,587267.7599921877
116,0.6960000000000001,591873.4359680717
117,0.7020000000000001,596469.7214441937
118,0.708,601056.7850536768
119,0.714,605634.7945552241
120,0.72,610203.9167832861
121,0.726,614764.3176028944
122,0.732,619316.161868845
123,0.738,623859.6133889309
124,0.744,628394.8348909523
125,0.75,632921.9879932547
126,0.756,637441.2331785321
127,0.762,641952.7297707004
128,0.768,646456.6359146131
129,0.774,650953.1085584317
130,0.78,655442.3034384643
131,0.786,659924.3750663103
132,0.792,664399.4767181396
133,0.798,668867.7604259735
134,0.804,673329.3769708071
135,0.8100000000000001,677784.4758774603
136,0.8160000000000001,682233.2054110381
137,0.8220000000000001,686675.7125748519
138,0.8280000000000001,691112.1431097469
139,0.834,695542.6414946851
140,0.84,699967.3509485275
141,0.846,704386.4134328951
142,0.852,708799.9696560596
143,0.858,713208.1590777509
144,0.864,717611.1199148451
145,0.87,722008.9891478234
146,0.876,726401.902527977
147,0.882,730789.9945852819
148,0.888,735173.3986368715
149,0.894,739552.2467960881
150,0.9,743926.6699820304
151,0.906,748296.7979295811
152,0.912,752662.7591998432
153,0.918,757024.6811909688
154,0.924,761382.690149327
155,0.93,765736.9111809777
156,0.9360000000000001,770087.4682634326
157,0.9420000000000001,774434.4842576467
158,0.9480000000000001,778778.0809202479
159,0.9540000000000001,783118.3789159263
160,0.96,787455.4978300221
161,0.966,791789.5561812322
162,0.972,796120.6714344434
163,0.978,800448.9600136784
164,0.984,804774.5373150973
165,0.99,809097.5177200957
166,0.996,813418.0146084286
167,1.002,817736.1403713778
168,1.008,822052.0064249324
169,1.014,826365.7232229941
170,1.02,830677.4002705499
171,1.026,834987.146136863
172,1.032,839295.0684686127
173,1.038,843601.2740030129
174,1.044,847905.8685808915
175,1.05,852208.9571597008
176,1.056,856510.6438265035
177,1.062,860811.0318108657
178,1.068,865110.2234976942
179,1.074,869408.3204400018
180,1.08,873705.4233715863
181,1.086,878001.6322196324
182,1.092,882297.0461172279
183,1.098,886591.7634157826
184,1.104,890885.8816973552
185,1.11,895179.4977868921
186,1.116,899472.7077643687
187,1.122,903765.6069768043
188,1.128,908058.2900502179
189,1.134,912350.8509014435
190,1.14,916643.382749858
191,1.146,920935.9781290019
192,1.152,925228.728898094
193,1.158,929521.7262534269
194,1.164,933815.0607396772
195,1.17,938108.8222610909
196,1.176,942403.1000925632
197,1.182,946697.982890614
198,1.188,950993.5587042631
199,1.194,955289.914985781
200,1.2,959587.1386013498
201,1.206,963885.3158416071
202,1.212,968184.5324320965
203,1.218,972484.8735435919
204,1.224,976786.423802349
205,1.23,981089.2673002215
206,1.236,985393.4876047114
207,1.242,989699.1677688743
208,1.248,994006.3903411698
209,1.254,998315.2373751847
210,1.26,1002625.790439269
211,1.266,1006938.130626074
212,1.272,1011252.338561995
213,1.278,1015568.494416528
214,1.284,1019886.677911525
215,1.29,1024206.968330359
216,1.296,1028529.444527013
217,1.302,1032854.18493506
218,1.308,1037181.267576574
219,1.314,1041510.770070958
220,1.32,1045842.769643666
221,1.326,1050177.343134872
222,1.332,1054514.567008044
223,1.338,1058854.517358434
224,1.344,1063197.269921499
225,1.35,1067542.900081255
226,1.356,1071891.482878537
227,1.362,1076243.093019201
228,1.368,1080597.804882257
229,1.374,1084955.692527913
230,1.38,1089316.829705584
231,1.386,1093681.289861799
232,1.392,1098049.146148076
233,1.398,1102420.471428712
234,1.404,1106795.338288524
235,1.41,1111173.819040525
236,1.416,1115555.985733543
237,1.422,1119941.910159796
238,1.428,1124331.663862382
239,1.434,1128725.31814276
240,1.44,1133122.944068135
241,1.446,1137524.612478832
242,1.452,1141930.393995609
243,1.458,1146340.359026901
244,1.464,1150754.577776059
245,1.47,1155173.120248527
246,1.476,1159596.056258969
247,1.482,1164023.455438383
248,1.488,1168455.38724115
249,1.494,1172891.920952065
250,1.5,1177333.125693331
251,1.506,1181779.070431517
252,1.512,1186229.823984489
253,1.518,1190685.455028303
254,1.524,1195146.032104092
255,1.53,1199611.6236249
256,1.536,1204082.2978825
257,1.542,1208558.123054218
258,1.548,1213039.167209671
259,1.554,1217525.498317562
260,1.56,1222017.184252386
261,1.566,1226514.292801169
262,1.572,1231016.891670158
263,1.578,1235525.048491502
264,1.584,1240038.830829933
265,1.59,1244558.306189409
266,1.596,1249083.542019752
267,1.602,1253614.605723279
268,1.608,1258151.564661401
269,1.614,1262694.486161225
270,1.62,1267243.437522132
271,1.626,1271798.48602233
272,1.632,1276359.69892542
273,1.638,1280927.143486913
274,1.644,1285500.886960735
275,1.65,1290080.996605726
276,1.656,1294667.539692106
277,1.662,1299260.583507903
278,1.668,1303860.195365381
279,1.674,1308466.442607415
280,1.68,1313079.392613824
281,1.686,1317699.112807702
282,1.692,1322325.670661653
283,1.698,1326959.133704026
284,1.704,1331599.56952507
285,1.71,1336247.045783029
286,1.716,1340901.630210185
287,1.722,1345563.390618823
288,1.728,1350232.394907113
289,1.734,1354908.711064914
290,1.74,1359592.407179477
291,1.746,1364283.551441057
292,1.752,1368982.212148406
293,1.758,1373688.457714162
294,1.764,1378402.356670094
295,1.77,1383123.977672239
296,1.776,1387853.389505867
297,1.782,1392590.661090336
298,1.788,1397335.861483747
299,1.794,1402089.059887469
300,1.8,1406850.325650476
301,1.806,1411619.728273503
302,1.812,1416397.337413033
303,1.818,1421183.222885082
304,1.824,1425977.454668789
305,1.83,1430780.102909829
306,1.836,1435591.237923597
307,1.842,1440410.93019822
308,1.848,1445239.250397354
309,1.854,1450076.269362777
310,1.86,1454922.058116809
311,1.866,1459776.687864506
312,1.872,1464640.229995706
313,1.878,1469512.756086867
314,1.884,1474394.337902742
315,1.89,1479285.047397896
316,1.896,1484184.956718075
317,1.902,1489094.138201433
318,1.908,1494012.664379623
319,1.914,1498940.60797881
320,1.92,1503878.041920556
321,1.926,1508825.039322647
322,1.932,1513781.673499857
323,1.938,1518748.017964654
324,1.944,1523724.1464279
325,1.95,1528710.132799528
326,1.956,1533706.05118923
327,1.962,1538711.97590717
328,1.968,1543727.981464747
329,1.974,1548754.14257539
330,1.98,1553790.534155457
331,1.986,1558837.231325186
332,1.992,1563894.309409774
333,1.998,1568961.843940536
334,2.004,1574039.910656188
335,2.01,1579128.585504275
336,2.016,1584227.944642702
337,2.022,1589338.064441419
338,2.028,1594459.021484234
339,2.034,1599590.892570785
340,2.04,1604733.754718634
341,2.046,1609887.68516553
342,2.052,1615052.761371781
343,2.058,1620229.061022787
344,2.064,1625416.662031716
345,2.07,1630615.642542278
346,2.076,1635826.080931668
347,2.082,1641048.055813595
348,2.088,1646281.646041462
349,2.094,1651526.930711618
350,2.1,1656783.989166771
351,2.106,1662052.900999445
352,2.112,1667333.746055622
353,2.118,1672626.604438266
354,2.124,1677931.556511316
355,2.13,1683248.682903379
356,2.136,1688578.064511735
357,2.142,1693919.782506336
358,2.148,1699273.918333918
359,2.154,1704640.55372219
360,2.16,1710019.770684078
361,2.166,1715411.651522085
362,2.172,1720816.278832686
363,2.178,1726233.735510843
364,2.184,1731664.104754574
365,2.19,1737107.470069598
366,2.196,1742563.915274088
367,2.202,1748033.524503478
368,2.208,1753516.382215359
369,2.214,1759012.573194484
370,2.22,1764522.182557811
