step,time,abs_l2_pe1,rel_l2_pe1,abs_l2_pe2,rel_l2_pe2,abs_l2_pe3,rel_l2_pe3
0,0,0,0,0,0,0,0
1,0.001,0.0004092423055366337,0.09271900431203076,0.0006925732971909488,0.08934016999750255,0.005551376478330853,0.4174826899896781
2,0.002,0.0004223683163281594,0.05703489615855117,0.0007763914176427659,0.05999892633534866,0.004212918939009792,0.1930023258133306
3,0.003,0.0004197902569519476,0.04189922407330437,0.0007880427161862689,0.04518960348440899,0.002925488144939696,0.1008321707504611
4,0.004,0.0004137993226893199,0.0333370696758883,0.000783071426904514,0.03636520247892007,0.002194909708191151,0.06190365908439016
5,0.005,0.0004071670131757606,0.02778536587719197,0.0007752689741100971,0.03058454329912718,0.002030016082713537,0.04906096829752103
6,0.006,0.0004006813039954816,0.02387747907148258,0.0007675040467666982,0.02651016167144075,0.00214690124859902,0.0457803281358445
7,0.007,0.000394575175700598,0.02096997749785462,0.0007603092553657433,0.02347706958470546,0.002303891472606124,0.04422851681641549
8,0.008,0.0003889004746133076,0.01871835427639411,0.0007537084750307577,0.02112454122534648,0.002412640256382074,0.04231385213875675
9,0.009000000000000001,0.0003836460766823326,0.0169208723072603,0.0007476322175999718,0.01924170823416538,0.002459855602817947,0.03985642089878643
10,0.01,0.0003787798568975117,0.01545128830794218,0.0007420104236100036,0.01769741431953854,0.002455683967687866,0.03708245599612803
11,0.011,0.0003742645719752385,0.01422643716446581,0.0007367873965362834,0.01640577663514217,0.00241507725568512,0.03422971247856808
12,0.012,0.0003700639359424397,0.01318923850771678,0.0007319197560958561,0.01530810217515413,0.002351901305641894,0.03146965589745176
13,0.013,0.0003661447843163752,0.01229917860140186,0.0007273724732680991,0.01436282694100955,0.00227734156580252,0.02890773787028736
14,0.014,0.0003624776353272362,0.01152668634070071,0.0007231160043934791,0.01353962923282616,0.002199746853808155,0.0265989582107694
15,0.015,0.0003590366023450103,0.01084966002808815,0.0007191246023800722,0.01281582938168393,0.002124938792153726,0.02456318970945066
16,0.016,0.0003557990649325482,0.01025124115063977,0.0007153753869672112,0.0121741006094729,0.00205664820274591,0.0227972321182094
17,0.017,0.0003527452739727447,0.009718341413021206,0.0007118478266618277,0.01160096322246839,0.001996959876058202,0.02128368699817847
18,0.018,0.0003498579644284776,0.009240641036343915,0.0007085234232245653,0.01108576429728007,0.001946723838481776,0.01999732706673102
19,0.019,0.0003471220037825883,0.008809891010160463,0.0007053854897623405,0.01061996825009649,0.001905916664082013,0.01890957426403255
20,0.02,0.0003445240837610504,0.008419416675985706,0.0007024189712725129,0.01019665232014313,0.001873944739810811,0.01799154062673503
21,0.021,0.0003420524542001445,0.008063757842806085,0.0006996102860443499,0.009810140615072689,0.001849885820585342,0.01721596470290592
22,0.022,0.0003396966944734666,0.007738403449054711,0.0006969471800531997,0.009455733990898907,0.001832669758278691,0.01655830732884852
23,0.023,0.0003374475169815885,0.007439592937035324,0.0006944185921818904,0.009129507553925867,0.001821203943092326,0.01599723213275931
