step,time,abs_l2,rel_l2,newton_iters,final_residual
0,0,7.952488940679326e-05,2.650829226840217e-05,0,0
1,0.1,0.009475331565588054,0.003139918321351296,4,4.347990465601456e-09
2,0.2,0.009291984732165384,0.003061938942036529,4,8.707214443630704e-11
3,0.3,0.008992375993563237,0.002947136738558783,3,1.189743669824781e-06
4,0.4,0.008728567771665124,0.002845543283977996,3,2.023980511434323e-07
5,0.5,0.00850519873584268,0.002758374015884375,3,5.380732929735835e-08
6,0.6000000000000001,0.008314583932221377,0.002682873165630242,3,1.859689256615122e-08
7,0.7000000000000001,0.008149553438188736,0.002616523862635355,3,7.651714918032883e-09
8,0.8,0.008004650371296509,0.00255741773671859,3,3.567165071541201e-09
9,0.9,0.007875842053833076,0.00250414401841134,3,1.828376764781281e-09
10,1,0.007760134203224265,0.002455652921576517,3,1.012032448483012e-09
