step,time,l2_error,linf_error
0,0,0,0
1,0.01,1.240488191432385e-06,4.872538608180141e-06
2,0.02,2.840000565347198e-06,8.798462396346005e-06
3,0.03,4.79442865111401e-06,1.222705512383959e-05
4,0.04,7.103608349444158e-06,1.510904263137686e-05
5,0.05,9.765423582993963e-06,1.747540960737176e-05
6,0.06,1.277583291627692e-05,1.956725108073071e-05
7,0.07000000000000001,1.612951559926972e-05,2.16358937133454e-05
8,0.08,1.982038487294061e-05,2.356007863694304e-05
9,0.09,2.384192901983252e-05,2.536445090957351e-05
10,0.1,2.818742748412155e-05,2.706698497698112e-05
11,0.11,3.285008535814065e-05,2.868122155809394e-05
12,0.12,3.782311602793458e-05,3.306921040657773e-05
13,0.13,4.309979110897426e-05,3.874864313224702e-05
14,0.14,4.867346972743638e-05,4.487764922581072e-05
15,0.15,5.453761473068502e-05,5.145562404068604e-05
16,0.16,6.068580062318115e-05,5.848163739030632e-05
17,0.17,6.711171628371064e-05,6.595439436951622e-05
18,0.18,7.380916442822113e-05,7.387220712309905e-05
19,0.19,8.077205908860118e-05,8.223297711182354e-05
20,0.2,8.799442193409939e-05,9.103418690023513e-05
21,0.21,9.547037797447823e-05,0.0001002729002062552
22,0.22,0.0001031941509957429,0.0001099457688458483
23,0.23,0.0001111600589544474,0.0001200490452210323
24,0.24,0.0001193625094748449,0.0001305785990928232
25,0.25,0.0001277959955368317,0.0001415299375137069
26,0.26,0.0001364550914054467,0.0001528982269469181
27,0.27,0.0001453344488285926,0.0001646783167536525
28,0.28,0.0001544287935118017,0.0001768647633752507
29,0.29,0.0001637329218682475,0.0001894518546703416
30,0.3,0.0001732416980356402,0.0002024336339812582
31,0.31,0.0001829500511459804,0.0002158039236071496
32,0.32,0.0001928529728325722,0.0002295563474422613
33,0.33,0.000202945514957415,0.0002436843526095744
34,0.34,0.0002132227875406196,0.0002581812299738417
35,0.35,0.0002236799568752804,0.0002730401334675725
36,0.36,0.0002343122438099018,0.000288254098192664
37,0.37,0.0002451149221841243,0.0003038160572991777
38,0.38,0.0002560833174003074,0.000319718857647644
39,0.39,0.0002672128051198098,0.0003359552742964178
40,0.4,0.0002784988100691252,0.0003525180467128242
41,0.41,0.0002899368049449683,0.0003693998686629119
42,0.42,0.0003015223094078138,0.0003865933292293566
43,0.43,0.0003132508891542563,0.0004040910390236685
44,0.44,0.000325118155058508,0.0004218855933380006
45,0.45,0.0003371197623770291,0.0004399695806455717
46,0.46,0.000349251410007831,0.0004583355903109987
47,0.47,0.0003615088397989396,0.0004769762195658278
48,0.48,0.0003738878359001662,0.0004958840798065522
49,0.49,0.0003863842241537284,0.0005150518022669082
50,0.5,0.0003989938715188135,0.0005344720431135763
51,0.51,0.000411712685526565,0.0005541374880146388
52,0.52,0.0004245366137623767,0.0005740408562203703
53,0.53,0.0004374616433716978,0.0005941749042026601
54,0.54,0.000450483800588218,0.0006145324288877596
55,0.55,0.0004635991502798013,0.0006351062705174382
56,0.5600000000000001,0.0004768037955132516,0.0006558893151756839
57,0.5700000000000001,0.0004900938771335762,0.0006768744970062635
58,0.58,0.0005034655733568926,0.0006980548001506159
59,0.59,0.0005169150993774292,0.0007194232604357254
60,0.6,0.0005304387069844229,0.0007409729668290677
61,0.61,0.0005440326841907075,0.0007626970626860574
62,0.62,0.0005576933548705522,0.0007845887468120871
63,0.63,0.0005714170784067165,0.0008066412743515938
64,0.64,0.0005852002493458363,0.0008288479575269125
65,0.65,0.0005990392970613616,0.0008512021662355762
66,0.66,0.0006129306854248416,0.0008736973285285998
67,0.67,0.000626870912482984,0.0008963269309727462
68,0.68,0.000640856510142404,0.0009190845189157582
69,0.6900000000000001,0.0006548840438603384,0.0009419636966625511
70,0.7000000000000001,0.0006689501123420262,0.0009649581275702479
71,0.71,0.0006830513472431462,0.0009880615340733812
72,0.72,0.0006971844128796065,0.001011267697646812
73,0.73,0.0007113460059412748,0.001034570458710915
74,0.74,0.0007255328552124587,0.001057963716490029
75,0.75,0.0007397417212978508,0.001081441428824714
76,0.76,0.0007539693963533795,0.001104997611950376
77,0.77,0.0007682127038223658,0.001128626340237582
78,0.78,0.0007824684981774985,0.001152321745908735
79,0.79,0.000796733664667432,0.001176078018726656
80,0.8,0.000811005119068754,0.001199889405663401
81,0.8100000000000001,0.0008252798074431688,0.001223750210551766
82,0.8200000000000001,0.0008395547058994973,0.001247654793720909
83,0.8300000000000001,0.0008538268203609428,0.00127159757162032
84,0.84,0.0008680931863369162,0.001295573016434348
85,0.85,0.0008823508687005326,0.001319575655687633
86,0.86,0.0008965969614700224,0.001343600071846196
87,0.87,0.0009108285875959945,0.001367640901912992
88,0.88,0.0009250428987527626,0.001391692837023339
89,0.89,0.0009392370751348906,0.001415750622036138
90,0.9,0.0009534083252583749,0.00143980905512664
91,0.91,0.0009675538857662744,0.001463862987380549
92,0.92,0.0009816710212392722,0.001487907322389792
93,0.93,0.0009957570240111074,0.001511937015851172
94,0.9400000000000001,0.00100980921398759,0.001535947075168465
95,0.9500000000000001,0.001023824938471194,0.001559932559059729
96,0.96,0.001037801571989592,0.001583888577168402
97,0.97,0.001051736516128459,0.001607810289680489
98,0.98,0.001065627199368907,0.001631692906947313
99,0.99,0.001079471076929093,0.001655531689114143
100,1,0.001093265630609995,0.001679321945756485
101,1.01,0.001107008368645518,0.001703059035521703
102,1.02,0.001120696825556351,0.00172673836577808
103,1.03,0.001134328562008155,0.001750355392272085
104,1.04,0.001147901164673896,0.001773905618791427
105,1.05,0.001161412246099469,0.001797384596836094
106,1.06,0.001174859444573572,0.001820787925296941
107,1.07,0.001188240424001683,0.001844111250142277
108,1.08,0.001201552873782749,0.001867350264110779
109,1.09,0.001214794508690563,0.001890500706413167
110,1.1,0.001227963068758007,0.001913558362441337
111,1.11,0.001241056319164903,0.001936519063483577
112,1.12,0.001254072050129946,0.001959378686449686
113,1.13,0.001267008076804415,0.001982133153600074
114,1.14,0.001279862239171227,0.002004778432286303
115,1.15,0.001292632401945431,0.002027310534695403
116,1.16,0.001305316454478657,0.002049725517604406
117,1.17,0.001317912310666795,0.002072019482138421
118,1.18,0.001330417908859608,0.002094188573537492
119,1.19,0.001342831211774811,0.002116228980932111
120,1.2,0.001355150206413653,0.002138136937122503
121,1.21,0.001367372903979813,0.002159908718364356
122,1.22,0.001379497339801092,0.002181540644164981
123,1.23,0.001391521573253175,0.002203029077080587
124,1.24,0.001403443687686985,0.002224370422523436
125,1.25,0.001415261790357308,0.002245561128573437
126,1.26,0.001426974012354441,0.002266597685797289
127,1.27,0.001438578508538327,0.002287476627069074
128,1.28,0.001450073457474405,0.002308194527403162
129,1.29,0.001461457061372503,0.002328748003786463
130,1.3,0.001472727546026584,0.002349133715020435
131,1.31,0.001483883160757899,0.002369348361563439
132,1.32,0.001494922178359392,0.002389388685385074
133,1.33,0.001505842895042027,0.002409251469819296
134,1.34,0.001516643630383081,0.002428933539423639
135,1.35,0.001527322727276493,0.002448431759845104
136,1.36,0.001537878551884536,0.002467743037690706
137,1.37,0.001548309493591149,0.002486864320397686
138,1.38,0.001558613964957693,0.002505792596114165
139,1.39,0.001568790401678619,0.00252452489358046
140,1.4,0.001578837262540464,0.002543058282014066
141,1.41,0.001588753029380665,0.002561389870999409
142,1.42,0.001598536207049055,0.002579516810382043
143,1.43,0.001608185323369706,0.002597436290164623
144,1.44,0.001617698929104219,0.002615145540407982
145,1.45,0.001627075597916525,0.002632641831133764
146,1.46,0.001636313926338536,0.002649922472232391
147,1.47,0.001645412533736802,0.00266698481337202
148,1.48,0.001654370062280361,0.002683826243910836
149,1.49,0.001663185176909659,0.002700444192814899
150,1.5,0.001671856565305632,0.002716836128572986
151,1.51,0.001680382937860742,0.002732999559120097
152,1.52,0.00168876302764988,0.002748932031760631
153,1.53,0.001696995590402502,0.002764631133091333
154,1.54,0.001705079404475293,0.00278009448893235
155,1.55,0.00171301327082549,0.0027953197642554
156,1.56,0.001720796012984758,0.002810304663117047
157,1.57,0.001728426477033796,0.00282504692858998
158,1.58,0.001735903531577159,0.002839544342702172
159,1.59,0.0017432260677186,0.002853794726372372
160,1.6,0.001750392999037198,0.002867795939348383
161,1.61,0.001757403261563311,0.00288154588014955
162,1.62,0.001764255813754884,0.002895042486007471
163,1.63,0.001770949636474746,0.002908283732809269
164,1.64,0.001777483732966995,0.002921267635041747
165,1.65,0.001783857128834639,0.002933992245738426
166,1.66,0.001790068872016658,0.002946455656424374
167,1.67,0.001796118032765643,0.002958655997064796
168,1.68,0.001802003703625071,0.002970591436013192
169,1.69,0.001807724999407072,0.002982260179960838
170,1.7,0.001813281057169776,0.002993660473885495
171,1.71,0.00181867103619489,0.003004790601004226
172,1.72,0.001823894117965003,0.003015648882721766
173,1.73,0.001828949506140971,0.00302623367858379
174,1.74,0.001833836426539088,0.003036543386228274
175,1.75,0.001838554127107804,0.003046576441336546
176,1.76,0.001843101877904629,0.003056331317588534
177,1.77,0.001847478971072653,0.00306580652661248
178,1.78,0.001851684720816624,0.003075000617938084
179,1.79,0.0018557184633789,0.00308391217895021
180,1.8,0.001859579557014786,0.003092539834840258
181,1.81,0.001863267381968121,0.003100882248559311
182,1.82,0.001866781340445582,0.003108938120770177
183,1.83,0.001870120856591371,0.003116706189799423
184,1.84,0.00187328537646085,0.003124185231588417
185,1.85,0.001876274367994067,0.003131374059645586
186,1.86,0.001879087320988572,0.003138271524996794
187,1.87,0.001881723747071856,0.003144876516135153
188,1.88,0.001884183179673067,0.003151187958971513
189,1.89,0.001886465173994333,0.003157204816783166
190,1.9,0.001888569306981246,0.003162926090162443
191,1.91,0.001890495177292931,0.003168350816965426
192,1.92,0.001892242405271442,0.003173478072256763
193,1.93,0.001893810632910295,0.003178306968257494
194,1.94,0.001895199523822393,0.0031828366542902
195,1.95,0.001896408763207797,0.003187066316722387
196,1.96,0.001897438057819675,0.003190995178910638
197,1.97,0.001898287135930445,0.00319462250114344
198,1.98,0.001898955747296723,0.00319794758058034
199,1.99,0.001899443663123861,0.003200969751194438
200,2,0.001899750676029077,0.003203688383710768
