stage,lambda,c,ptc_enabled,iteration,residual,alpha,dtau
1,0.06,30,0,0,0.05065318954246154,0,0
1,0.06,30,0,1,0.04884901308443756,0.125,0
1,0.06,30,0,2,0.04315752564576105,0.25,0
1,0.06,30,0,3,0.03582169217017715,0.5,0
1,0.06,30,0,4,0.02404794765421676,0.5,0
1,0.06,30,0,5,0.0148619167151441,0.5,0
1,0.06,30,0,6,0.01331175428209542,1,0
1,0.06,30,0,7,0.002057046637341296,1,0
1,0.06,30,0,8,2.479090669264329e-05,1,0
1,0.06,30,0,9,2.520326607699143e-09,1,0
2,0.04,30,1,0,0.1855352922744269,0,0.5
2,0.04,30,1,1,0.2223496078178542,0.0625,0.4172152451611584
2,0.04,30,1,2,4.40028001901268,0.0625,0.02108221425372569
